category,strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,review_total,parent_1,parent_2,parent_3,parent_4,parent_5,parent_6,parent_7
indica,ace of spades, relaxed, euphoric, happy, sleepy, uplifted , pain, depression, stress, fatigue, insomnia , dry mouth, dry eyes, dizzy, anxious, headache ,1. earthy,2. pine,3. woody,321.0,jack the ripper,black cherry soda,n,n,n,n,n
sativa,aceh, creative, relaxed, focused, euphoric, energetic , insomnia, pain, depression, stress, headaches , dry mouth, dizzy, dry eyes ,,,1. earthy,2. citrus,3. tropical,38.0,n,n,n,n,n,n,n
hybrid,acid, creative, happy, energetic, relaxed, focused , stress, depression, nausea, pain, insomnia , dry eyes, dry mouth, dizzy, anxious, headache ,1. citrus,2. earthy,3. pungent,34.0,nyc diesel,n,n,n,n,n,n
sativa,acid dough, happy, talkative, creative, uplifted, energetic , depression, fatigue, lack of appetite, stress, insomnia , dry eyes, dry mouth, paranoid ,,,1. citrus,2. flowery,3. earthy,7.0,congo,n,n,n,n,n,n
hybrid,afcrack, relaxed, creative, uplifted, focused, energetic , depression, fatigue, headaches, lack of appetite, stress , dry mouth, anxious, dry eyes, paranoid ,,1. sage,2. earthy,3. flowery,11.0,afgoo,green crack,n,n,n,n,n
indica,afghan big bud, happy, focused, euphoric, uplifted, creative , pain, stress, insomnia, nausea, depression , anxious, dry mouth, dry eyes, paranoid ,,1. vanilla,2. earthy,3. pungent,26.0,big bud,afghani,n,n,n,n,n
sativa,afghan cow, focused, happy, euphoric, creative, energetic , fatigue, stress, depression, inflammation, lack of appetite , dry mouth, anxious, dizzy, dry eyes, headache ,1. sweet,2. vanilla,3. diesel,9.0,ash,kali mist,ak-47,n,n,n,n
hybrid,afghan diesel, euphoric, happy, uplifted, relaxed, creative , stress, pain, insomnia, depression, lack of appetite , dry mouth, dry eyes, paranoid, dizzy, anxious ,1. earthy,2. flowery,3. grapefruit,43.0,afghani,sour diesel,n,n,n,n,n
indica,afghan hawaiian, relaxed, euphoric, uplifted, sleepy, energetic , depression, insomnia, nausea, stress ,, dry mouth, anxious, dizzy, paranoid ,,1. nutty,2. pineapple,3. sweet,12.0,uk cheese,lavender,n,n,n,n,n
hybrid,afghan haze, creative, giggly, hungry, happy, relaxed , fatigue, lack of appetite, nausea, inflammation, stress , dry eyes, dizzy, dry mouth, headache, anxious ,1. earthy,2. diesel,3. woody,57.0,afghani,haze,n,n,n,n,n
indica,afghan kush, relaxed, happy, sleepy, euphoric, uplifted , pain, stress, insomnia, depression, lack of appetite , dry mouth, dry eyes, dizzy, paranoid, headache ,1. earthy,2. woody,3. flowery,1132.0,afghani,n,n,n,n,n,n
indica,afghan skunk, euphoric, uplifted, hungry, relaxed, sleepy , stress, insomnia, lack of appetite, depression, pain , dry mouth, dry eyes, dizzy, headache, anxious ,1. skunk,2. earthy,3. woody,55.0,afghani,skunk 1,n,n,n,n,n
indica,afghan sour kush, relaxed, sleepy, euphoric, hungry, aroused , fatigue, stress, eye pressure, headaches, insomnia , dry mouth, dry eyes ,,,,1. earthy,2. sweet,3. diesel,17.0,afghani,sour kush,n,n,n,n,n
hybrid,afghan widow, energetic, focused, talkative, relaxed, hungry , stress, eye pressure, fatigue, inflammation, lack of appetite , dry mouth, dizzy, headache, dry eyes ,,1. pungent,2. spicy/herbal,3. diesel,9.0,afghan kush,white widow,n,n,n,n,n
indica,afghani, relaxed, sleepy, euphoric, happy, tingly , insomnia, pain, stress, depression, muscle spasms , dry mouth, dry eyes, headache, dizzy, anxious ,1. earthy,2. pungent,3. pine,528.0,n,n,n,n,n,n,n
indica,afghani bullrider,focused,hungry,talkative,relaxed,happy,stress,pain,lack of appetite,muscle spasms,insomnia,dry mouth,paranoid,dry eyes,dizzy,headache,1. pine,2. earthy,3. berry,111,afghani,n,n,n,n,n,n
indica,afghani cbd, creative, relaxed, sleepy, happy, euphoric , inflammation, stress, insomnia, pain, muscle spasms , dry mouth, dry eyes, dizzy, headache ,,1. berry,2. flowery,3. spicy/herbal,50.0,afghani,n,n,n,n,n,n
hybrid,afghani krush, creative, euphoric, focused, giggly, happy , depression, fatigue, muscle spasms, pain, stress ,,,,,,,,,1.0,grape krush,afghani,n,n,n,n,n
hybrid,afghanica, euphoric, relaxed, creative, happy, sleepy , stress, pain, insomnia, depression, nausea , dry mouth, dry eyes, dizzy, anxious, paranoid ,1. tea,2. sweet,3. woody,,afghani,n,n,n,n,n,n
indica,afghanimal, hungry, relaxed, aroused, focused, sleepy , eye pressure, headaches, insomnia, nausea, pain , dry eyes, dry mouth, anxious ,,,1. citrus,2. skunk,,,afghani,animal cookies,n,n,n,n,n
indica,afgoo, relaxed, euphoric, sleepy, happy, uplifted , stress, pain, depression, insomnia, lack of appetite , dry mouth, dry eyes, dizzy, anxious, paranoid ,1. earthy,2. sweet,3. pine,622.0,afghani,n,n,n,n,n,n
indica,afgooey, relaxed, happy, sleepy, hungry, creative , stress, pain, insomnia, depression, muscle spasms , dry mouth, dry eyes, dizzy, paranoid, headache ,1. pine,2. earthy,3. grape,357.0,afghani,n,n,n,n,n,n
indica,afkansastan, euphoric, giggly, happy, uplifted, hungry , cramps, depression, headaches, pain, nausea , dry eyes, dry mouth, anxious, dizzy, paranoid ,1. cheese,2. diesel,3. sweet,5.0,n,n,n,n,n,n,n
hybrid,afpak, relaxed, happy, hungry, euphoric, tingly , depression, stress, lack of appetite, fatigue, inflammation , dizzy ,,,,,1. pungent,2. sweet,3. skunk,7.0,afghani,n,n,n,n,n,n
sativa,african, happy, giggly, euphoric, relaxed, energetic , stress, depression, lack of appetite, fatigue, headaches , dry mouth, dry eyes, paranoid, headache, anxious ,1. pungent,2. spicy/herbal,3. earthy,39.0,n,n,n,n,n,n,n
hybrid,afrodite, happy, hungry, relaxed, energetic, giggly , depression, lack of appetite, pain, stress, cramps , anxious, dry mouth, dizzy, dry eyes, paranoid ,1. earthy,2. sweet,3. woody,4.0,black domina,jack herer,n,n,n,n,n
hybrid,afternoon delight, relaxed, hungry, happy, creative, focused , depression, pain, stress, insomnia, cramps , headache, dry mouth, paranoid, dizzy, anxious ,1. grapefruit,2. flowery,3. pine,26.0,n,n,n,n,n,n,n
hybrid,afwreck, relaxed, euphoric, hungry, focused, happy , stress, pain, depression, insomnia, muscle spasms , dry mouth, dry eyes, dizzy, headache, paranoid ,1. earthy,2. pungent,3. diesel,120.0,afghani,trainwreck,n,n,n,n,n
sativa,agape, energetic, tingly, aroused, happy, sleepy , eye pressure, fatigue, headaches, inflammation, lack of appetite , anxious, headache ,,,,1. orange,2. mango,3. grape,2.0,black cherry og,n,n,n,n,n,n
hybrid,agent orange, happy, uplifted, relaxed, creative, energetic , stress, depression, pain, headaches, fatigue , dry mouth, dry eyes, paranoid, dizzy, anxious ,1. orange,2. citrus,3. sweet,1090.0,orange velvet,jack the ripper,n,n,n,n,n
hybrid,agent tangie, creative, euphoric, focused, happy, uplifted , stress, depression, fatigue, headaches, inflammation , dry eyes, dry mouth, anxious ,,,1. citrus,2. earthy,3. skunk,17.0,n,n,n,n,n,n,n
indica,air jordan og, relaxed, happy, euphoric, creative, giggly , stress, pain, depression, insomnia, headaches , dry mouth, dizzy, headache, dry eyes ,,1. pine,2. earthy,3. woody,,n,n,n,n,n,n,n
sativa,alaska, energetic, creative, uplifted, talkative, euphoric , depression, stress, pain, headaches, nausea , dry mouth, dry eyes, anxious, headache, dizzy ,1. earthy,2. mint,3. citrus,70.0,n,n,n,n,n,n,n
hybrid,alaska thunder grape, creative, euphoric, focused, relaxed, tingly , eye pressure, pain, stress ,,,,,,,,1. grape,2. pepper,3. skunk,3.0,matanuska thunder fuck,grape ape,n,n,n,n,n
sativa,alaskan ice, energetic, euphoric, hungry, talkative, happy , stress, depression, pain, fatigue, headaches , dry mouth, headache, dry eyes, dizzy, paranoid ,1. woody,2. pungent,3. spicy/herbal,84.0,white widow,haze,n,n,n,n,n
sativa,alaskan thunder fuck, happy, uplifted, euphoric, energetic, relaxed , stress, depression, pain, fatigue, headaches , dry mouth, dry eyes, anxious, paranoid, headache ,1. earthy,2. pine,3. woody,1920.0,north american sativa,n,n,n,n,n,n
hybrid,albert walker, relaxed, happy, euphoric, uplifted, focused , stress, depression, pain, insomnia, lack of appetite , headache, dry mouth, dry eyes, dizzy, paranoid ,1. pungent,2. skunk,3. flowery,69.0,afghan skunk,n,n,n,n,n,n
hybrid,alchemy, happy, euphoric, relaxed, hungry, talkative , stress, pain, depression, lack of appetite, headaches , dry eyes, dry mouth, dizzy ,,,1. honey,2. cheese,3. sweet,12.0,chemdog,querkle,n,n,n,n,n
hybrid,alf, relaxed, creative, euphoric, giggly, happy , depression, insomnia, muscle spasms, stress ,, dry mouth ,,,,,1. coffee,2. diesel,3. pungent,,animal cookies,cherry pie,white fire alien og,girl scout cookies,n,n,n
sativa,alice in wonderland, focused, euphoric, relaxed, creative, happy , stress, depression, fatigue, headaches, nausea , dry mouth, dry eyes, headache, anxious, paranoid ,1. earthy,2. woody,3. ammonia,107.0,willys wonder,n,n,n,n,n,n
hybrid,alien abduction, relaxed, tingly, euphoric, happy, focused , stress, fatigue, headaches, insomnia, eye pressure , dry mouth, dry eyes, anxious, dizzy, headache ,1. earthy,2. nutty,3. sweet,16.0,alien og,alien dawg,n,n,n,n,n
hybrid,alien apparition, hungry, euphoric, aroused, creative, energetic , stress, cramps, depression, eye pressure, fatigue , dry mouth ,,,,,1. sweet,2. orange,3. citrus,,alien technology,ghost og,n,n,n,n,n
hybrid,alien asshat, relaxed, giggly, uplifted, happy, euphoric , stress, depression, pain, muscle spasms, headaches , dry mouth, anxious, dizzy ,,,1. citrus,2. pungent,3. earthy,37.0,n,n,n,n,n,n,n
hybrid,alien breath, happy, relaxed, sleepy, euphoric, giggly , insomnia, stress, cramps, depression, headaches , dizzy ,,,,,1. skunk,,,7.0,purple alien og,goji og,blackberry,n,n,n,n
indica,alien bubba, relaxed, sleepy, euphoric, happy, talkative , stress, pain, depression, insomnia, muscle spasms , dry mouth, headache, dry eyes, dizzy, anxious ,1. earthy,2. flowery,3. sweet,81.0,bubba kush,alien kush,n,n,n,n,n
indica,alien dawg, relaxed, sleepy, happy, hungry, euphoric , stress, fatigue, headaches, lack of appetite, insomnia , dizzy, dry eyes, headache, dry mouth, paranoid ,1. earthy,2. violet,3. flowery,205.0,chemdawg,n,n,n,n,n,n
sativa,alien dutchess, uplifted, happy, energetic, euphoric, talkative , depression, pain, stress, fatigue, lack of appetite , dry mouth, dry eyes, anxious ,,,1. earthy,2. pine,3. lemon,37.0,alien og,dutch treat haze,n,n,n,n,n
hybrid,alien hallucination, euphoric, happy, relaxed, uplifted, creative , stress, depression, muscle spasms, pain, fatigue , dry mouth, dry eyes, paranoid, anxious, dizzy ,1. citrus,2. sweet,3. pungent,42.0,tahoe alien,lsd,n,n,n,n,n
hybrid,alien inferno, happy, euphoric, creative, uplifted, talkative , depression, stress, pain, fatigue, lack of appetite , dry mouth, dry eyes, anxious ,,,1. diesel,2. earthy,3. pungent,22.0,alien og,diablo,n,n,n,n,n
indica,alien kush, relaxed, tingly, hungry, creative, happy , stress, pain, depression, lack of appetite, headaches , dry mouth, paranoid, dizzy, anxious, dry eyes ,1. sweet,2. earthy,3. woody,130.0,lvpk,alien dawg,n,n,n,n,n
hybrid,alien og, relaxed, happy, euphoric, uplifted, creative , stress, pain, depression, insomnia, fatigue , dry mouth, dry eyes, paranoid, dizzy, headache ,1. earthy,2. pine,3. lemon,932.0,alien kush,tahoe og kush,n,n,n,n,n
hybrid,alien reunion, euphoric, happy, relaxed, uplifted, creative , lack of appetite, headaches, inflammation, muscle spasms, pain , dry mouth, dizzy, dry eyes, headache, paranoid ,1. pungent,2. skunk,3. cheese,,alien dawg,alien og,n,n,n,n,n
indica,alien rift, relaxed, happy, euphoric, hungry, uplifted , stress, insomnia, pain, nausea, lack of appetite , dry mouth, anxious, paranoid, dry eyes, dizzy ,1. earthy,2. lemon,3. sweet,41.0,alien dawg,alien og,n,n,n,n,n
hybrid,alien rock candy, happy, relaxed, euphoric, sleepy, uplifted , pain, stress, depression, insomnia, lack of appetite , dry mouth, dry eyes, dizzy, paranoid, anxious ,1. berry,2. citrus,3. blueberry,181.0,tahoe alien,sour dubble,n,n,n,n,n
hybrid,alien sour apple, euphoric, creative, energetic, relaxed, uplifted , depression, pain, stress, insomnia, fatigue , dry mouth, dry eyes ,,,,1. apple,2. sweet,3. citrus,21.0,alien dawg,sour apple,n,n,n,n,n
sativa,alien stardawg, happy, tingly, energetic, uplifted, relaxed , stress, depression, lack of appetite, inflammation, muscle spasms , dry mouth ,,,,,1. pepper,2. citrus,3. diesel,9.0,alien kush,stardawg,n,n,n,n,n
indica,alien technology, happy, euphoric, uplifted, creative, hungry , stress, lack of appetite, pain, headaches, depression , dry mouth, anxious, dry eyes, headache ,,1. earthy,2. spicy/herbal,3. woody,14.0,afghani,n,n,n,n,n,n
hybrid,alien walker, happy, creative, energetic, euphoric, uplifted , stress, pain, depression, insomnia, muscle spasms , dry mouth, dry eyes, anxious, dizzy, headache ,1. earthy,2. citrus,3. pine,161.0,albert walker,tahoe alien,n,n,n,n,n
indica,aliens on moonshine, uplifted, happy, relaxed, focused, euphoric , pain, stress, depression, muscle spasms, cramps , dry mouth, dizzy, dry eyes, headache ,,1. citrus,2. earthy,3. diesel,28.0,sour alien,n,n,n,n,n,n
indica,allen iverson og, euphoric, happy, relaxed, focused, hungry , depression, insomnia, lack of appetite, stress, headaches ,,,,,,1. earthy,,,2.0,n,n,n,n,n,n,n
sativa,allen wrench, happy, uplifted, energetic, euphoric, focused , stress, depression, pain, fatigue, nausea , dry mouth, anxious, dry eyes, dizzy, paranoid ,1. pungent,2. earthy,3. citrus,175.0,trainwreck,nyc diesel,n,n,n,n,n
hybrid,alley cat kush, aroused, creative, energetic, euphoric, focused ,,,,,,,,,,,,,,1.0,og kush,n,n,n,n,n,n
indica,allkush, happy, uplifted, focused, hungry, talkative , stress, depression, eye pressure, pain ,, dry mouth, dry eyes ,,,,1. spicy/herbal,2. honey,3. earthy,6.0,n,n,n,n,n,n,n
sativa,aloha, happy, uplifted, euphoric, focused, relaxed , stress, depression, pain, nausea, fatigue , dry mouth, dry eyes, dizzy, anxious ,,1. citrus,2. tropical,3. sweet,46.0,n,n,n,n,n,n,n
hybrid,aloha grape stomper, euphoric, happy, relaxed, uplifted, giggly , depression, fatigue, headaches, lack of appetite, spasticity ,,,,,,1. blueberry,2. grape,3. tree fruit,3.0,grape stomper,98 aloha white widow,n,n,n,n,n
hybrid,aloha limone, happy, relaxed, giggly, euphoric, uplifted , depression, fatigue, stress, pain, lack of appetite , dry eyes, dry mouth ,,,,1. lemon,2. citrus,3. earthy,12.0,n,n,n,n,n,n,n
