,strain,review_total
1193,four star general,7.0
1194,four way,5.0
1195,franks gift,44.0
1196,frankenstein,84.0
1197,fred flipn stoned,
1198,freezeland,44.0
1199,french bread,4.0
1200,frida,24.0
1201,frisian dew,33.0
1202,frisian duck,16.0
1203,frostbite,29.0
1204,frosted cherry cookies,9.0
1205,frosted freak,74.0
1206,frosty,39.0
1207,frosty jesus,
1208,frozen tangerines,
1209,fruit crusher,2.0
1210,fruit loop og,1.0
1211,fruit loops,88.0
1212,fruit punch,111.0
1213,fruit spirit,41.0
1214,fruity chronic juice,42.0
1215,fruity juice,
1216,fruity widow,9.0
1217,fruitylicious,14.0
1218,fucking incredible,227.0
1219,full moon,28.0
1220,funfetti,34.0
1221,funky monkey,29.0
1222,future,60.0
1223,fuzzy navel,1.0
1224,g cut,
1225,g force,4.0
1226,g1000,
1227,goat,7.0
1228,g 13,1043.0
1229,g13 diesel,11.0
1230,g13 haze,190.0
1231,g13 widow,13.0
1232,gdp electric,3.0
1233,gi 001,13.0
1234,gmo cookies,128.0
1235,griz kush,43.0
1236,gsc,6761.0
1237,gto,
1238,gabriel sherbet,9.0
1239,galactic jack,101.0
1240,gdp electric,3.0
1241,gi 001,13.0
1242,gmo cookies,128.0
1243,griz kush,43.0
1244,gsc,6761.0
1245,gto,
1246,gabriel sherbet,9.0
1247,galactic jack,101.0
1248,galactica og,8.0
1249,game changer,112.0
1250,gammaberry,
1251,gandalf og,16.0
1252,ganesh berry,
1253,garlic bud,22.0
1254,gas mask,23.0
1255,gaswerx,
1256,gatekeeper og,
1257,gelato,1304.0
1258,gelato 33,71.0
1259,gemstone,17.0
1260,georgia pine,9.0
1261,ghetto bird,
1262,ghost bubba,28.0
1263,ghost cookies,23.0
1264,ghost og,533.0
1265,ghost og moonshine,20.0
1266,ghost rider og,16.0
1267,ghost ship,12.0
1268,ghost tange haze,
1269,ghost train haze,912.0
1270,ghostbreath,5.0
1271,gigabud,41.0
1272,gilz nilz,19.0
1273,ginger ale,9.0
1274,ginger punch,
1275,glad max,
1276,glass apple,23.0
1277,glass slipper,227.0
1278,glue tech,21.0
1279,gluechee,3.0
1280,gnome walker,1.0
1281,go time,13.0
1282,goat head,
1283,gobbilygoo,12.0
1284,gobbstopper,23.0
1285,god bud,580.0
1286,god bud,
1287,gods green crack,232.0
1288,godberry,94.0
1289,godfather og,188.0
1290,godfather purple kush,21.0
1291,godzilla,37.0
1292,godzilla blood,
1293,godzilla glue,35.0
1294,gods bubba,11.0
1295,gods treat,12.0
1296,godberry,94.0
1297,godfather og,188.0
1298,godfather purple kush,21.0
1299,godzilla,37.0
1300,godzilla blood,
1301,godzilla glue,35.0
1302,gods bubba,11.0
1303,gods treat,12.0
1304,gog magog,
1305,goji diesel,5.0
1306,goji og,216.0
1307,gold kings thai,3.0
1308,gold star,
1309,goldberry,24.0
1310,golden calyx,
1311,golden gage,6.0
1312,golden goat,1180.0
1313,golden lemon,93.0
1314,golden nugget,32.0
1315,golden panda,19.0
1316,golden pineapple,406.0
1317,golden soda,
1318,golden state banana,21.0
1319,golden tangie,6.0
1320,golden ticket,134.0
1321,golden tiger,12.0
1322,goldwing,
1323,goo,167.0
1324,gooberry,35.0
1325,good medicine,37.0
1326,gorilla biscuit,11.0
1327,gorilla breath,6.0
1328,gorilla cookies,141.0
1329,gorilla girl,17.0
1330,gorilla grips,7.0
1331,gorilla snacks,13.0
1332,gorkle,2.0
1333,government mule,
1334,grand doggy purps,55.0
1335,grand hindu,21.0
1336,grand hustle,35.0
1337,granddaddy purple,4533.0
1338,granddaddy wonder,
1339,grandma andersons cookies,2.0
1340,grandmas batch,4.0
1341,grandmas sugar cookies,17.0
1342,grandpa larry og,
1343,grandpas breath,28.0
1344,grandpas stash,3.0
1345,granola funk,12.0
1346,grape ape,1886.0
1347,grape bubba,1.0
1348,grape cake,
1349,grape calyx,
1350,grape candy,
1351,grape cookies,32.0
1352,grandpas stash,3.0
1353,granola funk,12.0
1354,grape ape,1886.0
1355,grape bubba,1.0
1356,grape cake,
1357,grape calyx,
1358,grape candy,
1359,grape cookies,32.0
1360,grape dawg,4.0
1361,grape drink,8.0
1362,grape god,434.0
1363,grape god bud,
1364,grape inferno,29.0
1365,grape jelly,17.0
1366,grape krush,139.0
1367,grape krush throwback,
1368,grape kush,153.0
1369,grape ox,33.0
1370,grape skunk,41.0
1371,grape smuggler,
1372,grape soda,20.0
1373,sour grapes,352.0
1374,grape valley kush,35.0
1375,grape vine,6.0
1376,grapefruit,522.0
1377,grapefruit diesel,129.0
1378,grapefruit haze,65.0
1379,grapefruit kush,174.0
1380,gravity,30.0
1381,grease monkey,204.0
1382,white shark,454.0
1383,green avenger,
1384,green candy,124.0
1385,green cheese,15.0
1386,green crack,6059.0
1387,green crack cbd,5.0
1388,green crack extreme,68.0
1389,green door kush,
1390,green dragon,83.0
1391,green dream,176.0
1392,green goblin,100.0
1393,green goddess,87.0
1394,green haze,35.0
1395,green hornet,50.0
1396,green kush,61.0
1397,green lantern,44.0
1398,green line og,49.0
1399,green love potion,39.0
1400,green magic,9.0
1401,green mango,4.0
1402,green monster,61.0
1403,green poison,129.0
1404,green python,
1405,green queen,186.0
1406,green ribbon,162.0
1407,gremlin,9.0
1408,green magic,9.0
1409,green mango,4.0
1410,green monster,61.0
1411,green poison,129.0
1412,green python,
1413,green queen,186.0
1414,green ribbon,162.0
1415,gremlin,9.0
1416,grilled cheese,7.0
1417,grimace,
1418,grimace og,10.0
1419,grimmdica,10.0
1420,guard dawg,17.0
1421,guava cake,3.0
1422,guava chem,41.0
1423,guava dub star,
1424,guava gelato,27.0
1425,guava kush,94.0
1426,gucci og,63.0
1427,guido kush,
1428,gumbo,57.0
1429,gummo,18.0
1430,gummy bears,40.0
1431,gupta haze,
1432,gupta kush,9.0
1433,guptilla,18.0
1434,gutbuster,14.0
1435,gypsy kush,
1436,hades haze,4.0
1437,hades og,10.0
1438,haleighs hope,36.0
1439,hammerhead,23.0
1440,hammershark,
1441,hannibal nectar,
1442,haole,41.0
1443,haoma,13.0
1444,haoma mist,
1445,happy rancher,34.0
1446,hardcore og,104.0
1447,harle tsu,311.0
1448,harlequin,1185.0
1449,harlequin gdp,27.0
1450,harley storm,8.0
1451,harley twin,
1452,harmonia,18.0
1453,harmony,30.0
1454,harry potter,19.0
1455,hash plant,427.0
1456,hashbar og,19.0
1457,hashberry,104.0
1458,hashplant haze,29.0
1459,havarra wedding,
1460,hawaiian,153.0
1461,hawaiian cookies,30.0
1462,hawaiian delight,11.0
1463,hawaiian diesel,30.0
1464,hashbar og,19.0
1465,hashberry,104.0
1466,hashplant haze,29.0
1467,havarra wedding,
1468,hawaiian,153.0
1469,hawaiian cookies,30.0
1470,hawaiian delight,11.0
1471,hawaiian diesel,30.0
1472,hawaiian dream,73.0
1473,hawaiian duckfoot,4.0
1474,hawaiian fire,
1475,hawaiian haze,108.0
1476,hawaiian mayan gold,11.0
1477,hawaiian punch,81.0
1478,hawaiian purple kush,39.0
1479,hawaiian sativa,34.0
1480,hawaiian skunk,49.0
1481,hawaiian snow,203.0
1482,hawaiian sunrise,
1483,hawaiian thunder fuck,16.0
1484,hawaiian trinity,4.0
1485,hawaii 78,6.0
1486,hayleys haze,5.0
1487,haze,428.0
1488,haze berry,25.0
1489,haze heaven,
1490,haze mist,3.0
1491,haze wreck,
1492,hazmat og,2.0
1493,head cheese,193.0
1494,head trip,28.0
1495,headband,2440.0
1496,headband cookies bx1,
1497,headbanger,83.0
1498,heatwave,4.0
1499,heaven scent,4.0
1500,heavenly og,6.0
1501,heavy duty fruity,79.0
1502,heisenberg kush,34.0
1503,hell raiser og,35.0
1504,hells og,201.0
1505,hellfire og,71.0
1506,hemlock,60.0
1507,hempstar,125.0
1508,hercules,24.0
1509,herojuana,458.0
1510,hibiscus sunrise,20.0
1511,high five,
1512,high noon irish cream,
1513,high school sweetheart,12.0
1514,higher power,11.0
1515,highwayman,14.0
1516,himalayan blackberry,19.0
1517,himalayan gold,48.0
1518,hindu kush,1083.0
1519,hindu skunk,107.0
1520,high noon irish cream,
1521,high school sweetheart,12.0
1522,higher power,11.0
1523,highwayman,14.0
1524,himalayan blackberry,19.0
1525,himalayan gold,48.0
1526,hindu kush,1083.0
1527,hindu skunk,107.0
1528,hindu sour,2.0
1529,hippie chicken,38.0
1530,hippie crippler,123.0
1531,hoarfrost,
1532,hobbit,
1533,hogs breath,109.0
1534,hollands hope,60.0
1535,hollyweed,6.0
1536,hollywood og,52.0
1537,holy ghost,
1538,holy grail kush,670.0
1539,holy punch,
1540,holy roller,3.0
1541,honduras,1.0
1542,honey bananas,145.0
1543,honey boo boo,48.0
1544,honey lemon cheese,4.0
1545,honey rock,
1546,hong kong,57.0
1547,hoodwreck,
1548,horace,3.0
1549,huckleberries,1.0
1550,huckleberry,154.0
1551,huckleberry cough,3.0
1552,huckleberry desstar,1.0
1553,huckleberry diesel,4.0
1554,huckleberry hound,3.0
1555,huckleberry soda,
1556,hulkamania,6.0
1557,humboldt,44.0
1558,humboldt dream,9.0
1559,humboldt hawaiian,
1560,humboldt headband,9.0
1561,humboldt sour diesel,
1562,humdinger og,1.0
1563,hurkle,65.0
1564,hurricane,58.0
1565,hustler kush,14.0
1566,i 95,29.0
1567,iced grapefruit,56.0
1568,ifc og,
1569,ig kush,
1570,ice,228.0
1571,ice cream,163.0
1572,ice cream cake,106.0
1573,ice princess,2.0
1574,ice queen,53.0
1575,ice wreck,43.0
1576,ifc og,
1577,ig kush,
1578,ice,228.0
1579,ice cream,163.0
1580,ice cream cake,106.0
1581,ice princess,2.0
1582,ice queen,53.0
1583,ice wreck,43.0
1584,iced widow,
1585,ill og,8.0
1586,illuminati og,16.0
1587,in the pines,47.0
1588,incredible bulk,80.0
1589,incredible hulk,91.0
1590,industrial plant,15.0
1591,ingrid,141.0
1592,intergalactic,8.0
1593,inzane in the membrane,12.0
1594,irene kush,77.0
1595,irish cream,11.0
1596,iron triangle,17.0
1597,island haze,6.0
1598,island maui haze,15.0
1599,island poison,
1600,island sweet skunk,813.0
1601,ivan,
1602,js famous kush,4.0
1603,j 27,32.0
1604,j1,574.0
1605,jr,288.0
1606,jt15,
1607,jabbas stash,
1608,jack 47,29.0
1609,jack burton,2.0
1610,jack diesel,58.0
1611,jack flash,292.0
1612,jack frost,494.0
1613,jack haze,50.0
1614,jack herer,4073.0
1615,jack kush,36.0
1616,jack skellington,101.0
1617,jack smack,9.0
1618,jack widow,37.0
1619,jack wreck,31.0
1620,jack of spades,3.0
1621,jack the ripper,417.0
1622,jacks cleaner,78.0
1623,jacks dream,21.0
1624,jackalope,12.0
1625,jacked up,20.0
1626,jacky girl,1.0
1627,jacky white,56.0
1628,jacks dragon girl 7,
1629,jacks girl,3.0
1630,jah goo,18.0
1631,jah kush,86.0
1632,jackalope,12.0
1633,jacked up,20.0
1634,jacky girl,1.0
1635,jacky white,56.0
1636,jacks dragon girl 7,
1637,jacks girl,3.0
1638,jah goo,18.0
1639,jah kush,86.0
1640,jahwaiian,4.0
1641,jamaican,62.0
1642,jamaican dream,89.0
1643,jamaican lion,27.0
1644,jamaican pearl,50.0
1645,jamba juice,5.0
1646,jane doe,12.0
1647,jasmin,13.0
1648,jawa pie,23.0
1649,jazz,27.0
1650,jean guy,272.0
1651,jedi kush,313.0
1652,jelly roll,12.0
1653,jenni,
1654,jenny kush,87.0
1655,jericho haze,1.0
1656,jerusalem express,2.0
1657,jesses girl,9.0
1658,jesus,58.0
1659,jesus og,362.0
1660,jet fuel,422.0
1661,jilly dawg,3.0
1662,jillybean,899.0
1663,jim og,
1664,jimi hendrix,24.0
1665,jock horror,23.0
1666,joes dank,
1667,joes lemonade,
1668,johnnys tonic,11.0
1669,jorges diamond,7.0
1670,josh d og,17.0
1671,juicy fruit,615.0
1672,juicy jack,23.0
1673,juliet,20.0
1674,julius caesar,30.0
1675,jungle juice,15.0
1676,jungle scout cookies,3.0
1677,jungle spice,
1678,jupiter og,163.0
1679,k train,31.0
1680,k1,18.0
1681,k2,47.0
1682,kc 33,11.0
1683,kc 36,4.0
1684,kt dawg,13.0
1685,kaboom,66.0
1686,kahavvai mode,
1687,kahuna,6.0
1688,k1,18.0
1689,k2,47.0
1690,kc 33,11.0
1691,kc 36,4.0
1692,kt dawg,13.0
1693,kaboom,66.0
1694,kahavvai mode,
1695,kahuna,6.0
1696,kaia kush,
1697,kailua pua,2.0
1698,kalalau kush,4.0
1699,kalashnikova,42.0
1700,kaleidos dope,
1701,kali 47,8.0
1702,kali china,6.0
1703,kali dog,14.0
1704,kali mist,286.0
1705,kandahar,
1706,kandy kush,507.0
1707,kaptns grand dream,3.0
1708,karibbean mango,
1709,karma bitch,26.0
1710,karma og,7.0
1711,karmarado og,
1712,kashmir kush,13.0
1713,katsu bubba kush,69.0
1714,katsu kush,43.0
1715,kauai electric,9.0
1716,kelly hill gold,
1717,kens kush,33.0
1718,kerala,1.0
1719,kerala krush,11.0
1720,kerosene,3.0
1721,ketama,3.0
1722,key lime pie,294.0
1723,keystone kush,17.0
1724,khalifa kush,575.0
1725,khola,6.0
1726,khufu,
1727,kid n cookies,8.0
1728,kilimanjaro,123.0
1729,kill bill,17.0
1730,killer grape,17.0
1731,killer queen,128.0
1732,killing fields,33.0
1733,kimbo kush,174.0
1734,king cake,10.0
1735,king kong,151.0
1736,king louis,767.0
1737,king thunder fuck,5.0
1738,kings bread,28.0
1739,king kush,339.0
1740,kings banner,
1741,kiss,10.0
1742,kiwiskunk,12.0
1743,kobain kush,13.0
1744,king louis,767.0
1745,king thunder fuck,5.0
1746,kings bread,28.0
1747,king kush,339.0
1748,kings banner,
1749,kiss,10.0
1750,kiwiskunk,12.0
1751,kobain kush,13.0
1752,koloa sunrise,
1753,koloa sunrise 47e37470d89f4b7890fa89ea59393eb6,
1754,kona gold,20.0
1755,kong,132.0
1756,kool aid smile,
1757,koolato,2.0
1758,kosher kush,826.0
1759,kosher tangie,165.0
1760,krakatoa,
1761,kraken,32.0
1762,kreamy karamel,
1763,krishna kush,16.0
1764,kritikal k,7.0
1765,kryptonite,309.0
1766,kuato,
1767,kubbie kush,29.0
1768,kuchi,9.0
1769,kurple fantasy,57.0
1770,kush ben yamini,
1771,kush cleaner,20.0
1772,kush hemp,2.0
1773,kush rise,4.0
1774,kush n cheese,8.0
1775,kushadelic,16.0
1776,kushage,34.0
1777,kushashima,
1778,kushberry,160.0
1779,leagle eagle,22.0
1780,la sunshine,9.0
1781,lak federal reserve,15.0
1782,la cake,9.0
1783,la chocolat,94.0
1784,la confidential,1212.0
1785,la jack,
1786,la kookies,16.0
1787,la kush,41.0
1788,la og,69.0
1789,la ultra,22.0
1790,la woman,100.0
1791,lapd,
1792,lsd,1001.0
1793,lvpk,25.0
1794,la blanca,5.0
1795,la blanca gold,4.0
1796,la nina,
1797,la reina de africa,3.0
1798,lady liberty,
1799,ladyburn 1974,13.0
1800,lsd,1001.0
1801,lvpk,25.0
1802,la blanca,5.0
1803,la blanca gold,4.0
1804,la nina,
1805,la reina de africa,3.0
1806,lady liberty,
1807,ladyburn 1974,13.0
1808,lake of fire,51.0
1809,lamb s bread,775.0
1810,lambo og,17.0
1811,lamborghini,9.0
1812,lambs in space,5.0
1813,landos stash,
1814,larry bird kush,30.0
1815,larry og,714.0
1816,las vegas purple kush bx,8.0
1817,lashkar gah,14.0
1818,laughing buddha,210.0
1819,laughing gas,9.0
1820,lavender,724.0
1821,lavender haze,31.0
1822,lavender jones,155.0
1823,lazy lightning,
1824,lazy train,
1825,le silver royale,
1826,leda uno,
1827,lee roy,44.0
1828,legalized og,18.0
1829,legend og,38.0
1830,legend of nigeria,11.0
1831,legendary lemon,
1832,lem chem,7.0
1833,lemon alien dawg,69.0
1834,lemon banana sherbet,11.0
1835,lemon bananas,12.0
1836,lemon bubble,39.0
1837,lemon cake,86.0
1838,lemon cookies,13.0
1839,lemon crme,3.0
1840,lemon daddy,13.0
1841,lemon diesel,536.0
1842,lemon drop,191.0
1843,lemon fire,11.0
1844,lemon g,182.0
1845,lemon garlic og,4.0
1846,lemon haze,2208.0
1847,lemon ice,16.0
1848,lemon jack,128.0
1849,lemon jeffery,13.0
1850,lemon kush,1145.0
1851,lemon kush headband,3.0
1852,lemon larry lavender,15.0
1853,lemon marmalade,16.0
1854,lemon meringue,126.0
1855,lemon og haze,40.0
1856,lemon jack,128.0
1857,lemon jeffery,13.0
1858,lemon kush,1145.0
1859,lemon kush headband,3.0
1860,lemon larry lavender,15.0
1861,lemon marmalade,16.0
1862,lemon meringue,126.0
1863,lemon og haze,40.0
1864,lemon og,423.0
1865,lemon pie,42.0
1866,lemon prevention,
1867,lemon sativa,41.0
1868,lemon skunk,928.0
1869,lemon sorbet 3,8.0
1870,lemon tangie,3.0
1871,lemon thai,132.0
1872,lemon thai kush,2.0
1873,lemon tree,29.0
1874,lemon walker og,31.0
1875,lemon wreck,62.0
1876,lemon zest,9.0
1877,lemonberry,66.0
1878,lemonchello 28,10.0
1879,lemonder,25.0
1880,lemongrass,
1881,lemonhead og,80.0
1882,lennon,2.0
1883,leonidas,4.0
1884,lethal purple,6.0
1885,lethal purple,
1886,lifesaver,43.0
1887,lifestar,
1888,lifter,8.0
1889,light of jah,43.0
1890,lil sebastian,5.0
1891,lime green skunk,28.0
1892,key lime haze,32.0
1893,lime purple mist,
1894,lime skunk,72.0
1895,lime sorbet,34.0
1896,lime tart,5.0
1897,limon,26.0
1898,lions gate,11.0
1899,lions milk,1.0
1900,liquid butter,58.0
1901,little devil,5.0
1902,little dragon,5.0
1903,llanera,
1904,locktite,67.0
1905,locomotion,54.0
1906,lodi dodi,124.0
1907,logic diesel,
1908,longbottom leaf,12.0
1909,loopy fruit,2.0
1910,lost coast ghost,
1911,lost coast hash plant,3.0
1912,locktite,67.0
1913,locomotion,54.0
1914,lodi dodi,124.0
1915,logic diesel,
1916,longbottom leaf,12.0
1917,loopy fruit,2.0
1918,lost coast ghost,
1919,lost coast hash plant,3.0
1920,lost coast og,85.0
1921,lost sierra night nurse,
1922,lotus larry,
1923,loud dream,43.0
1924,loud lemonade,4.0
1925,loud scout,16.0
1926,love boat,2.0
1927,love is love,
1928,love potion,128.0
1929,love potion 9,46.0
1930,love triangle,3.0
1931,lowryder,29.0
1932,loyality,4.0
1933,luca brasi,
1934,luca brasi x sour diesel,
1935,lucid bolt,
1936,lucid dream,94.0
1937,lucifer og,4.0
1938,lucky charms,164.0
1939,lucy,36.0
1940,m 39,181.0
1941,m1 56,
1942,mac,73.0
1943,mc1,4.0
1944,milf,20.0
1945,mk ultra,680.0
1946,mad dawg,23.0
1947,mad scientist,39.0
1948,madagascar,
1949,madcow,7.0
1950,madman og,50.0
1951,madzilla,5.0
1952,mag 91,5.0
1953,mag landrace,89.0
1954,magellan,10.0
1955,magic beans og,9.0
1956,magic jordan,4.0
1957,magic melon,1.0
1958,magnificent mile,12.0
1959,magnum,32.0
1960,magnum opus,4.0
1961,magnum pi,18.0
1962,mai tai cookies,19.0
1963,majestic 12,5.0
1964,mako haze,45.0
1965,malakoff,9.0
1966,malawi,74.0
1967,malawi gold,9.0
1968,magnum opus,4.0
1969,magnum pi,18.0
1970,mai tai cookies,19.0
1971,majestic 12,5.0
1972,mako haze,45.0
1973,malakoff,9.0
1974,malawi,74.0
1975,malawi gold,9.0
1976,mammoth,27.0
1977,mandala 1,9.0
1978,mandarin cookies,45.0
1979,mandarin dreams,18.0
1980,mandarin jack,
1981,mandarin sunset,17.0
1982,mandarin tk,1.0
1983,mandarin zkittlez,2.0
1984,mango,471.0
1985,mango dream,47.0
1986,mango habanero,
1987,mango habanero,
1988,mango kush,1079.0
1989,mango sapphire,7.0
1990,mango sherbert,10.0
1991,mango tango,84.0
1992,mangolicious,
1993,manitoba poison,
1994,maple leaf indica,41.0
1995,maramota 10,1.0
1996,marcosus marshmellow,13.0
1997,margaret cho g,3.0
1998,marionberry kush,160.0
1999,marionberry pie,1.0
2000,marleys collie,
2001,marmalade,11.0
2002,mars og,187.0
2003,martian candy,29.0
2004,martian mean green,79.0
2005,martian muffins,2.0
2006,master bubba,112.0
2007,master jedi,74.0
2008,master kush,1681.0
2009,master og,80.0
2010,master skunk,26.0
2011,master yoda,171.0
2012,matanuska thunder fuck,188.0
2013,mataro blue,31.0
2014,matsu,
2015,mau mau,4.0
2016,maui,142.0
2017,maui berry,6.0
2018,maui bubble gift,44.0
2019,maui citrus punch,7.0
2020,maui haole,
2021,maui mango diesel,24.0
2022,maui mango diesel,
2023,maui wowie,1369.0
2024,maui,142.0
2025,maui berry,6.0
2026,maui bubble gift,44.0
2027,maui citrus punch,7.0
2028,maui haole,
2029,maui mango diesel,24.0
2030,maui mango diesel,
2031,maui wowie,1369.0
2032,maui wowie,
2033,mazar i sharif,128.0
2034,mazar kush,66.0
2035,mazar x blueberry,1036.0
2036,mazar x blueberry,1036.0
2037,mazari,3.0
2038,mean misty,
2039,medihaze,128.0
2040,medibud,97.0
2041,medical 49,
2042,medicine man,123.0
2043,medicine woman,24.0
2044,medusa,63.0
2045,mega jackpot,17.0
2046,megalodon,25.0
2047,mekamika haze,1.0
2048,melon gum,46.0
2049,melonberry,
2050,member berry,32.0
2051,memory loss,57.0
2052,mendo afgoo,7.0
2053,mendo breath,307.0
2054,mendo montage,3.0
2055,mendo queen,3.0
2056,mendo supremo,
2057,mendocino madness,3.0
2058,mendocino purps,280.0
2059,mercury og,50.0
2060,merlot og,10.0
2061,mexican,77.0
2062,mexican kush,1.0
2063,mexican sativa,53.0
2064,michael phelps og,
2065,michka,2.0
2066,mickey kush,106.0
2067,middlefork,126.0
2068,middlefork x pineapple express,11.0
2069,midnight,97.0
2070,mighty glue,5.0
2071,mighty quin,1.0
2072,mike larry,
2073,milky way,17.0
2074,millennium,
2075,mimosa,255.0
2076,mint chocolate chip,29.0
2077,mint lemonade,
2078,mission kush,3.0
2079,misty kush,27.0
2080,mike larry,
2081,milky way,17.0
2082,millennium,
2083,mimosa,255.0
2084,mint chocolate chip,29.0
2085,mint lemonade,
2086,mission kush,3.0
2087,misty kush,27.0
2088,misty morning,2.0
2089,mob boss,259.0
2090,moby dick,586.0
2091,mochi,30.0
2092,molokai frost,15.0
2093,molokai purpz,3.0
2094,money maker,56.0
2095,monkey bread 1,3.0
2096,monkey paw,48.0
2097,monkey thunder,3.0
2098,monolith,6.0
2099,monster cookies,288.0
2100,monster og,46.0
2101,montana silvertip,122.0
2102,moon cookies,17.0
2103,moon drops,3.0
2104,moon walk,3.0
2105,moonbeam,44.0
2106,moondance,7.0
2107,moonshine haze,165.0
2108,moontang,
2109,moonwalker kush,19.0
2110,moose and lobsta,66.0
2111,more cowbell,1.0
2112,morning glory,14.0
2113,morning star,27.0
2114,mossad,4.0
2115,mossimo og,
2116,motavation,
2117,mother tongue,28.0
2118,mother of all cherries,2.0
2119,mother of berries,154.0
2120,mothers milk,48.0
2121,mothertongue,3.0
2122,mothers finest,
2123,mothers helper,109.0
2124,motorbreath,25.0
2125,mountain girl,11.0
2126,mountain girl x grape ape,
2127,mountain temple,
2128,mountain thunder,6.0
2129,mozambique poison,3.0
2130,mr nice,780.0
2131,mr tusk,7.0
2132,ms universe,14.0
2133,mt cook,4.0
2134,mt hood magic,72.0
2135,mt rainier,15.0
2136,mountain thunder,6.0
2137,mozambique poison,3.0
2138,mr nice,780.0
2139,mr tusk,7.0
2140,ms universe,14.0
2141,mt cook,4.0
2142,mt hood magic,72.0
2143,mt rainier,15.0
2144,mud bite,6.0
2145,murkle,
2146,mystery 98,7.0
2147,mystery jazz,3.0
2148,nl5 haze mist,9.0
2149,ny cheese,17.0
2150,ny 47,13.0
2151,nyc diesel,878.0
2152,nypd,56.0
2153,nanas fix,6.0
2154,narnia,60.0
2155,nchoosha y,
2156,nebula,268.0
2157,nebula ii cbd,29.0
2158,nectarine lips,
2159,negra 44,6.0
2160,neil haze,1.0
2161,nepalese,47.0
2162,nepalese jam,6.0
2163,neptune kush,
2164,neptune og,40.0
2165,neroli 91,
2166,nevils wreck,12.0
2167,nevilles haze,95.0
2168,new glue,117.0
2169,newberry,
2170,nexus og,4.0
2171,nice cherry,14.0
2172,nicole kush,20.0
2173,night nurse,64.0
2174,night terror og,107.0
2175,night train,12.0
2176,nightfire og,32.0
2177,nightmare cookies,50.0
2178,nightmare og,4.0
2179,nina limone,9.0
2180,ninja fruit,37.0
2181,nor cal purps,
2182,nordle,73.0
2183,north american,11.0
2184,north american sativa,8.0
2185,north indian,4.0
2186,northernberry,54.0
2187,northern cross,
2188,northern lights,2914.0
2189,northern lights  5,179.0
2190,northern lights 5 x haze,40.0
2191,northern skunk,50.0
2192,north american sativa,8.0
2193,north indian,4.0
2194,northernberry,54.0
2195,northern cross,
2196,northern lights,2914.0
2197,northern lights  5,179.0
2198,northern lights 5 x haze,40.0
2199,northern skunk,50.0
2200,northern wreck,80.0
2201,northwest pineapple,
2202,nova,
2203,nuclear cookies,20.0
2204,nuggetry og,
2205,nukeheads,9.0
2206,nuken,206.0
2207,nurse jackie,38.0
2208,oca gold,
2209,ocas cloud 9,15.0
2210,ocd,
2211,og 18,359.0
2212,og 1 kenobi,16.0
2213,og cheese,91.0
2214,og chem,145.0
2215,og diesel kush,97.0
2216,og eddy lepp,3.0
2217,og glue sniffer,11.0
2218,og kush,5075.0
2219,og la affie,30.0
2220,og lime killer,4.0
2221,og los angeles kush,17.0
2222,og poison,40.0
2223,og purple fire thai,2.0
2224,og ringo,21.0
2225,og shark,136.0
2226,og skunk,48.0
2227,og sour diesel,11.0
2228,og strawberry,28.0
2229,og strawberry star killer,
2230,og tonic,
2231,og wreck,55.0
2232,ogs pearl,25.0
2233,ogkb,20.0
2234,ogkz,2.0
2235,ogiesel,69.0
2236,obama kush,663.0
2237,ocean view,17.0
2238,odyssey,
2239,ogre,305.0
2240,ogre berry,14.0
2241,ol betsy,1.0
2242,old dirty biker,
2243,old lyme connecticut og,
2244,old mother sativa,4.0
2245,old school og,12.0
2246,old toby,10.0
2247,oldtimers haze,1.0
2248,ogre berry,14.0
2249,ol betsy,1.0
2250,old dirty biker,
2251,old lyme connecticut og,
2252,old mother sativa,4.0
2253,old school og,12.0
2254,old toby,10.0
2255,oldtimers haze,1.0
2256,omega,31.0
2257,omega dawg,24.0
2258,one to one,18.0
2259,opal og kush,18.0
2260,opium,13.0
2261,or,20.0
2262,orange afghani,
2263,orange blossom,20.0
2264,orange bud,237.0
2265,orange bud,
2266,orange cream,3.0
2267,orange creamsicle,81.0
2268,orange crush,480.0
2269,orange diesel,76.0
2270,orange dream,83.0
2271,orange durban,11.0
2272,orange fanta,
2273,orange harambe,5.0
2274,orange haze,153.0
2275,orange hill special,10.0
2276,orange juice,42.0
2277,orange kush,717.0
2278,orange kush breath,6.0
2279,orange poison,
2280,orange romulan,
2281,orange skunk,38.0
2282,orange snow cone,2.0
2283,orange turbo,15.0
2284,orange velvet,61.0
2285,orange wreck,12.0
2286,orangutang,3.0
2287,oregon diesel,89.0
2288,oregon pineapple,42.0
2289,oregon pinot noir,14.0
2290,organic diesel,
2291,orient express,6.0
2292,original glue,3865.0
2293,ortega,9.0
2294,oteils egyptian kush,
2295,outer space,101.0
2296,outlaw,16.0
2297,ozma,
2298,p 51,
2299,p 91,23.0
2300,pb souffl,2.0
2301,ptsd,
2302,pvc og,
2303,pacific blue,16.0
2304,outlaw,16.0
2305,ozma,
2306,p 51,
2307,p 91,23.0
2308,pb souffl,2.0
2309,ptsd,
2310,pvc og,
2311,pacific blue,16.0
2312,pacific frost,6.0
2313,pagoda,5.0
2314,pakistan valley kush,20.0
2315,pakistani chitral kush,85.0
2316,palm tree cbd,26.0
2317,pamelina,15.0
2318,pan jam,
2319,panama punch,23.0
