,strain,effect_1,effect_2,effect_3,effect_4,effect_5
819,cronuts, relaxed, focused, uplifted, happy, creative 
820,crosswalker, relaxed, happy, creative, euphoric, hungry 
821,crouching tiger hidden alien, sleepy, relaxed, uplifted, happy, euphoric 
822,crown og, relaxed, uplifted, euphoric, happy, sleepy 
823,crown royale, hungry, relaxed, happy, creative, euphoric 
824,crumbled lime, euphoric, relaxed, focused, happy, uplifted 
825,crunch berry kush, relaxed, euphoric, happy, giggly, sleepy 
826,crypt, relaxed, focused, happy, euphoric, creative 
827,crystal coma, relaxed, happy, uplifted, euphoric, hungry 
828,crystal gayle, happy, euphoric, relaxed, focused, giggly 
829,crystalberry, aroused, sleepy, relaxed, hungry, giggly 
830,cuvee, tingly, talkative, relaxed, giggly, happy 
831,cypress og, happy, relaxed, aroused, creative, euphoric 
832,dj andy williams, creative, energetic ,,,
833,dj short blueberry, relaxed, sleepy, happy, euphoric, uplifted 
834,dj smoke, euphoric, aroused, happy, giggly, relaxed 
835,dairy queen, happy, energetic, euphoric, relaxed, focused 
836,dakini kush, relaxed, sleepy, uplifted, happy, euphoric 
837,cuvee, tingly, talkative, relaxed, giggly, happy 
838,cypress og, happy, relaxed, aroused, creative, euphoric 
839,dj andy williams, creative, energetic ,,,
840,dj short blueberry, relaxed, sleepy, happy, euphoric, uplifted 
841,dj smoke, euphoric, aroused, happy, giggly, relaxed 
842,dairy queen, happy, energetic, euphoric, relaxed, focused 
843,dakini kush, relaxed, sleepy, uplifted, happy, euphoric 
844,damn sour, hungry, happy, creative, euphoric, focused 
845,damnesia, relaxed, happy, creative, euphoric, hungry 
846,dance world, happy, relaxed, hungry, uplifted, energetic 
847,dancehall, relaxed, happy, uplifted, energetic, euphoric 
848,dank schrader, relaxed, euphoric, uplifted, hungry, aroused 
849,dank sinatra, giggly, happy, relaxed, uplifted, creative 
850,double d, euphoric, happy, uplifted, aroused, energetic 
851,dark blue dream, happy, uplifted, euphoric, relaxed, creative 
852,dark shadow haze, euphoric, relaxed, giggly, happy, aroused 
853,dark side of the moon, relaxed, euphoric, sleepy, happy, uplifted 
854,dark star, relaxed, sleepy, happy, euphoric, hungry 
855,darkside og, relaxed, happy, uplifted, sleepy, euphoric 
856,darth vader og, relaxed, sleepy, euphoric, happy, uplifted 
857,dawgs waltz, relaxed, happy, tingly, euphoric, giggly 
858,dawgfather og, relaxed, sleepy, euphoric, hungry, tingly 
859,day tripper, relaxed, euphoric, focused, happy, uplifted 
860,daywalker, euphoric, relaxed, sleepy ,,
861,deadhead og, relaxed, happy, euphoric, uplifted, focused 
862,deadlights, uplifted, relaxed, sleepy, focused, happy 
863,deadwood, relaxed, happy, uplifted, talkative, focused 
864,death bubba, relaxed, sleepy, euphoric, happy, uplifted 
865,death by cake og, energetic, euphoric, happy ,,
866,death star, relaxed, euphoric, happy, sleepy, uplifted 
867,deathstar og, euphoric, talkative, creative, giggly, hungry 
868,deep breath, happy, energetic, creative, euphoric, focused 
869,deep cheese, euphoric, happy, creative, hungry, focused 
870,deep chunk, relaxed, happy, euphoric, sleepy, creative 
871,deep purple, relaxed, euphoric, sleepy, hungry, uplifted 
872,deep sleep, sleepy, relaxed, happy, euphoric, hungry 
873,delahaze, energetic, uplifted, happy, creative, euphoric 
874,denver maple, relaxed, sleepy, uplifted, hungry, focused 
875,destar bx, euphoric, energetic ,,,
876,desert diesel, happy, talkative, uplifted, giggly, relaxed 
877,desert star, hungry, creative, energetic, euphoric, giggly 
878,destroyer, energetic, happy, uplifted, euphoric, giggly 
879,devil fruit, sleepy, relaxed, focused, tingly, hungry 
880,devils tit, euphoric, happy, focused, energetic, creative 
881,diablo, relaxed, sleepy, happy, euphoric, uplifted 
882,diamond og, sleepy, relaxed, happy, euphoric, hungry 
883,diamond socks, happy, relaxed ,,,
884,diamond valley kush, relaxed, uplifted, talkative, happy, focused 
885,diesel dough, energetic, happy, uplifted, euphoric, talkative 
886,diesel duff, happy, euphoric, uplifted, energetic, creative 
887,diesel glue, happy, uplifted, focused, hungry, sleepy 
888,diablo, relaxed, sleepy, happy, euphoric, uplifted 
889,diamond og, sleepy, relaxed, happy, euphoric, hungry 
890,diamond socks, happy, relaxed ,,,
891,diamond valley kush, relaxed, uplifted, talkative, happy, focused 
892,diesel dough, energetic, happy, uplifted, euphoric, talkative 
893,diesel duff, happy, euphoric, uplifted, energetic, creative 
894,diesel glue, happy, uplifted, focused, hungry, sleepy 
895,dieseltonic, euphoric, uplifted, happy, energetic, hungry 
896,digweed, relaxed, happy, uplifted, sleepy, tingly 
897,dinachem, relaxed, happy, creative, euphoric, hungry 
898,dirty girl, focused, happy, energetic, relaxed, giggly 
899,dirty old bastard, relaxed, uplifted, happy, creative, focused 
900,dirty widow, uplifted, energetic, euphoric, giggly, happy 
901,disney blue, uplifted, happy, creative, euphoric, energetic 
902,divina obscura, energetic, relaxed, uplifted ,,
903,dizzy og, relaxed, happy, energetic, euphoric, talkative 
904,django, energetic, uplifted, happy, euphoric, talkative 
905,do over og, creative, euphoric, happy, talkative, uplifted 
906,do si dos, relaxed, happy, euphoric, sleepy, uplifted 
907,doc holliday, happy, relaxed, uplifted, energetic, euphoric 
908,doctor doctor, uplifted, relaxed, aroused, focused, happy 
909,dog shit, happy, energetic, relaxed, sleepy, euphoric 
910,dogwalker og, relaxed, happy, euphoric, focused, uplifted 
911,dolla sign og kush, creative, energetic, hungry, relaxed, sleepy 
912,domino, sleepy, happy, tingly, uplifted, focused 
913,don carlos, relaxed, happy, uplifted, creative, energetic 
914,don shula, uplifted, euphoric, relaxed, happy, creative 
915,dons ghost, euphoric, giggly, tingly ,,
916,donegal, uplifted, creative, euphoric, relaxed, happy 
917,donkey butter, relaxed, happy, creative, uplifted, euphoric 
918,donna og, relaxed, euphoric, uplifted, happy, hungry 
919,doobiebird daydream, relaxed, tingly, hungry, happy, euphoric 
920,doox, energetic, uplifted, happy, focused, euphoric 
921,dopium, euphoric, uplifted, relaxed, happy, focused 
922,dorit, relaxed, euphoric, uplifted, tingly, focused 
923,double barrel og, relaxed, euphoric, focused, hungry, creative 
924,double diesel, happy, energetic, uplifted, creative, relaxed 
925,double dream, uplifted, relaxed, happy, euphoric, energetic 
926,double dutch, uplifted, euphoric, relaxed, giggly, hungry 
927,double mint, relaxed, uplifted, happy, euphoric, sleepy 
928,double og, euphoric, relaxed, sleepy, giggly, happy 
929,double purple doja, relaxed, happy, euphoric, creative, hungry 
930,double tangie banana, happy, uplifted, relaxed, euphoric, creative 
931,double tap, relaxed, euphoric, sleepy, hungry, happy 
932,dougs varin, energetic, focused, uplifted, euphoric, creative 
933,dr feelgood, euphoric, happy, relaxed, tingly, uplifted 
934,dr funk, relaxed, happy, euphoric, uplifted, tingly 
935,double purple doja, relaxed, happy, euphoric, creative, hungry 
936,double tangie banana, happy, uplifted, relaxed, euphoric, creative 
937,double tap, relaxed, euphoric, sleepy, hungry, happy 
938,dougs varin, energetic, focused, uplifted, euphoric, creative 
939,dr feelgood, euphoric, happy, relaxed, tingly, uplifted 
940,dr funk, relaxed, happy, euphoric, uplifted, tingly 
941,dr greenthumbs em dog, euphoric, happy, hungry, relaxed ,
942,dr grinspoon, energetic, uplifted, euphoric, creative, focused 
943,dr quantum, relaxed, sleepy ,,,
944,dr who, relaxed, happy, euphoric, uplifted, giggly 
945,dragon fruit, focused, happy, relaxed, hungry, sleepy 
946,dragon og, relaxed, happy, euphoric, uplifted, talkative 
947,dragon punch, uplifted, euphoric, relaxed, tingly, focused 
948,dragons breath, happy, uplifted, euphoric, focused, creative 
949,dreadlock, focused, relaxed, creative, energetic, happy 
950,dream beaver, happy, uplifted, creative, relaxed, euphoric 
951,dream berry, relaxed, sleepy, hungry, happy, euphoric 
952,dream girl, happy, talkative, energetic, creative, relaxed 
953,dream lotus, relaxed, happy, uplifted, focused, hungry 
954,dream machine, happy, relaxed, euphoric, aroused, uplifted 
955,dream police, uplifted, euphoric, happy, relaxed, energetic 
956,dream queen, happy, euphoric, uplifted, relaxed, creative 
957,dream star, euphoric, happy, uplifted, energetic, creative 
958,dreamcatcher, happy, relaxed, focused, creative, sleepy 
959,dreamers glass, uplifted, euphoric, creative, relaxed, giggly 
960,drizella, focused, creative, sleepy, uplifted, energetic 
961,duct tape, relaxed, happy, euphoric, uplifted, hungry 
962,duke nukem, creative, energetic, euphoric, relaxed, happy 
963,durban berry, relaxed, happy, focused, uplifted, creative 
964,durban cheese, uplifted, happy, talkative, energetic, relaxed 
965,durban cookies, happy, uplifted, energetic, focused, relaxed 
966,durban poison, energetic, uplifted, happy, focused, euphoric 
967,durban princess, energetic, happy, giggly, uplifted, creative 
968,durga mata, relaxed, tingly, happy, sleepy, uplifted 
969,dutch crunch, focused, happy, talkative, uplifted, hungry 
970,dutch dragon, happy, euphoric, talkative, uplifted, energetic 
971,dutch hawaiian f26d85d8964844c0a3e447bceefefa9f, energetic, euphoric, focused, uplifted ,
972,dutch hawaiian, happy, uplifted, creative, euphoric, energetic 
973,dutch haze, uplifted, euphoric, creative, energetic, relaxed 
974,dutch kush, relaxed, focused, sleepy, euphoric, tingly 
975,dutch queen, happy, uplifted, euphoric, energetic, hungry 
976,dutch thunder fuck, euphoric, uplifted, happy, giggly, creative 
977,dutch treat, relaxed, euphoric, happy, uplifted, focused 
978,dutch treat haze, happy, giggly, relaxed, euphoric, uplifted 
979,dutchberry, happy, uplifted, relaxed, creative, focused 
980,dynamite, relaxed, happy, euphoric, sleepy, hungry 
981,eagle bill, giggly, hungry, relaxed ,,
982,early girl, relaxed, hungry, sleepy, energetic, euphoric 
983,early glue rbx1, euphoric, giggly, hungry, sleepy, tingly 
984,early miss, creative, euphoric, relaxed, aroused, happy 
985,early pearl, relaxed, hungry, talkative, euphoric, focused 
986,dutch treat haze, happy, giggly, relaxed, euphoric, uplifted 
987,dutchberry, happy, uplifted, relaxed, creative, focused 
988,dynamite, relaxed, happy, euphoric, sleepy, hungry 
989,eagle bill, giggly, hungry, relaxed ,,
990,early girl, relaxed, hungry, sleepy, energetic, euphoric 
991,early glue rbx1, euphoric, giggly, hungry, sleepy, tingly 
992,early miss, creative, euphoric, relaxed, aroused, happy 
993,early pearl, relaxed, hungry, talkative, euphoric, focused 
994,early skunk, focused, relaxed, happy, euphoric, energetic 
995,earth og, relaxed, uplifted, giggly, euphoric, creative 
996,earthquake, happy, focused, relaxed, euphoric, creative 
997,earthshaker og, happy, uplifted, creative, relaxed, euphoric 
998,east coast alien, happy, energetic, giggly, uplifted, relaxed 
999,east coast sour diesel, happy, euphoric, energetic, uplifted, creative 
1000,eastern european, energetic, euphoric, giggly, happy, relaxed 
1001,easy bud, relaxed, sleepy, focused, euphoric, aroused 
1002,easy peezy, relaxed, uplifted, creative, euphoric, happy 
1003,ebola 7, talkative, creative, relaxed, happy, focused 
1004,ecto cooler, relaxed, happy, euphoric, uplifted, focused 
1005,ed rosenthal super bud, sleepy, happy, relaxed, euphoric, uplifted 
1006,edelweiss, happy, relaxed, creative, hungry, focused 
1007,egyptian royalty 1, relaxed ,,,,
1008,el chapo, uplifted, energetic, euphoric, focused, aroused 
1009,el chapo og, happy, relaxed, sleepy, hungry, uplifted 
1010,el jeffe, relaxed, hungry, aroused, euphoric, sleepy 
1011,el nino, relaxed, euphoric, creative, hungry, happy 
1012,el perro, happy, relaxed, uplifted, euphoric, creative 
1013,el na, aroused, happy, relaxed, tingly ,
1014,elderberry kush, happy, hungry, giggly, uplifted, energetic 
1015,electric black mamba, tingly, hungry, aroused, relaxed, sleepy 
1016,electric kool aid, happy, euphoric, energetic, relaxed, uplifted 
1017,electric lemon g, relaxed, focused, sleepy, euphoric, talkative 
1018,electric lemonade, euphoric, happy, uplifted, relaxed, energetic 
1019,elektra, relaxed, sleepy, euphoric, talkative, uplifted 
1020,elephant, happy, euphoric, talkative, energetic, uplifted 
1021,elmers glue, relaxed, hungry, happy, uplifted, giggly 
1022,elphinstone, uplifted, euphoric, energetic, tingly, happy 
1023,elvis, uplifted, relaxed, euphoric, happy, creative 
1024,emerald jack, happy, focused, creative, energetic, euphoric 
1025,emerald og, relaxed, happy, sleepy, uplifted, euphoric 
1026,emperor cookie dough, relaxed, uplifted, happy, euphoric, focused 
1027,endless sky, relaxed, sleepy, creative, euphoric, happy 
1028,enemy of the state, relaxed, sleepy, hungry, happy, uplifted 
1029,enigma, happy, euphoric, hungry, uplifted, relaxed 
1030,eran almog, relaxed, uplifted, sleepy, tingly, hungry 
1031,erez, focused, relaxed, happy, sleepy, hungry 
1032,ether, relaxed, sleepy, euphoric, happy, hungry 
1033,ethiopian, hungry, happy, euphoric, focused, giggly 
1034,ethos hash plant bx1, energetic, focused, relaxed ,,
1035,euphoria, euphoric, happy, uplifted, energetic, talkative 
1036,eugene cream, relaxed, happy, creative, euphoric, focused 
1037,euphoria cookies, euphoric, uplifted, hungry, focused, energetic 
1038,erez, focused, relaxed, happy, sleepy, hungry 
1039,ether, relaxed, sleepy, euphoric, happy, hungry 
1040,ethiopian, hungry, happy, euphoric, focused, giggly 
1041,ethos hash plant bx1, energetic, focused, relaxed ,,
1042,euphoria, euphoric, happy, uplifted, energetic, talkative 
1043,eugene cream, relaxed, happy, creative, euphoric, focused 
1044,euphoria cookies, euphoric, uplifted, hungry, focused, energetic 
1045,everlast, relaxed, sleepy, euphoric, happy, focused 
1046,exodus cheese, focused, relaxed, happy, uplifted, creative 
1047,extreme cream, relaxed, happy, uplifted, euphoric, hungry 
1048,extreme og, relaxed, sleepy, hungry, euphoric, happy 
1049,f 13, aroused, creative, energetic, euphoric, focused 
1050,fn louzer, relaxed, sleepy, aroused, focused, hungry 
1051,fpog, happy, euphoric, relaxed, uplifted, giggly 
1052,face off bx2, creative, focused, happy, relaxed, tingly 
1053,face off og, relaxed, happy, euphoric, sleepy, focused 
1054,face on fire, creative, euphoric, giggly, hungry, relaxed 
1055,faded glory, happy, relaxed, uplifted, sleepy, talkative 
1056,fallen angel, relaxed, happy, uplifted, talkative, hungry 
1057,false teeth, relaxed, happy, euphoric, sleepy, uplifted 
1058,fast eddy, talkative, hungry, happy, uplifted, energetic 
1059,fat axl, energetic, focused, tingly, talkative, creative 
1060,fat nelson, euphoric, talkative, aroused, relaxed, hungry 
1061,fat purple, euphoric, relaxed, happy, aroused, giggly 
1062,fauxsido, euphoric, happy, relaxed ,,
1063,faygo red pop, happy, giggly, uplifted, talkative, relaxed 
1064,fighting buddha, creative, energetic, focused, happy, euphoric 
1065,fire alien kush, relaxed, euphoric, happy, uplifted, focused 
1066,fire alien strawberry, hungry, giggly, uplifted, energetic, focused 
1067,fire haze, happy, euphoric, uplifted, energetic, focused 
1068,fire og, relaxed, happy, euphoric, uplifted, hungry 
1069,firewalker og, uplifted, happy, energetic, relaxed, focused 
1070,first 48, happy, relaxed, creative, euphoric, uplifted 
1071,first light, giggly, happy, relaxed, sleepy, tingly 
1072,flaming cookies, relaxed, happy, euphoric, sleepy, hungry 
1073,flo, happy, uplifted, relaxed, energetic, focused 
1074,flo limone, happy, uplifted, relaxed, focused, tingly 
1075,flo og, relaxed, happy, euphoric, uplifted, hungry 
1076,flo walker, happy, relaxed, euphoric, talkative, creative 
1077,florida og, creative, tingly ,,,
1078,flowerbomb kush, giggly, happy, euphoric, energetic, uplifted 
1079,flowers for algernon, creative, uplifted, aroused, energetic, happy 
1080,forbidden fruit, relaxed, happy, euphoric, sleepy, uplifted 
1081,forbidden zkittlez, creative, euphoric ,,,
1082,formula one, creative, energetic, euphoric, focused ,
1083,fortune cookies, happy, relaxed, sleepy, euphoric, uplifted 
1084,forum cut cookies s1, happy, euphoric, uplifted, energetic, creative 
1085,foul mouth, relaxed, euphoric, uplifted, happy, giggly 
1086,flowers for algernon, creative, uplifted, aroused, energetic, happy 
1087,forbidden fruit, relaxed, happy, euphoric, sleepy, uplifted 
1088,forbidden zkittlez, creative, euphoric ,,,
1089,formula one, creative, energetic, euphoric, focused ,
1090,fortune cookies, happy, relaxed, sleepy, euphoric, uplifted 
1091,forum cut cookies s1, happy, euphoric, uplifted, energetic, creative 
1092,foul mouth, relaxed, euphoric, uplifted, happy, giggly 
1093,four cups, aroused, energetic, euphoric, focused, happy 
1094,four star general, euphoric, hungry, happy, relaxed, sleepy 
1095,four way, relaxed, creative, happy, tingly, uplifted 
1096,franks gift, relaxed, uplifted, happy, focused, euphoric 
1097,frankenstein, relaxed, happy, euphoric, uplifted, sleepy 
1098,fred flipn stoned, happy, relaxed, euphoric, hungry, sleepy 
1099,freezeland, happy, euphoric, creative, energetic, hungry 
1100,french bread, sleepy, happy, euphoric, relaxed, aroused 
1101,frida, relaxed, tingly, uplifted, sleepy, happy 
1102,frisian dew, euphoric, relaxed, happy, focused, creative 
1103,frisian duck, happy, euphoric, relaxed, hungry, energetic 
1104,frostbite, happy, relaxed, uplifted, euphoric, focused 
1105,frosted cherry cookies, happy, relaxed, euphoric, sleepy, tingly 
1106,frosted freak, euphoric, focused, energetic, creative, happy 
1107,frosty, happy, creative, energetic, euphoric, uplifted 
1108,frosty jesus, creative, euphoric, focused, happy, relaxed 
1109,fruit crusher, energetic, happy, relaxed, euphoric, hungry 
1110,fruit loops, happy, relaxed, uplifted, talkative, euphoric 
1111,fruit punch, focused, energetic, happy, relaxed, uplifted 
1112,fruit spirit, happy, relaxed, talkative, creative, giggly 
1113,fruity chronic juice, relaxed, happy, creative, euphoric, aroused 
1114,fruity juice, energetic, focused ,,,
1115,fruity widow, relaxed, happy, hungry, sleepy, creative 
1116,fruitylicious, aroused, tingly, relaxed, happy, euphoric 
1117,fucking incredible, relaxed, happy, euphoric, uplifted, tingly 
1118,full moon, uplifted, energetic, happy, creative, giggly 
1119,funfetti, relaxed, euphoric, uplifted, happy, energetic 
1120,funky monkey, happy, relaxed, euphoric, giggly, uplifted 
1121,future, happy, relaxed, euphoric, uplifted, creative 
1122,g force, relaxed, focused, happy, sleepy, aroused 
1123,goat, relaxed, euphoric, focused, happy, sleepy 
1124,g 13, relaxed, happy, euphoric, sleepy, uplifted 
1125,g13 diesel, euphoric, happy, energetic, relaxed, focused 
1126,g13 haze, happy, uplifted, relaxed, energetic, euphoric 
1127,g13 widow, euphoric, focused, creative, happy, tingly 
1128,gdp electric, aroused, creative, energetic, euphoric, relaxed 
1129,gi 001, relaxed, creative, energetic, focused, happy 
1130,gmo cookies, relaxed, happy, euphoric, uplifted, sleepy 
1131,griz kush, happy, relaxed, creative, uplifted, focused 
1132,gsc, happy, relaxed, euphoric, uplifted, creative 
1133,gto, energetic, focused, creative, euphoric, giggly 
1134,gabriel sherbet, euphoric, relaxed, tingly, happy, creative 
1135,galactic jack, focused, happy, uplifted, euphoric, energetic 
1136,gdp electric, aroused, creative, energetic, euphoric, relaxed 
1137,gi 001, relaxed, creative, energetic, focused, happy 
1138,gmo cookies, relaxed, happy, euphoric, uplifted, sleepy 
1139,griz kush, happy, relaxed, creative, uplifted, focused 
1140,gsc, happy, relaxed, euphoric, uplifted, creative 
1141,gto, energetic, focused, creative, euphoric, giggly 
1142,gabriel sherbet, euphoric, relaxed, tingly, happy, creative 
1143,galactic jack, focused, happy, uplifted, euphoric, energetic 
1144,galactica og, relaxed, euphoric, happy, uplifted, sleepy 
1145,game changer, focused, euphoric, relaxed, uplifted, creative 
1146,gandalf og, happy, uplifted, relaxed, euphoric, energetic 
1147,ganesh berry, euphoric, relaxed, happy, uplifted, focused 
1148,garlic bud, relaxed, happy, uplifted, sleepy, giggly 
1149,gas mask, relaxed, sleepy, tingly, giggly, hungry 
1150,gatekeeper og, euphoric, relaxed, focused, happy, hungry 
1151,gelato, relaxed, happy, euphoric, uplifted, creative 
1152,gelato 33, relaxed, happy, euphoric, uplifted, focused 
1153,gemstone, happy, relaxed, euphoric, uplifted, focused 
1154,georgia pine, relaxed, euphoric, happy, uplifted, giggly 
1155,ghost bubba, relaxed, focused, sleepy, happy, euphoric 
1156,ghost cookies, relaxed, happy, euphoric, uplifted, sleepy 
1157,ghost og, relaxed, happy, uplifted, euphoric, focused 
1158,ghost og moonshine, relaxed, euphoric, happy, focused, tingly 
1159,ghost rider og, relaxed, happy, euphoric, sleepy, uplifted 
1160,ghost ship, relaxed, sleepy, euphoric, uplifted, tingly 
1161,ghost train haze, euphoric, uplifted, happy, energetic, relaxed 
1162,ghostbreath, aroused, talkative, creative, hungry, relaxed 
1163,gigabud, relaxed, happy, sleepy, giggly, hungry 
1164,gilz nilz, happy, relaxed, uplifted, euphoric, energetic 
1165,ginger ale, euphoric, happy, relaxed, tingly, giggly 
1166,ginger punch, happy, tingly, uplifted, relaxed, focused 
1167,glad max, euphoric, relaxed, uplifted, happy, creative 
1168,glass apple, happy, relaxed, euphoric, energetic, aroused 
1169,glass slipper, euphoric, happy, uplifted, relaxed, energetic 
1170,glue tech, relaxed, focused, euphoric, hungry, tingly 
1171,gluechee, euphoric, aroused, happy, tingly ,
1172,gnome walker, euphoric, giggly, happy, relaxed, uplifted 
1173,go time, focused, energetic, happy, uplifted, creative 
1174,goat head, relaxed, aroused, energetic, euphoric, giggly 
1175,gobbilygoo, euphoric, happy, hungry, relaxed, tingly 
1176,gobbstopper, relaxed, sleepy, euphoric, happy, hungry 
1177,god bud, relaxed, happy, euphoric, sleepy, hungry 
1178,gods green crack, energetic, euphoric, happy, relaxed, uplifted 
1179,godberry, relaxed, happy, euphoric, uplifted, creative 
1180,godfather og, relaxed, sleepy, euphoric, happy, hungry 
1181,godfather purple kush, euphoric, relaxed, happy, sleepy, tingly 
1182,godzilla, happy, relaxed, tingly, giggly, creative 
1183,godzilla blood, happy, hungry, relaxed, creative, energetic 
1184,godzilla glue, relaxed, happy, uplifted, creative, energetic 
1185,gods bubba, relaxed, happy, sleepy, euphoric, creative 
1186,gods treat, relaxed, sleepy, happy, euphoric, uplifted 
1187,godberry, relaxed, happy, euphoric, uplifted, creative 
1188,godfather og, relaxed, sleepy, euphoric, happy, hungry 
1189,godfather purple kush, euphoric, relaxed, happy, sleepy, tingly 
1190,godzilla, happy, relaxed, tingly, giggly, creative 
1191,godzilla blood, happy, hungry, relaxed, creative, energetic 
1192,godzilla glue, relaxed, happy, uplifted, creative, energetic 
1193,gods bubba, relaxed, happy, sleepy, euphoric, creative 
1194,gods treat, relaxed, sleepy, happy, euphoric, uplifted 
1195,gog magog, sleepy, euphoric, happy, relaxed, hungry 
1196,goji diesel, euphoric, uplifted, relaxed, focused, creative 
1197,goji og, happy, euphoric, uplifted, relaxed, energetic 
1198,gold kings thai, happy, energetic, uplifted, creative, focused 
1199,goldberry, creative, happy, focused, energetic, uplifted 
1200,golden calyx, relaxed, energetic, happy, uplifted, hungry 
1201,golden gage, energetic, talkative, happy, relaxed, uplifted 
1202,golden goat, happy, euphoric, uplifted, relaxed, energetic 
1203,golden lemon, relaxed, happy, uplifted, euphoric, tingly 
1204,golden nugget, creative, energetic, happy, focused, hungry 
1205,golden panda, uplifted, happy, relaxed, creative, giggly 
1206,golden pineapple, happy, uplifted, energetic, relaxed, euphoric 
1207,golden state banana, relaxed, happy, focused, euphoric, creative 
1208,golden tangie, euphoric, happy, uplifted, focused, tingly 
1209,golden ticket, euphoric, happy, relaxed, uplifted, creative 
1210,golden tiger, talkative, energetic, uplifted, happy, focused 
1211,goldwing, happy, uplifted, euphoric, creative, energetic 
1212,goo, relaxed, happy, sleepy, euphoric, uplifted 
1213,gooberry, relaxed, happy, euphoric, hungry, sleepy 
1214,good medicine, relaxed, happy, euphoric, giggly, uplifted 
1215,gorilla biscuit, sleepy, relaxed, happy, euphoric, hungry 
1216,gorilla breath, happy, creative, euphoric, focused, giggly 
1217,gorilla cookies, relaxed, happy, euphoric, uplifted, sleepy 
1218,gorilla girl, relaxed, euphoric, uplifted, happy, sleepy 
1219,gorilla grips, relaxed, sleepy, happy, tingly, uplifted 
1220,gorilla snacks, relaxed, happy, euphoric, focused, creative 
1221,gorkle, happy, relaxed, creative, focused, uplifted 
1222,government mule, relaxed, focused, happy, sleepy, tingly 
1223,grand doggy purps, relaxed, hungry, sleepy, happy, euphoric 
1224,grand hindu, uplifted, relaxed, euphoric, happy, sleepy 
1225,grand hustle, uplifted, creative, relaxed, euphoric, focused 
1226,granddaddy purple, relaxed, sleepy, euphoric, happy, hungry 
1227,grandma andersons cookies, euphoric, focused, happy, relaxed, uplifted 
1228,grandmas batch, happy, euphoric, creative, tingly, giggly 
1229,grandmas sugar cookies, relaxed, happy, euphoric, uplifted, giggly 
1230,grandpa larry og, euphoric, happy, creative, uplifted, relaxed 
1231,grandpas breath, happy, hungry, focused, relaxed, sleepy 
1232,grandpas stash, relaxed, aroused, creative, energetic, euphoric 
1233,granola funk, euphoric, happy, energetic, relaxed, uplifted 
1234,grape ape, relaxed, sleepy, happy, euphoric, hungry 
1235,grape bubba, euphoric, happy, relaxed, talkative ,
1236,grape calyx, euphoric, happy, hungry, creative, relaxed 
1237,grape cookies, relaxed, happy, euphoric, aroused, uplifted 
1238,grandpas stash, relaxed, aroused, creative, energetic, euphoric 
1239,granola funk, euphoric, happy, energetic, relaxed, uplifted 
1240,grape ape, relaxed, sleepy, happy, euphoric, hungry 
1241,grape bubba, euphoric, happy, relaxed, talkative ,
1242,grape calyx, euphoric, happy, hungry, creative, relaxed 
1243,grape cookies, relaxed, happy, euphoric, aroused, uplifted 
1244,grape dawg, relaxed, sleepy, uplifted, euphoric, happy 
1245,grape drink, sleepy, hungry, happy, giggly, relaxed 
1246,grape god, relaxed, happy, euphoric, uplifted, sleepy 
1247,grape inferno, happy, relaxed, euphoric, uplifted, hungry 
1248,grape jelly, uplifted, relaxed, euphoric, happy, focused 
1249,grape krush, happy, uplifted, relaxed, hungry, creative 
1250,grape kush, relaxed, tingly, happy, euphoric, hungry 
1251,grape ox, relaxed, sleepy, euphoric, uplifted, happy 
1252,grape skunk, relaxed, happy, sleepy, talkative, euphoric 
1253,grape soda, relaxed, happy, euphoric, focused, giggly 
1254,sour grapes, happy, relaxed, euphoric, uplifted, energetic 
1255,grape valley kush, relaxed, focused, happy, euphoric, uplifted 
1256,grape vine, relaxed, sleepy, happy, hungry, tingly 
1257,grapefruit, happy, uplifted, energetic, euphoric, focused 
1258,grapefruit diesel, relaxed, talkative, uplifted, happy, hungry 
1259,grapefruit haze, uplifted, energetic, euphoric, focused, happy 
1260,grapefruit kush, relaxed, happy, euphoric, uplifted, sleepy 
1261,gravity, euphoric, happy, uplifted, sleepy, relaxed 
1262,grease monkey, relaxed, happy, euphoric, uplifted, sleepy 
1263,white shark, happy, relaxed, uplifted, euphoric, energetic 
1264,green avenger, energetic, happy, creative, euphoric, uplifted 
1265,green candy, relaxed, happy, aroused, hungry, tingly 
1266,green cheese, relaxed, uplifted, happy, hungry, talkative 
1267,green crack, energetic, happy, uplifted, euphoric, focused 
1268,green crack cbd, euphoric, talkative, focused, relaxed, aroused 
1269,green crack extreme, euphoric, happy, uplifted, talkative, hungry 
1270,green door kush, euphoric, happy, creative, relaxed, hungry 
1271,green dragon, relaxed, uplifted, euphoric, happy, talkative 
1272,green dream, happy, euphoric, uplifted, relaxed, talkative 
1273,green goblin, happy, focused, relaxed, uplifted, energetic 
1274,green goddess, happy, uplifted, euphoric, relaxed, energetic 
1275,green haze, happy, uplifted, focused, creative, talkative 
1276,green hornet, relaxed, creative, energetic, focused, euphoric 
1277,green kush, happy, energetic, relaxed, focused, hungry 
1278,green lantern, uplifted, happy, relaxed, euphoric, talkative 
1279,green line og, happy, creative, euphoric, uplifted, relaxed 
1280,green love potion, relaxed, euphoric, happy, uplifted, aroused 
1281,green magic, uplifted, tingly, energetic, relaxed, hungry 
1282,green mango, euphoric, happy, uplifted, relaxed, creative 
1283,green monster, happy, uplifted, talkative, energetic, euphoric 
