,category,strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,review_total,parent_1,parent_2,parent_3,parent_4,parent_5,parent_6,parent_7
1677,hybrid,la kookies, relaxed, euphoric, giggly, happy, uplifted , stress, pain, depression, insomnia, lack of appetite , dry mouth, anxious, dizzy, dry eyes, headache , 1. sweet, 2. lemon, 3. pungent ,16.0,girl scout cookies,n,n,n,n,n,n
1678,hybrid,la kush, relaxed, sleepy, happy, euphoric, giggly , stress, pain, fatigue, inflammation, depression , anxious, dizzy, dry mouth, dry eyes, paranoid , 1. pine, 2. nutty, 3. pungent ,41.0,abusive og,n,n,n,n,n,n
1679,indica,la og, tingly, euphoric, aroused, relaxed, happy , pain, stress, insomnia, depression, fatigue , dry mouth, anxious, dry eyes, paranoid, dizzy , 1. earthy, 2. sweet, 3. pungent ,69.0,n,n,n,n,n,n,n
1680,indica,la ultra, happy, euphoric, relaxed, tingly, sleepy , insomnia, stress, pain, headaches, cramps , dry mouth, dry eyes, dizzy, paranoid ,, 1. chemical, 2. lemon, 3. lime ,22.0,la confidential,mk ultra,n,n,n,n,n
1681,hybrid,la woman, relaxed, uplifted, happy, focused, euphoric , inflammation, pain, stress, muscle spasms, depression , dry mouth, dry eyes, headache, paranoid, anxious , 1. pine, 2. sweet, 3. earthy ,100.0,martian mean green,la confidential,n,n,n,n,n
1682,hybrid,lapd, uplifted, energetic, euphoric, creative, happy , pain ,,,,,,,,,, 1. diesel, 2. pepper, 3. pungent ,,la confidential,purple diesel,n,n,n,n,n
1683,hybrid,lsd, happy, euphoric, relaxed, uplifted, creative , stress, depression, pain, lack of appetite, fatigue , dry mouth, dry eyes, anxious, paranoid, dizzy , 1. earthy, 2. citrus, 3. sweet ,1001.0,mazar i sharif,skunk no 1,n,n,n,n,n
1685,hybrid,lvpk, happy, relaxed, euphoric, uplifted, creative , stress, pain, nausea, lack of appetite, headaches , paranoid, dry eyes, dry mouth, dizzy ,, 1. sweet, 2. earthy, 3. vanilla ,25.0,purple afghani,hindu kush,n,n,n,n,n
1687,hybrid,la blanca, relaxed, creative, focused, talkative, giggly , cramps ,,,,, dry mouth, dry eyes, paranoid, anxious ,, 1. woody, 2. earthy, 3. pepper ,5.0,black domina,snow white,great white shark,n,n,n,n
1689,indica,la blanca gold, relaxed, euphoric, sleepy, energetic, focused , stress, inflammation, muscle spasms, pain, fatigue , dry mouth ,,,,, 1. coffee, 2. earthy ,,4.0,super skunk,skunk no 1,n,n,n,n,n
1691,sativa,la reina de africa, giggly, happy, relaxed, sleepy, aroused , depression, lack of appetite, stress, fatigue, inflammation , dry mouth ,,,,, 1. flowery, 2. lavender, 3. spicy/herbal ,3.0,afghani,thai,ak-47,n,n,n,n
1693,hybrid,lady liberty, hungry, relaxed, sleepy ,,,,,,,,,,,,, 1. sweet ,,,,n,n,n,n,n,n,n
1695,hybrid,ladyburn 1974, relaxed, creative, hungry, giggly, sleepy , fatigue, insomnia, eye pressure, cramps, headaches , dry mouth, paranoid ,,,, 1. earthy, 2. pepper, 3. citrus ,13.0,jack herer,n,n,n,n,n,n
1697,hybrid,lake of fire, relaxed, happy, uplifted, euphoric, creative , pain, stress, lack of appetite, fatigue, headaches , dry mouth, dry eyes, anxious, dizzy ,, 1. pine, 2. diesel, 3. pungent ,51.0,gorilla glue 4,kobain kush,n,n,n,n,n
1698,hybrid,lambo og, euphoric, happy, hungry, relaxed, uplifted , pain, stress, nausea, insomnia, muscle spasms , dry eyes, dry mouth, dizzy, headache, paranoid , 1. citrus, 2. earthy, 3. pine ,17.0,n,n,n,n,n,n,n
1699,hybrid,lamborghini, uplifted, happy, euphoric, giggly, talkative , depression, stress, fatigue, headaches, insomnia , dry eyes, dizzy, dry mouth, paranoid ,, 1. citrus, 2. diesel, 3. pine ,9.0,lambs bread,holy grail kush,n,n,n,n,n
1700,hybrid,lambs in space, euphoric, aroused, giggly, uplifted, energetic , depression, insomnia, nausea, pain, stress , dry eyes, dry mouth, anxious, dizzy, paranoid , 1. citrus, 2. mango, 3. peach ,5.0,space candy,n,n,n,n,n,n
1701,hybrid,landos stash,,,,,,,,,,,,,,,,,,,,snow lotus,n,n,n,n,n,n
1702,hybrid,larry bird kush, relaxed, sleepy, uplifted, creative, euphoric , stress, depression, muscle spasms, pain, headaches , dry mouth, dry eyes, headache, anxious, dizzy , 1. orange, 2. earthy, 3. mint ,30.0,sunset sherbet,thin mint girl scout cookies,n,n,n,n,n
1703,hybrid,larry og, relaxed, happy, euphoric, uplifted, focused , pain, stress, depression, muscle spasms, inflammation , dry mouth, dry eyes, anxious, paranoid, dizzy , 1. lemon, 2. pine, 3. earthy ,714.0,og kush,sfv og,n,n,n,n,n
1704,indica,las vegas purple kush bx, happy, euphoric, creative, relaxed, sleepy , stress, insomnia, lack of appetite, pain, depression , dry eyes, dry mouth ,,,, 1. berry, 2. pungent, 3. citrus ,8.0,sin city kush,n,n,n,n,n,n
1705,indica,lashkar gah, relaxed, euphoric, sleepy, happy, focused , pain, stress, insomnia, lack of appetite ,, dry mouth, dry eyes ,,,, 1. earthy, 2. sweet, 3. berry ,14.0,afghani,n,n,n,n,n,n
1706,sativa,laughing buddha, euphoric, happy, giggly, uplifted, creative , depression, stress, headaches, fatigue, pain , dry mouth, dry eyes, paranoid, anxious, dizzy , 1. pungent, 2. earthy, 3. spicy/herbal ,210.0,thai,jamaican,n,n,n,n,n
1707,hybrid,laughing gas, happy, aroused, relaxed, hungry, talkative , stress, pain, inflammation, insomnia, lack of appetite , anxious, dry mouth, dry eyes ,,, 1. diesel, 2. pine, 3. pungent ,9.0,sour diesel,cherry pie,n,n,n,n,n
1708,indica,lavender, relaxed, sleepy, happy, euphoric, uplifted , stress, insomnia, pain, depression, muscle spasms , dry mouth, dry eyes, dizzy, headache, anxious , 1. lavender, 2. flowery, 3. spicy/herbal ,724.0,super skunk,afghani,hawaiian,south asian indica,n,n,n
1709,sativa,lavender haze, creative, energetic, hungry, euphoric, happy , stress, depression, pain, lack of appetite, inflammation , dry mouth, anxious, paranoid, dizzy, dry eyes , 1. lavender, 2. earthy, 3. blueberry ,31.0,lavender,g13 haze,n,n,n,n,n
1710,hybrid,lavender jones, relaxed, euphoric, happy, uplifted, hungry , depression, pain, stress, inflammation, insomnia , dry mouth, paranoid, anxious, dry eyes, dizzy , 1. earthy, 2. lavender, 3. flowery ,155.0,purple urkle,casey jones,n,n,n,n,n
1711,hybrid,lazy lightning,,,,,,,,,,,,,,,,,,,,n,n,n,n,n,n,n
1712,hybrid,lazy train,,,,,,,,,,,,,,,,,,,,qrazy train,lavender,n,n,n,n,n
1713,hybrid,le silver royale, uplifted, happy, relaxed, euphoric, energetic , stress, depression, pain ,,, dry eyes ,,,,, 1. cheese, 2. pine, 3. skunk ,,n,n,n,n,n,n,n
1714,sativa,leda uno, creative, euphoric, energetic, giggly, happy , cramps, nausea, pain, stress ,,,,,,,,,,,kc 33,south american,n,n,n,n,n
1715,indica,lee roy, relaxed, happy, euphoric, uplifted, hungry , stress, pain, nausea, depression, eye pressure , dry mouth, dry eyes, headache, anxious, paranoid , 1. earthy, 2. citrus, 3. pungent ,44.0,triangle kush,n,n,n,n,n,n
