,category,strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,review_total,parent_1,parent_2,parent_3,parent_4,parent_5,parent_6,parent_7
0,hybrid,100 og, happy, uplifted, relaxed, euphoric, sleepy , stress, pain, depression, insomnia, lack of appetite , dry mouth, dizzy, dry eyes, anxious, paranoid , 1. earthy, 2. diesel, 3. pungent ,508.0,og kush,n,n,n,n,n,n
2,sativa,1024, uplifted, energetic, happy, relaxed, focused , pain, fatigue, depression, stress, inflammation , dry mouth, dry eyes, dizzy, paranoid, anxious , 1. tropical, 2. mint, 3. blueberry ,49.0,n,n,n,n,n,n,n
4,hybrid,12 year og, focused, creative, hungry, euphoric, aroused , depression, pain, stress ,,, anxious, dizzy, dry eyes, dry mouth, headache , 1. diesel ,,,2.0,og kush,n,n,n,n,n,n
6,hybrid,13 dawgs, sleepy, euphoric, focused, energetic, relaxed , pain, depression, stress, inflammation, fatigue , anxious, dry eyes, headache, dry mouth ,, 1. diesel, 2. apricot, 3. citrus ,11.0,g13,chemdawg,n,n,n,n,n
8,hybrid,22, energetic, focused, happy, uplifted, creative , pain, depression, fatigue, stress, muscle spasms , headache ,,,,, 1. diesel, 2. pine, 3. skunk ,9.0,n,n,n,n,n,n,n
10,hybrid,24k gold, happy, relaxed, euphoric, uplifted, creative , stress, depression, pain, fatigue, insomnia , dry mouth, dry eyes, dizzy, anxious, headache , 1. orange, 2. citrus, 3. sweet ,219.0,kosher kush,tangie,n,n,n,n,n
12,indica,3 bears og, relaxed, giggly, sleepy, tingly, energetic , pain, stress, lack of appetite, muscle spasms, insomnia , dry mouth, dry eyes, headache, anxious ,, 1. diesel, 2. sweet, 3. butter ,7.0,triangle kush,n,n,n,n,n,n
14,hybrid,3 kings, happy, relaxed, uplifted, euphoric, energetic , stress, pain, depression, headaches, eye pressure , dry mouth, dry eyes, dizzy, headache, paranoid , 1. earthy, 2. diesel, 3. pine ,324.0,headband,sour diesel,og kush,n,n,n,n
15,indica,303 og, focused, relaxed, uplifted, euphoric, sleepy , pain, depression, insomnia, muscle spasms, headaches , dry mouth, dry eyes, dizzy, anxious ,, 1. diesel, 2. earthy, 3. woody ,82.0,pre-98 bubba kush,chemdawg,n,n,n,n,n
16,sativa,3d cbd, relaxed, happy, uplifted, focused, talkative , pain, stress, inflammation, headaches, depression , dry mouth, dry eyes ,,,, 1. diesel, 2. woody, 3. earthy ,20.0,n,n,n,n,n,n,n
17,indica,3x crazy, relaxed, happy, sleepy, uplifted, euphoric , stress, insomnia, pain, depression, fatigue , dry mouth, dry eyes, dizzy, anxious, paranoid , 1. earthy, 2. grape, 3. woody ,132.0,og kush,bubba kush,granddaddy purple,n,n,n,n
18,hybrid,3rd coast panama chunk, energetic, focused, happy, uplifted, talkative , pain, depression, headaches, stress, fatigue ,,,,,, 1. diesel, 2. pine, 3. butter ,,deep chunk,sour diesel,n,n,n,n,n
19,hybrid,501st og, happy, relaxed, energetic, euphoric, uplifted , stress, pain, depression, insomnia, headaches , dry mouth, dry eyes, headache, anxious, dizzy , 1. sweet, 2. pine, 3. pungent ,106.0,skywalker og,rare dankness 1,n,n,n,n,n
20,hybrid,541 kush, energetic, focused ,,,, pain ,,,,,,,,,, 1. diesel ,,,1.0,triangle kush,n,n,n,n,n,n
21,indica,5th element, energetic, relaxed, euphoric, happy, hungry , pain, stress, lack of appetite, muscle spasms, inflammation , dry eyes, dry mouth, paranoid, dizzy, headache , 1. earthy, 2. pungent, 3. lemon ,55.0,blackberry,n,n,n,n,n,n
22,hybrid,707 headband, relaxed, euphoric, happy, creative, uplifted , pain, stress, depression, nausea, muscle spasms , dry mouth, dry eyes, anxious, dizzy, paranoid , 1. earthy, 2. sweet, 3. pungent ,372.0,sour diesel,og kush,master kush,n,n,n,n
23,hybrid,707 truthband, happy, energetic, focused, relaxed, uplifted , pain ,,,,, dry eyes ,,,,,,,,1.0,true og,n,n,n,n,n,n
24,indica,8 ball kush, relaxed, happy, uplifted, euphoric, hungry , pain, depression, inflammation, stress, muscle spasms , dry mouth, dry eyes, headache, anxious, dizzy , 1. earthy, 2. spicy/herbal, 3. pine ,57.0,afghani,n,n,n,n,n,n
25,indica,818 og, happy, relaxed, tingly, euphoric, sleepy , insomnia, pain, stress, nausea, inflammation , dry mouth, dry eyes, paranoid ,,, 1. earthy, 2. flowery, 3. pungent ,31.0,og kush,n,n,n,n,n,n
26,indica,831 og, relaxed, creative, hungry, euphoric, focused , insomnia, pain, stress, depression, cramps , dry mouth, dizzy, headache ,,, 1. cheese, 2. flowery, 3. chemical ,8.0,og kush,sfv og,n,n,n,n,n
27,hybrid,840,,,,,,,,,,,,,,,,,,,,afgoo,super lemon haze,purple thai,god bud,n,n,n
28,indica,9 pound hammer, relaxed, sleepy, euphoric, happy, hungry , insomnia, pain, stress, depression, muscle spasms , dry mouth, dry eyes, dizzy, anxious, headache , 1. earthy, 2. sweet, 3. citrus ,730.0,jack the ripper,hells og,gooberry,n,n,n,n
29,indica,91 krypt, relaxed, happy, euphoric, giggly, sleepy , stress, depression, lack of appetite, insomnia, pain , dry mouth, dizzy, dry eyes ,,, 1. diesel, 2. skunk, 3. earthy ,13.0,chemdawg 91,n,n,n,n,n,n
30,hybrid,92 og,,,,,,,,,,,,,,,,,,,1.0,og kush,n,n,n,n,n,n
31,indica,999, relaxed, creative, euphoric, happy, uplifted , stress, spasticity, depression, seizures, muscle spasms , anxious, dry eyes, dry mouth, paranoid, dizzy , 1. citrus, 2. earthy, 3. pine ,3.0,tahoe og kush,triangle kush,biker kush,n,n,n,n
32,hybrid,acdc, relaxed, happy, focused, uplifted, sleepy , pain, stress, depression, inflammation, fatigue , dry mouth, anxious, dry eyes, paranoid, dizzy , 1. earthy, 2. woody, 3. pine ,719.0,cannatonic,n,n,n,n,n,n
33,hybrid,aberdeen, uplifted, giggly, happy, energetic, sleepy , cramps, depression, fatigue, headaches, lack of appetite , anxious, dry eyes, dry mouth ,,, 1. blue cheese, 2. chemical, 3. menthol ,8.0,orange velvet,jack the ripper,n,n,n,n,n
34,indica,abusive og, relaxed, happy, sleepy, euphoric, uplifted , stress, insomnia, pain, depression, headaches , dry mouth, dry eyes, dizzy, anxious, headache , 1. earthy, 2. pungent, 3. lavender ,148.0,og kush,n,n,n,n,n,n
35,sativa,acapulco gold, happy, uplifted, creative, euphoric, energetic , stress, depression, fatigue, pain, headaches , dry mouth, dry eyes, anxious, paranoid, dizzy , 1. earthy, 2. woody, 3. sweet ,598.0,mexican,n,n,n,n,n,n
36,indica,ace killer og, relaxed, euphoric, sleepy, hungry, happy , stress, pain, insomnia, depression, lack of appetite , dizzy, dry mouth ,,,, 1. earthy, 2. diesel, 3. pine ,38.0,white fire og,kings kush,kosher kush,n,n,n,n
37,indica,ace of spades, relaxed, euphoric, happy, sleepy, uplifted , pain, depression, stress, fatigue, insomnia , dry mouth, dry eyes, dizzy, anxious, headache , 1. earthy, 2. pine, 3. woody ,321.0,jack the ripper,black cherry soda,n,n,n,n,n
38,sativa,aceh, creative, relaxed, focused, euphoric, energetic , insomnia, pain, depression, stress, headaches , dry mouth, dizzy, dry eyes ,,, 1. earthy, 2. citrus, 3. tropical ,38.0,n,n,n,n,n,n,n
39,hybrid,acid, creative, happy, energetic, relaxed, focused , stress, depression, nausea, pain, insomnia , dry eyes, dry mouth, dizzy, anxious, headache , 1. citrus, 2. earthy, 3. pungent ,34.0,nyc diesel,n,n,n,n,n,n
40,sativa,acid dough, happy, talkative, creative, uplifted, energetic , depression, fatigue, lack of appetite, stress, insomnia , dry eyes, dry mouth, paranoid ,,, 1. citrus, 2. flowery, 3. earthy ,7.0,congo,n,n,n,n,n,n
41,hybrid,afcrack, relaxed, creative, uplifted, focused, energetic , depression, fatigue, headaches, lack of appetite, stress , dry mouth, anxious, dry eyes, paranoid ,, 1. sage, 2. earthy, 3. flowery ,11.0,afgoo,green crack,n,n,n,n,n
42,indica,afghan big bud, happy, focused, euphoric, uplifted, creative , pain, stress, insomnia, nausea, depression , anxious, dry mouth, dry eyes, paranoid ,, 1. vanilla, 2. earthy, 3. pungent ,26.0,big bud,afghani,n,n,n,n,n
43,sativa,afghan cow, focused, happy, euphoric, creative, energetic , fatigue, stress, depression, inflammation, lack of appetite , dry mouth, anxious, dizzy, dry eyes, headache , 1. sweet, 2. vanilla, 3. diesel ,9.0,ash,kali mist,ak-47,n,n,n,n
44,hybrid,afghan diesel, euphoric, happy, uplifted, relaxed, creative , stress, pain, insomnia, depression, lack of appetite , dry mouth, dry eyes, paranoid, dizzy, anxious , 1. earthy, 2. flowery, 3. grapefruit ,43.0,afghani,sour diesel,n,n,n,n,n
45,indica,afghan hawaiian, relaxed, euphoric, uplifted, sleepy, energetic , depression, insomnia, nausea, stress ,, dry mouth, anxious, dizzy, paranoid ,, 1. nutty, 2. pineapple, 3. sweet ,12.0,uk cheese,lavender,n,n,n,n,n
46,hybrid,afghan haze, creative, giggly, hungry, happy, relaxed , fatigue, lack of appetite, nausea, inflammation, stress , dry eyes, dizzy, dry mouth, headache, anxious , 1. earthy, 2. diesel, 3. woody ,57.0,afghani,haze,n,n,n,n,n
47,indica,afghan kush, relaxed, happy, sleepy, euphoric, uplifted , pain, stress, insomnia, depression, lack of appetite , dry mouth, dry eyes, dizzy, paranoid, headache , 1. earthy, 2. woody, 3. flowery ,1132.0,afghani,n,n,n,n,n,n
48,indica,afghan skunk, euphoric, uplifted, hungry, relaxed, sleepy , stress, insomnia, lack of appetite, depression, pain , dry mouth, dry eyes, dizzy, headache, anxious , 1. skunk, 2. earthy, 3. woody ,55.0,afghani,skunk 1,n,n,n,n,n
50,indica,afghan sour kush, relaxed, sleepy, euphoric, hungry, aroused , fatigue, stress, eye pressure, headaches, insomnia , dry mouth, dry eyes ,,,, 1. earthy, 2. sweet, 3. diesel ,17.0,afghani,sour kush,n,n,n,n,n
52,hybrid,afghan widow, energetic, focused, talkative, relaxed, hungry , stress, eye pressure, fatigue, inflammation, lack of appetite , dry mouth, dizzy, headache, dry eyes ,, 1. pungent, 2. spicy/herbal, 3. diesel ,9.0,afghan kush,white widow,n,n,n,n,n
54,indica,afghani, relaxed, sleepy, euphoric, happy, tingly , insomnia, pain, stress, depression, muscle spasms , dry mouth, dry eyes, headache, dizzy, anxious , 1. earthy, 2. pungent, 3. pine ,528.0,n,n,n,n,n,n,n
56,indica,afghani cbd, creative, relaxed, sleepy, happy, euphoric , inflammation, stress, insomnia, pain, muscle spasms , dry mouth, dry eyes, dizzy, headache ,, 1. berry, 2. flowery, 3. spicy/herbal ,50.0,afghani,n,n,n,n,n,n
58,hybrid,afghani krush, creative, euphoric, focused, giggly, happy , depression, fatigue, muscle spasms, pain, stress ,,,,,,,,,1.0,grape krush,afghani,n,n,n,n,n
60,hybrid,afghanica, euphoric, relaxed, creative, happy, sleepy , stress, pain, insomnia, depression, nausea , dry mouth, dry eyes, dizzy, anxious, paranoid , 1. tea, 2. sweet, 3. woody ,,afghani,n,n,n,n,n,n
62,indica,afghanimal, hungry, relaxed, aroused, focused, sleepy , eye pressure, headaches, insomnia, nausea, pain , dry eyes, dry mouth, anxious ,,, 1. citrus, 2. skunk ,,,afghani,animal cookies,n,n,n,n,n
63,indica,afgoo, relaxed, euphoric, sleepy, happy, uplifted , stress, pain, depression, insomnia, lack of appetite , dry mouth, dry eyes, dizzy, anxious, paranoid , 1. earthy, 2. sweet, 3. pine ,622.0,afghani,n,n,n,n,n,n
64,indica,afgooey, relaxed, happy, sleepy, hungry, creative , stress, pain, insomnia, depression, muscle spasms , dry mouth, dry eyes, dizzy, paranoid, headache , 1. pine, 2. earthy, 3. grape ,357.0,afghani,n,n,n,n,n,n
66,indica,afkansastan, euphoric, giggly, happy, uplifted, hungry , cramps, depression, headaches, pain, nausea , dry eyes, dry mouth, anxious, dizzy, paranoid , 1. cheese, 2. diesel, 3. sweet ,5.0,n,n,n,n,n,n,n
67,hybrid,afpak, relaxed, happy, hungry, euphoric, tingly , depression, stress, lack of appetite, fatigue, inflammation , dizzy ,,,,, 1. pungent, 2. sweet, 3. skunk ,7.0,afghani,n,n,n,n,n,n
68,sativa,african, happy, giggly, euphoric, relaxed, energetic , stress, depression, lack of appetite, fatigue, headaches , dry mouth, dry eyes, paranoid, headache, anxious , 1. pungent, 2. spicy/herbal, 3. earthy ,39.0,n,n,n,n,n,n,n
69,sativa,afrikaner,,,,,,,,,,,,,,,,,,,2.0,n,n,n,n,n,n,n
70,hybrid,afrodite, happy, hungry, relaxed, energetic, giggly , depression, lack of appetite, pain, stress, cramps , anxious, dry mouth, dizzy, dry eyes, paranoid , 1. earthy, 2. sweet, 3. woody ,4.0,black domina,jack herer,n,n,n,n,n
71,hybrid,afternoon delight, relaxed, hungry, happy, creative, focused , depression, pain, stress, insomnia, cramps , headache, dry mouth, paranoid, dizzy, anxious , 1. grapefruit, 2. flowery, 3. pine ,26.0,n,n,n,n,n,n,n
72,hybrid,afwreck, relaxed, euphoric, hungry, focused, happy , stress, pain, depression, insomnia, muscle spasms , dry mouth, dry eyes, dizzy, headache, paranoid , 1. earthy, 2. pungent, 3. diesel ,120.0,afghani,trainwreck,n,n,n,n,n
73,sativa,agape, energetic, tingly, aroused, happy, sleepy , eye pressure, fatigue, headaches, inflammation, lack of appetite , anxious, headache ,,,, 1. orange, 2. mango, 3. grape ,2.0,black cherry og,n,n,n,n,n,n
74,hybrid,agent orange, happy, uplifted, relaxed, creative, energetic , stress, depression, pain, headaches, fatigue , dry mouth, dry eyes, paranoid, dizzy, anxious , 1. orange, 2. citrus, 3. sweet ,1090.0,orange velvet,jack the ripper,n,n,n,n,n
75,hybrid,agent tangie, creative, euphoric, focused, happy, uplifted , stress, depression, fatigue, headaches, inflammation , dry eyes, dry mouth, anxious ,,, 1. citrus, 2. earthy, 3. skunk ,17.0,n,n,n,n,n,n,n
76,hybrid,agharta,,,,,,,,,,,,,,,,,,,,colorado bubba,n,n,n,n,n,n
77,indica,air jordan og, relaxed, happy, euphoric, creative, giggly , stress, pain, depression, insomnia, headaches , dry mouth, dizzy, headache, dry eyes ,, 1. pine, 2. earthy, 3. woody ,,n,n,n,n,n,n,n
78,hybrid,als dream, energetic, talkative ,,,,,,,,,,,,,,,,,,albert walker,blue dream,n,n,n,n,n
79,sativa,alaska, energetic, creative, uplifted, talkative, euphoric , depression, stress, pain, headaches, nausea , dry mouth, dry eyes, anxious, headache, dizzy , 1. earthy, 2. mint, 3. citrus ,70.0,n,n,n,n,n,n,n
80,hybrid,alaska thunder grape, creative, euphoric, focused, relaxed, tingly , eye pressure, pain, stress ,,,,,,,, 1. grape, 2. pepper, 3. skunk ,3.0,matanuska thunder fuck,grape ape,n,n,n,n,n
81,sativa,alaskan ice, energetic, euphoric, hungry, talkative, happy , stress, depression, pain, fatigue, headaches , dry mouth, headache, dry eyes, dizzy, paranoid , 1. woody, 2. pungent, 3. spicy/herbal ,84.0,white widow,haze,n,n,n,n,n
82,sativa,alaskan thunder fuck, happy, uplifted, euphoric, energetic, relaxed , stress, depression, pain, fatigue, headaches , dry mouth, dry eyes, anxious, paranoid, headache , 1. earthy, 2. pine, 3. woody ,1920.0,north american sativa,n,n,n,n,n,n
83,hybrid,albert walker, relaxed, happy, euphoric, uplifted, focused , stress, depression, pain, insomnia, lack of appetite , headache, dry mouth, dry eyes, dizzy, paranoid , 1. pungent, 2. skunk, 3. flowery ,69.0,afghan skunk,n,n,n,n,n,n
84,hybrid,alchemy, happy, euphoric, relaxed, hungry, talkative , stress, pain, depression, lack of appetite, headaches , dry eyes, dry mouth, dizzy ,,, 1. honey, 2. cheese, 3. sweet ,12.0,chemdog,querkle,n,n,n,n,n
85,hybrid,alf, relaxed, creative, euphoric, giggly, happy , depression, insomnia, muscle spasms, stress ,, dry mouth ,,,,, 1. coffee, 2. diesel, 3. pungent ,,animal cookies,cherry pie,white fire alien og,girl scout cookies,n,n,n
86,sativa,alice in wonderland, focused, euphoric, relaxed, creative, happy , stress, depression, fatigue, headaches, nausea , dry mouth, dry eyes, headache, anxious, paranoid , 1. earthy, 2. woody, 3. ammonia ,107.0,willys wonder,n,n,n,n,n,n
87,hybrid,alien abduction, relaxed, tingly, euphoric, happy, focused , stress, fatigue, headaches, insomnia, eye pressure , dry mouth, dry eyes, anxious, dizzy, headache , 1. earthy, 2. nutty, 3. sweet ,16.0,alien og,alien dawg,n,n,n,n,n
88,hybrid,alien apparition, hungry, euphoric, aroused, creative, energetic , stress, cramps, depression, eye pressure, fatigue , dry mouth ,,,,, 1. sweet, 2. orange, 3. citrus ,,alien technology,ghost og,n,n,n,n,n
89,hybrid,alien asshat, relaxed, giggly, uplifted, happy, euphoric , stress, depression, pain, muscle spasms, headaches , dry mouth, anxious, dizzy ,,, 1. citrus, 2. pungent, 3. earthy ,37.0,n,n,n,n,n,n,n
90,hybrid,alien breath, happy, relaxed, sleepy, euphoric, giggly , insomnia, stress, cramps, depression, headaches , dizzy ,,,,, 1. skunk ,,,7.0,purple alien og,goji og,blackberry,n,n,n,n
91,indica,alien bubba, relaxed, sleepy, euphoric, happy, talkative , stress, pain, depression, insomnia, muscle spasms , dry mouth, headache, dry eyes, dizzy, anxious , 1. earthy, 2. flowery, 3. sweet ,81.0,bubba kush,alien kush,n,n,n,n,n
92,indica,alien dawg, relaxed, sleepy, happy, hungry, euphoric , stress, fatigue, headaches, lack of appetite, insomnia , dizzy, dry eyes, headache, dry mouth, paranoid , 1. earthy, 2. violet, 3. flowery ,205.0,chemdawg,n,n,n,n,n,n
93,sativa,alien dutchess, uplifted, happy, energetic, euphoric, talkative , depression, pain, stress, fatigue, lack of appetite , dry mouth, dry eyes, anxious ,,, 1. earthy, 2. pine, 3. lemon ,37.0,alien og,dutch treat haze,n,n,n,n,n
94,hybrid,alien hallucination, euphoric, happy, relaxed, uplifted, creative , stress, depression, muscle spasms, pain, fatigue , dry mouth, dry eyes, paranoid, anxious, dizzy , 1. citrus, 2. sweet, 3. pungent ,42.0,tahoe alien,lsd,n,n,n,n,n
95,hybrid,alien inferno, happy, euphoric, creative, uplifted, talkative , depression, stress, pain, fatigue, lack of appetite , dry mouth, dry eyes, anxious ,,, 1. diesel, 2. earthy, 3. pungent ,22.0,alien og,diablo,n,n,n,n,n
96,indica,alien kush, relaxed, tingly, hungry, creative, happy , stress, pain, depression, lack of appetite, headaches , dry mouth, paranoid, dizzy, anxious, dry eyes , 1. sweet, 2. earthy, 3. woody ,130.0,lvpk,alien dawg,n,n,n,n,n
97,hybrid,alien og, relaxed, happy, euphoric, uplifted, creative , stress, pain, depression, insomnia, fatigue , dry mouth, dry eyes, paranoid, dizzy, headache , 1. earthy, 2. pine, 3. lemon ,932.0,alien kush,tahoe og kush,n,n,n,n,n
98,hybrid,alien reunion, euphoric, happy, relaxed, uplifted, creative , lack of appetite, headaches, inflammation, muscle spasms, pain , dry mouth, dizzy, dry eyes, headache, paranoid , 1. pungent, 2. skunk, 3. cheese ,,alien dawg,alien og,n,n,n,n,n
99,indica,alien rift, relaxed, happy, euphoric, hungry, uplifted , stress, insomnia, pain, nausea, lack of appetite , dry mouth, anxious, paranoid, dry eyes, dizzy , 1. earthy, 2. lemon, 3. sweet ,41.0,alien dawg,alien og,n,n,n,n,n
100,hybrid,alien rock candy, happy, relaxed, euphoric, sleepy, uplifted , pain, stress, depression, insomnia, lack of appetite , dry mouth, dry eyes, dizzy, paranoid, anxious , 1. berry, 2. citrus, 3. blueberry ,181.0,tahoe alien,sour dubble,n,n,n,n,n
101,hybrid,alien sour apple, euphoric, creative, energetic, relaxed, uplifted , depression, pain, stress, insomnia, fatigue , dry mouth, dry eyes ,,,, 1. apple, 2. sweet, 3. citrus ,21.0,alien dawg,sour apple,n,n,n,n,n
102,sativa,alien stardawg, happy, tingly, energetic, uplifted, relaxed , stress, depression, lack of appetite, inflammation, muscle spasms , dry mouth ,,,,, 1. pepper, 2. citrus, 3. diesel ,9.0,alien kush,stardawg,n,n,n,n,n
104,indica,alien technology, happy, euphoric, uplifted, creative, hungry , stress, lack of appetite, pain, headaches, depression , dry mouth, anxious, dry eyes, headache ,, 1. earthy, 2. spicy/herbal, 3. woody ,14.0,afghani,n,n,n,n,n,n
106,hybrid,alien walker, happy, creative, energetic, euphoric, uplifted , stress, pain, depression, insomnia, muscle spasms , dry mouth, dry eyes, anxious, dizzy, headache , 1. earthy, 2. citrus, 3. pine ,161.0,albert walker,tahoe alien,n,n,n,n,n
108,indica,aliens on moonshine, uplifted, happy, relaxed, focused, euphoric , pain, stress, depression, muscle spasms, cramps , dry mouth, dizzy, dry eyes, headache ,, 1. citrus, 2. earthy, 3. diesel ,28.0,sour alien,n,n,n,n,n,n
110,hybrid,alion,,,,,,,,,,,,,,,,,,,1.0,alien kush,blue dream,n,n,n,n,n
112,indica,allen iverson og, euphoric, happy, relaxed, focused, hungry , depression, insomnia, lack of appetite, stress, headaches ,,,,,, 1. earthy ,,,2.0,n,n,n,n,n,n,n
114,sativa,allen wrench, happy, uplifted, energetic, euphoric, focused , stress, depression, pain, fatigue, nausea , dry mouth, anxious, dry eyes, dizzy, paranoid , 1. pungent, 2. earthy, 3. citrus ,175.0,trainwreck,nyc diesel,n,n,n,n,n
116,hybrid,alley cat kush, aroused, creative, energetic, euphoric, focused ,,,,,,,,,,,,,,1.0,og kush,n,n,n,n,n,n
118,indica,allkush, happy, uplifted, focused, hungry, talkative , stress, depression, eye pressure, pain ,, dry mouth, dry eyes ,,,, 1. spicy/herbal, 2. honey, 3. earthy ,6.0,n,n,n,n,n,n,n
119,sativa,aloha, happy, uplifted, euphoric, focused, relaxed , stress, depression, pain, nausea, fatigue , dry mouth, dry eyes, dizzy, anxious ,, 1. citrus, 2. tropical, 3. sweet ,46.0,n,n,n,n,n,n,n
120,hybrid,aloha grape stomper, euphoric, happy, relaxed, uplifted, giggly , depression, fatigue, headaches, lack of appetite, spasticity ,,,,,, 1. blueberry, 2. grape, 3. tree fruit ,3.0,grape stomper,98 aloha white widow,n,n,n,n,n
121,hybrid,aloha limone, happy, relaxed, giggly, euphoric, uplifted , depression, fatigue, stress, pain, lack of appetite , dry eyes, dry mouth ,,,, 1. lemon, 2. citrus, 3. earthy ,12.0,n,n,n,n,n,n,n
122,hybrid,alohaberry, happy, energetic, euphoric, creative, uplifted , stress, pain, depression, nausea, muscle spasms , dry mouth, dry eyes, paranoid ,,, 1. berry, 2. sweet, 3. citrus ,27.0,n,n,n,n,n,n,n
123,sativa,alpha blue, uplifted, energetic, happy, relaxed, focused , pain, stress, muscle spasms, depression, fatigue , dry mouth, anxious, dizzy, dry eyes, paranoid , 1. sweet, 2. diesel, 3. berry ,105.0,blue dream,nyc diesel,n,n,n,n,n
124,sativa,alpha cow,,,,,,,,,,,,,,,,,,,,alpha blue,purple cow,n,n,n,n,n
125,sativa,alpha express, energetic, uplifted, focused, creative, happy , insomnia, lack of appetite, cramps, depression, fatigue , dry mouth, anxious ,,,, 1. diesel, 2. spicy/herbal, 3. berry ,6.0,alpha blue,ghost train haze,n,n,n,n,n
126,hybrid,alpha og, relaxed, euphoric, uplifted, sleepy, happy , insomnia, stress, depression, fatigue, headaches , dry mouth, dry eyes, headache, dizzy, paranoid , 1. earthy, 2. pungent, 3. pine ,46.0,og kush,n,n,n,n,n,n
127,hybrid,alpine blue, relaxed, sleepy, euphoric, uplifted, happy , pain, insomnia, stress, lack of appetite, depression , dry eyes ,,,,, 1. berry, 2. earthy, 3. honey ,9.0,blue mystic,power plant,n,n,n,n,n
128,indica,alpine star, uplifted, aroused, euphoric, creative, focused , stress, insomnia, pain, eye pressure, depression , dry mouth, anxious, paranoid, dry eyes, headache , 1. earthy, 2. pine, 3. woody ,23.0,tahoe og kush,sensi star,n,n,n,n,n
129,hybrid,altoyd, sleepy ,,,,, headaches ,,,,, dizzy, headache ,,,,,,,1.0,gelato,sour diesel,sour tangie,n,n,n,n
130,hybrid,ambrosia, relaxed, aroused, sleepy, happy, uplifted , stress, depression, headaches, pain, insomnia , dry mouth, dry eyes, anxious, paranoid, dizzy , 1. flowery, 2. sage, 3. tree fruit ,85.0,god bud,n,n,n,n,n,n
131,hybrid,ambrosia, relaxed, aroused, sleepy, happy, uplifted , stress, depression, headaches, pain, insomnia , dry mouth, dry eyes, anxious, paranoid, dizzy , 1. flowery, 2. sage, 3. tree fruit ,,god bud,n,n,n,n,n,n
132,indica,american beauty, euphoric, relaxed, sleepy, uplifted, creative , insomnia, stress, pain, headaches, nausea , dry eyes, dry mouth ,,,, 1. mango, 2. peach, 3. tropical ,,plushberry,n,n,n,n,n,n
133,hybrid,american dream, euphoric, creative, happy, uplifted, energetic , stress, pain, depression, nausea, lack of appetite , dry mouth, dizzy, anxious, dry eyes, headache , 1. skunk, 2. earthy, 3. pungent ,17.0,afghan skunk,jamaican,hawaiian,n,n,n,n
134,indica,american kush, relaxed, happy, tingly, sleepy, euphoric , eye pressure, pain, stress, muscle spasms, headaches , dizzy, dry eyes, dry mouth, headache, anxious , 1. sweet, 2. coffee, 3. spicy/herbal ,,pre-98 bubba kush,sin city kush,n,n,n,n,n
135,hybrid,american pie, euphoric, relaxed, uplifted, happy, creative , depression, stress ,,,,,,,,, 1. earthy, 2. pine, 3. sweet ,5.0,power plant,white widow,n,n,n,n,n
136,indica,americano, euphoric, relaxed, aroused, creative, focused , headaches, nausea, pain ,,, dry eyes ,,,,, 1. earthy, 2. diesel, 3. lemon ,,northern lights,skunk 1,n,n,n,n,n
137,hybrid,amethyst, happy, relaxed, euphoric, giggly, hungry , stress, depression, pain, fatigue ,, dry mouth, dry eyes ,,,, 1. sweet ,,,,sage n sour,granddaddy purple,n,n,n,n,n
138,hybrid,amethyst bud, euphoric, uplifted, creative, happy, relaxed , stress, insomnia, nausea, pain, depression , dry mouth, dry eyes, headache, paranoid ,, 1. berry, 2. woody, 3. sweet ,22.0,lavender,afghan hawaiian,n,n,n,n,n
139,hybrid,amherst sour diesel, uplifted, euphoric, relaxed, energetic, happy , depression, fatigue, stress, muscle spasms, pain , dry mouth, dry eyes ,,,, 1. earthy, 2. flowery, 3. pungent ,5.0,chemdog,n,n,n,n,n,n
140,sativa,amnesia, happy, uplifted, energetic, relaxed, euphoric , stress, depression, pain, lack of appetite, insomnia , dry mouth, paranoid, dizzy, dry eyes, anxious , 1. earthy, 2. citrus, 3. lemon ,652.0,cinderella 99,jack herer,skunk no 1,n,n,n,n
141,sativa,amnesia ganja haze, creative, euphoric, happy, relaxed ,,,,,,, dry mouth ,,,,, 1. spicy/herbal, 2. sweet, 3. tropical ,4.0,amnesia haze,n,n,n,n,n,n
142,sativa,amnesia haze, happy, euphoric, uplifted, relaxed, energetic , stress, depression, pain, insomnia, fatigue , dry mouth, dry eyes, paranoid, dizzy, anxious , 1. citrus, 2. earthy, 3. lemon ,1345.0,thai,afghani,hawaiian,jamaican,south asian indica,cambodian,haze
143,sativa,amnesia og, relaxed, euphoric, happy, uplifted, focused , stress, depression, nausea, pain, fatigue , dry mouth ,,,,, 1. diesel, 2. cheese, 3. citrus ,7.0,amnesia,biker kush,n,n,n,n,n
144,indica,ancient kush, aroused, creative, energetic, focused, giggly , stress, headaches, lack of appetite, pain ,, anxious, dizzy, dry eyes, dry mouth, paranoid , 1. cheese, 2. skunk, 3. citrus ,,n,n,n,n,n,n,n
145,indica,ancient og, relaxed, euphoric, sleepy, uplifted, happy , stress, insomnia, depression, pain, muscle spasms , dry mouth, dizzy, dry eyes, paranoid ,, 1. pine, 2. lemon, 3. citrus ,78.0,south asian indica,snow lotus,n,n,n,n,n
