,strain,negative_1,negative_2,negative_3,negative_4,negative_5
470,bruce banner, dry mouth, dry eyes, anxious, paranoid, dizzy 
471,bruce banner 3, dry mouth, dry eyes, anxious, dizzy, paranoid 
472,bubba berry, dry mouth, dry eyes ,,,
473,bubba doja, dizzy, dry eyes, dry mouth ,,
474,bubba fresh, anxious, dizzy, dry eyes, dry mouth ,
475,bubba kush, dry mouth, dry eyes, dizzy, paranoid, anxious 
476,bubba og, dry eyes, dry mouth, dizzy, paranoid, headache 
477,bubba tom hayes, dry eyes ,,,,
478,bubba x skunk, dry mouth ,,,,
479,bubbas gift, dry eyes, dry mouth, anxious, dizzy, paranoid 
480,bubble bomb, dry eyes ,,,,
481,bubble cheese, dry mouth, dry eyes, headache, dizzy ,
482,bubble gum, dry mouth, dry eyes, dizzy, paranoid, anxious 
483,bubbleberry, dry mouth, headache, anxious, dry eyes, dizzy 
484,bubblegum kush, dry mouth, dry eyes, dizzy, anxious, paranoid 
485,bubblegun, dry mouth, dry eyes, headache, dizzy, paranoid 
486,bubbas gift, dry eyes, dry mouth, anxious, dizzy, paranoid 
487,bubble bomb, dry eyes ,,,,
488,bubble cheese, dry mouth, dry eyes, headache, dizzy ,
489,bubble gum, dry mouth, dry eyes, dizzy, paranoid, anxious 
490,bubbleberry, dry mouth, headache, anxious, dry eyes, dizzy 
491,bubblegum kush, dry mouth, dry eyes, dizzy, anxious, paranoid 
492,bubblegun, dry mouth, dry eyes, headache, dizzy, paranoid 
493,bubblicious, dry mouth, paranoid, dry eyes, dizzy, headache 
494,buckeye purple, dizzy ,,,,
495,buddha haze, dry mouth, dry eyes, anxious, dizzy, headache 
496,buddha tahoe, dry eyes, dry mouth, headache, anxious, dizzy 
497,buddhas hand, dry mouth, dry eyes, anxious ,,
498,buddhas sister, dry mouth, dry eyes, dizzy, paranoid, anxious 
499,buddhas tooth, dry eyes, dry mouth ,,,
500,buffalo bill, dry mouth, dry eyes, anxious, dizzy, headache 
501,bugatti og, paranoid, dry mouth, dry eyes, anxious, dizzy 
502,burkle, dry mouth, dry eyes, anxious, dizzy, headache 
503,burmese kush, dry mouth, headache, dizzy, dry eyes, paranoid 
504,burnt cookies, dry mouth ,,,,
505,butter og, dry eyes, dry mouth, dizzy ,,
506,butterscotch, dry mouth, dizzy, dry eyes, paranoid ,
507,c13 haze, dry mouth, dry eyes, dizzy, paranoid, headache 
508,c3po, dry mouth ,,,,
509,c4, dry mouth, dry eyes, headache, anxious, dizzy 
510,cbd blue shark, dry eyes, dry mouth, anxious, dizzy, headache 
511,cbd critical cure, dry mouth, headache, dry eyes, paranoid, dizzy 
512,cbd critical mass, dry mouth, dry eyes, dizzy, anxious, paranoid 
513,cbd kush, dizzy, dry eyes, dry mouth, headache ,
514,cbd lilly, dry mouth, dry eyes ,,,
515,cbd og, dry mouth ,,,,
516,cbd ox, dizzy, dry eyes, dry mouth ,,
517,cbd shark, dry mouth, dry eyes, dizzy, anxious, paranoid 
518,chr super og, paranoid, dizzy, dry eyes, dry mouth, anxious 
519,csg, anxious, dizzy, dry mouth ,,
520,cabbage patch, anxious ,,,,
521,cackleberry, dry eyes, dry mouth, dizzy ,,
522,cactus, dry eyes, dry mouth, dizzy, paranoid, anxious 
523,cactus cooler, dry mouth, dry eyes, anxious, headache ,
524,cadillac cookies, dry mouth ,,,,
525,cadillac purple, dry mouth, dry eyes, paranoid, anxious, dizzy 
526,cali dragon, dry eyes ,,,,
527,cali gold, dry mouth, dizzy, anxious, paranoid, dry eyes 
528,cali jack, headache, paranoid ,,,
529,cali kush, dry mouth, dry eyes, paranoid, anxious, dizzy 
530,california grapefruit, dry mouth, dizzy, dry eyes, paranoid ,
531,california hash plant, anxious, dry mouth, dry eyes, paranoid ,
532,california love og, dry mouth, dizzy, dry eyes ,,
533,california orange, dry mouth, dizzy, dry eyes, anxious, paranoid 
534,california sour, dry mouth, anxious, dry eyes, paranoid ,
535,cali jack, headache, paranoid ,,,
536,cali kush, dry mouth, dry eyes, paranoid, anxious, dizzy 
537,california grapefruit, dry mouth, dizzy, dry eyes, paranoid ,
538,california hash plant, anxious, dry mouth, dry eyes, paranoid ,
539,california love og, dry mouth, dizzy, dry eyes ,,
540,california orange, dry mouth, dizzy, dry eyes, anxious, paranoid 
541,california sour, dry mouth, anxious, dry eyes, paranoid ,
542,cambodian, dry mouth, dry eyes, anxious, paranoid ,
543,cambodian haze, dry mouth, dry eyes ,,,
544,candy apple, dizzy, anxious, dry mouth ,,
545,candy cane, dry mouth, dry eyes, dizzy, paranoid, anxious 
546,candy jack, dry mouth, dry eyes, paranoid, anxious, dizzy 
547,candyland, dry mouth, dry eyes, anxious, paranoid, dizzy 
548,canna tsu, dry mouth, dry eyes, anxious, paranoid, dizzy 
549,cannasutra, dry mouth ,,,,
550,cannadential, dry mouth, dry eyes, headache, dizzy, paranoid 
551,cannalope haze, paranoid, anxious, dry eyes, dry mouth, headache 
552,cannalope kush, dry eyes, anxious, dry mouth, paranoid, dizzy 
553,cannatonic, dry mouth, dry eyes, headache, anxious, paranoid 
554,capers, dry mouth ,,,,
555,capleton, dry mouth, dry eyes ,,,
556,captain america og, dry mouth, anxious, dry eyes, paranoid ,
557,captains cake, dry mouth, headache, dry eyes ,,
558,caramel candy kush, dizzy, paranoid, dry mouth, dry eyes, anxious 
559,caramel kona coffee cookies, dry eyes, dry mouth ,,,
560,caramel kona coffee kush, dry mouth, dry eyes, dizzy ,,
561,caramelicious, dry mouth, dry eyes, dizzy, headache, paranoid 
562,caramella, dry eyes, dizzy ,,,
563,caramelo, dry mouth, dry eyes, paranoid, dizzy ,
564,carl sagan, dry mouth, dizzy, dry eyes ,,
565,carmel cough, dry mouth ,,,,
566,carnival, dizzy, headache ,,,
567,carpet tape, dry mouth, dry eyes ,,,
568,cascadia kush, dizzy, dry mouth, headache, anxious, paranoid 
569,casey jones, dry eyes, dry mouth, paranoid, anxious, dizzy 
570,cashus clay, headache, dry eyes, dizzy, dry mouth ,
571,casper og, dry eyes, dry mouth, paranoid ,,
572,cat piss, dry mouth, dry eyes, anxious, paranoid, headache 
573,cataract kush, dry mouth, dry eyes, dizzy, paranoid, anxious 
574,catfish, dry eyes, dry mouth, paranoid, anxious ,
575,cello sweet og, dizzy ,,,,
576,central american, dry mouth, anxious, paranoid, dizzy, dry eyes 
577,cerebro haze, dry eyes ,,,,
578,chairman chem sou, dry mouth, dizzy, dry eyes ,,
579,champagne diesel, dry mouth ,,,,
580,champagne kush, dry mouth, dry eyes, dizzy, anxious, headache 
581,charlie sheen, dry mouth, headache, dry eyes, paranoid, dizzy 
582,charlottes web, dry mouth, dry eyes, headache, dizzy, paranoid 
583,cheese, dry mouth, dry eyes, dizzy, paranoid, headache 
584,central american, dry mouth, anxious, paranoid, dizzy, dry eyes 
585,cerebro haze, dry eyes ,,,,
586,chairman chem sou, dry mouth, dizzy, dry eyes ,,
587,champagne diesel, dry mouth ,,,,
588,champagne kush, dry mouth, dry eyes, dizzy, anxious, headache 
589,charlie sheen, dry mouth, headache, dry eyes, paranoid, dizzy 
590,charlottes web, dry mouth, dry eyes, headache, dizzy, paranoid 
591,cheese, dry mouth, dry eyes, dizzy, paranoid, headache 
592,cheese candy, dizzy, dry mouth, dry eyes, anxious, paranoid 
593,cheeseburger, dry mouth, anxious, dizzy, dry eyes ,
594,cheesewreck, dizzy, dry mouth, paranoid, dry eyes, anxious 
595,chem berry diesel, dry mouth ,,,,
596,chem beyond diesel cbd, dry eyes, dry mouth ,,,
597,chem crush, dry mouth ,,,,
598,chem dog, dry mouth, dizzy, paranoid, headache, dry eyes 
599,chem jack, dry eyes, dry mouth ,,,
600,chem jong ill, dry mouth ,,,,
601,chem scout, dry mouth, dry eyes, dizzy, headache, paranoid 
602,chem valley kush, anxious, dry mouth, dry eyes, dizzy, paranoid 
603,chems sister, anxious, dry mouth, paranoid, dry eyes, dizzy 
604,chemwreck, dry mouth, anxious, paranoid, dizzy, dry eyes 
605,chemdawg sour diesel, dry mouth, dry eyes, dizzy, anxious, paranoid 
606,chemdawg, dry mouth, dry eyes, dizzy, paranoid, headache 
607,chemdawg 4 x alien og kush, dry mouth, anxious, paranoid, dizzy ,
608,chemdawg 4, dry mouth, dry eyes, anxious, dizzy, paranoid 
609,chemdawg 91, dry mouth, dry eyes, dizzy, anxious, headache 
610,chemmy jones, dry mouth, dizzy, dry eyes, anxious, paranoid 
611,chemnesia, dry mouth ,,,,
612,chemo, dry mouth, dry eyes, dizzy, paranoid, headache 
613,chernobyl, dry mouth, dry eyes, anxious, dizzy, paranoid 
614,cherries jubilee, dry mouth ,,,,
615,cherry ak 47, dry mouth, dry eyes, anxious, paranoid, dizzy 
616,cherry bomb, anxious, dry mouth, dry eyes, paranoid, headache 
617,cherry cookies, dry mouth, dizzy, dry eyes ,,
618,cherry cream pie, dizzy, dry eyes, dry mouth ,,
619,cherry diesel, dry mouth, dry eyes, anxious, paranoid, headache 
620,cherry durban poison, dry eyes, dry mouth, dizzy, anxious, headache 
621,cherry fire, dry mouth, paranoid ,,,
622,cherry grapefruit, dry mouth ,,,,
623,cherry kola, dry mouth, dry eyes, dizzy, paranoid, anxious 
624,cherry kush, dry mouth, dizzy, paranoid, anxious, dry eyes 
625,cherry limeade, dry mouth, dry eyes, headache ,,
626,cherry mender, dry eyes, dry mouth ,,,
627,cherry og, dry mouth, paranoid, headache, dry eyes, anxious 
628,cherry pie, dry mouth, dry eyes, dizzy, anxious, paranoid 
629,cherry pie kush, dry mouth, paranoid, anxious, dizzy, dry eyes 
630,cherry sauce, dry eyes, dry mouth ,,,
631,cherry sherbet, dry eyes, dizzy, dry mouth, paranoid, anxious 
632,cherry skunk, dry mouth, dry eyes, dizzy, anxious, paranoid 
633,cherry slyder, dry mouth ,,,,
634,cherry thunder fuck, dry mouth, dry eyes, paranoid ,,
635,cherry og, dry mouth, paranoid, headache, dry eyes, anxious 
636,cherry pie, dry mouth, dry eyes, dizzy, anxious, paranoid 
637,cherry pie kush, dry mouth, paranoid, anxious, dizzy, dry eyes 
638,cherry sauce, dry eyes, dry mouth ,,,
639,cherry sherbet, dry eyes, dizzy, dry mouth, paranoid, anxious 
640,cherry skunk, dry mouth, dry eyes, dizzy, anxious, paranoid 
641,cherry slyder, dry mouth ,,,,
642,cherry thunder fuck, dry mouth, dry eyes, paranoid ,,
643,cherry vanilla cookies, dry mouth ,,,,
644,cherry wine, dry eyes, dry mouth ,,,
645,chiesel, dry mouth, dry eyes, paranoid, dizzy, anxious 
646,china yunnan, dry mouth, dry eyes, headache ,,
647,chiquita banana, dry mouth, dry eyes, paranoid ,,
648,chloe, dry eyes, dizzy ,,,
649,chocoholic, dry eyes, dry mouth ,,,
650,chocolate chunk, dry mouth, dry eyes, dizzy, paranoid, anxious 
651,chocolate diesel, dizzy, dry mouth, anxious, dry eyes, paranoid 
652,chocolate fondue, dry mouth, paranoid, anxious, dry eyes, dizzy 
653,chocolate hashberry, dry mouth, headache, dry eyes, paranoid, anxious 
654,chocolate kush, dry mouth, dizzy, headache, dry eyes, anxious 
655,chocolate mint og, dry mouth, anxious, dizzy ,,
656,chocolate og, dry mouth, dry eyes, dizzy ,,
657,chocolate sap, anxious, dry eyes, dry mouth ,,
658,chocolate thai, dry mouth, dry eyes, paranoid, dizzy, anxious 
659,chocolate thunder, dry mouth, paranoid ,,,
660,chocolope kush, dry mouth, dry eyes, dizzy, headache, paranoid 
661,chronic, dry mouth, dry eyes, paranoid, anxious, dizzy 
662,chronic thunder, dizzy, headache, dry mouth, dry eyes, anxious 
663,chuckys bride, dry mouth, dry eyes ,,,
664,chunky diesel, dry mouth, dizzy, paranoid, dry eyes ,
665,chupacabra, dry mouth, anxious, headache ,,
666,church og, paranoid, dizzy, dry mouth, dry eyes, anxious 
667,cinderella 99, dry mouth, anxious, dry eyes, paranoid, headache 
668,cinderellas dream, dizzy, anxious, dry mouth, dry eyes, paranoid 
669,cindy white, dry mouth, dry eyes, anxious, dizzy, headache 
670,cinex, dry mouth, dry eyes, paranoid, dizzy, anxious 
671,cirrus, anxious, dry eyes, headache, paranoid, dry mouth 
672,citradelic sunset, dry mouth, paranoid ,,,
673,citral glue, dry mouth, dry eyes, headache ,,
674,citral skunk, anxious, dizzy, dry eyes, paranoid ,
675,citrix, dizzy, dry mouth, anxious, dry eyes, headache 
676,citrus kush, dry mouth, dry eyes, anxious, paranoid, dizzy 
677,cindy white, dry mouth, dry eyes, anxious, dizzy, headache 
678,cinex, dry mouth, dry eyes, paranoid, dizzy, anxious 
679,cirrus, anxious, dry eyes, headache, paranoid, dry mouth 
680,citradelic sunset, dry mouth, paranoid ,,,
681,citral glue, dry mouth, dry eyes, headache ,,
682,citral skunk, anxious, dizzy, dry eyes, paranoid ,
683,citrix, dizzy, dry mouth, anxious, dry eyes, headache 
684,citrus kush, dry mouth, dry eyes, anxious, paranoid, dizzy 
685,citrus punch, dry mouth, dry eyes, anxious, dizzy ,
686,citrus rush, dizzy, dry mouth ,,,
687,citrus sap, dry mouth, anxious, paranoid, dry eyes, dizzy 
688,citrus sunshine haze, dry mouth, dizzy, dry eyes, anxious, paranoid 
689,city of god, dry eyes, dry mouth ,,,
690,clementine, dry mouth, anxious, dry eyes, paranoid, dizzy 
691,clementine kush, anxious, dizzy, dry mouth, paranoid, dry eyes 
692,clementines terpentine, dry eyes ,,,,
693,clockwork orange, dry mouth, dizzy, dry eyes ,,
694,cloud 9, dry eyes, dry mouth, paranoid, dizzy, headache 
695,club 69, dizzy, dry eyes, dry mouth ,,
696,cluster bomb, dizzy, dry eyes, dry mouth ,,
697,coconut oil, dry eyes, dry mouth, headache ,,
698,cold creek kush, dry mouth, dry eyes, paranoid, anxious, headache 
699,colin og s1, dry eyes, dry mouth ,,,
700,colombian gold, dry mouth, dry eyes, anxious, dizzy, headache 
701,colombian mojito, dry mouth, dry eyes, anxious, dizzy, paranoid 
702,colorado bubba, dry mouth, anxious, dry eyes ,,
703,colorado chem, anxious, dry mouth, paranoid, dizzy, dry eyes 
704,colorado clementines, dry mouth ,,,,
705,commerce city kush, dry eyes, dry mouth, dizzy ,,
706,concord cream, dizzy, dry mouth ,,,
707,concord grape blockhead, dry eyes, dry mouth ,,,
708,confidential cheese, dry mouth, dry eyes, paranoid, anxious, dizzy 
709,confidential cookies, dry eyes, dry mouth ,,,
710,confidential wreck, dizzy, dry eyes ,,,
711,congo, dry mouth ,,,,
712,connie chung, dry mouth, dry eyes, dizzy, paranoid, anxious 
713,conspiracy kush, dry mouth, dry eyes, dizzy, paranoid, anxious 
714,cookie breath, paranoid, dizzy, anxious, dry mouth, dry eyes 
715,cookie dough, dry mouth, dry eyes, dizzy, anxious, paranoid 
716,cookie jar, dry eyes, headache, dry mouth, dizzy ,
717,cookie monster, dry mouth, dizzy, dry eyes, paranoid, anxious 
718,cookie puss, dry mouth ,,,,
719,cookie wreck, dry mouth, dry eyes, headache, dizzy, anxious 
720,cookies and dream, dry mouth, dry eyes, anxious ,,
721,copper kush, dizzy, dry eyes, dry mouth ,,
722,corleone kush, dry mouth, paranoid, dry eyes, anxious, headache 
723,cookie monster, dry mouth, dizzy, dry eyes, paranoid, anxious 
724,cookie puss, dry mouth ,,,,
725,cookie wreck, dry mouth, dry eyes, headache, dizzy, anxious 
726,cookies and dream, dry mouth, dry eyes, anxious ,,
727,copper kush, dizzy, dry eyes, dry mouth ,,
728,corleone kush, dry mouth, paranoid, dry eyes, anxious, headache 
729,corleone kush   the don cut, dizzy, dry mouth ,,,
730,cornbread, dry mouth, dry eyes, dizzy, anxious, paranoid 
731,cosmic collision, dry eyes, dizzy, dry mouth, anxious ,
732,cotton candy kush, dry mouth, dry eyes, paranoid, anxious, dizzy 
733,cotton purple chem, dry mouth ,,,,
734,cougar milk, anxious, paranoid ,,,
735,cowboy kush, dry mouth, dry eyes, dizzy ,,
736,coyote art, dry mouth ,,,,
737,cracker jack, dry eyes, dry mouth, paranoid, headache, dizzy 
738,crater lake, dry mouth, dry eyes, dizzy ,,
739,crazy miss hyde, dry mouth, anxious, dry eyes ,,
740,cream caramel, dry mouth, dry eyes, headache, dizzy, paranoid 
741,crimea blue, dizzy, dry eyes, dry mouth, headache ,
742,critical 47, dry mouth, dizzy, dry eyes ,,
743,critical bilbo, dry mouth, paranoid, dry eyes, anxious, dizzy 
744,critical cheese, dry mouth, dry eyes, anxious, paranoid ,
745,critical haze, dry mouth, headache, paranoid, dizzy, anxious 
746,critical hog, dry mouth, dizzy, dry eyes, anxious, headache 
747,critical jack, dry mouth, dry eyes, anxious, dizzy, headache 
748,critical kali mist, dizzy, dry mouth, paranoid ,,
749,critical kush, dry mouth, dry eyes, paranoid, anxious, dizzy 
750,critical mass, dry mouth, dry eyes, dizzy, anxious, paranoid 
751,critical plus, dry mouth, headache, dizzy, dry eyes, paranoid 
752,critical plus 20, paranoid, dry mouth, anxious, dry eyes ,
753,critical sensi star, dry eyes, dry mouth, dizzy, anxious, headache 
754,critical skunk, dry mouth, dry eyes ,,,
755,critical widow, dry eyes, dry mouth, dizzy, anxious ,
756,critters cookies, dry eyes, dry mouth ,,,
757,crocketts haze, dizzy, dry eyes, dry mouth ,,
758,cronuts, dry eyes ,,,,
759,crosswalker, dry eyes, dry mouth ,,,
760,crouching tiger hidden alien, dry mouth, dizzy, dry eyes ,,
761,crown og, dry mouth, dry eyes, dizzy, headache ,
762,crown royale, dry mouth, dizzy, dry eyes ,,
763,crumbled lime, dry mouth, headache ,,,
764,crunch berry kush, dry mouth, dry eyes, anxious, dizzy ,
765,crypt, dry mouth, dry eyes, headache, paranoid ,
766,crystal coma, dry mouth, dry eyes, dizzy, anxious, paranoid 
767,crystal gayle, dry mouth, dizzy, dry eyes ,,
768,crystalberry, dry eyes, dry mouth ,,,
769,cuvee, anxious, dry mouth, dry eyes, paranoid ,
770,dj short blueberry, dry mouth, dry eyes, anxious, dizzy, headache 
771,dj smoke, dry eyes, dry mouth ,,,
772,dairy queen, anxious, dry mouth, dry eyes, dizzy, headache 
773,dakini kush, dry mouth, anxious, dry eyes, headache ,
774,cuvee, anxious, dry mouth, dry eyes, paranoid ,
775,dj short blueberry, dry mouth, dry eyes, anxious, dizzy, headache 
776,dj smoke, dry eyes, dry mouth ,,,
777,dairy queen, anxious, dry mouth, dry eyes, dizzy, headache 
778,dakini kush, dry mouth, anxious, dry eyes, headache ,
779,damn sour, anxious, dizzy, dry eyes, dry mouth, headache 
780,damnesia, dry mouth, headache, anxious, paranoid, dry eyes 
781,dance world, dizzy, dry mouth, headache ,,
782,dancehall, dry eyes, dry mouth, anxious, headache, paranoid 
783,dank schrader, dry mouth, dizzy, anxious, dry eyes, paranoid 
784,dank sinatra, headache, dizzy, dry mouth ,,
785,double d, dry eyes, dry mouth, dizzy, headache, anxious 
786,dark blue dream, dry mouth, paranoid, dry eyes, anxious, headache 
787,dark shadow haze, dizzy, dry mouth, dry eyes, headache, paranoid 
788,dark side of the moon, dry mouth, dizzy, dry eyes, anxious, paranoid 
789,dark star, dry mouth, paranoid, anxious, dry eyes, dizzy 
790,darkside og, dizzy, dry mouth, dry eyes ,,
791,darth vader og, dry mouth, anxious, dizzy, paranoid, dry eyes 
792,dawgs waltz, dry mouth, dry eyes, dizzy, anxious, headache 
793,day tripper, anxious, paranoid, dry mouth, dizzy, dry eyes 
794,deadhead og, dry mouth, dry eyes, dizzy, anxious, headache 
795,deadlights, dry mouth, dry eyes, dizzy, headache ,
796,deadwood, dry mouth, dry eyes, headache ,,
797,death bubba, dry mouth, dizzy, dry eyes, paranoid, headache 
798,death by cake og, dizzy, dry eyes, dry mouth, paranoid ,
799,death star, dry mouth, dry eyes, anxious, paranoid, dizzy 
800,deathstar og, dizzy, dry mouth, dry eyes, paranoid, anxious 
801,deep breath, dry mouth ,,,,
802,deep cheese, dry mouth, anxious, dry eyes, paranoid ,
803,deep chunk, dry mouth ,,,,
804,deep purple, dry mouth, dry eyes, dizzy, headache, anxious 
805,deep sleep, dry eyes, dry mouth, dizzy, anxious, headache 
806,delahaze, dry mouth, anxious, dry eyes, dizzy, headache 
807,denver maple, dry eyes, dry mouth, headache ,,
808,destar bx, dry mouth ,,,,
809,desert star, dry mouth ,,,,
810,devil fruit, dry mouth, anxious, dry eyes, dizzy, paranoid 
811,devils tit, anxious, dry eyes, dry mouth, paranoid ,
812,diablo, dry mouth, dry eyes, dizzy, anxious, headache 
813,diamond og, dry mouth, dry eyes, dizzy, headache, paranoid 
814,diamond valley kush, anxious, dry eyes, dry mouth ,,
815,diesel dough, dry mouth, paranoid, anxious, dry eyes ,
816,diesel duff, dry mouth, dizzy, headache, paranoid, dry eyes 
817,diesel glue, dry mouth ,,,,
818,diablo, dry mouth, dry eyes, dizzy, anxious, headache 
819,diamond og, dry mouth, dry eyes, dizzy, headache, paranoid 
820,diamond valley kush, anxious, dry eyes, dry mouth ,,
821,diesel dough, dry mouth, paranoid, anxious, dry eyes ,
822,diesel duff, dry mouth, dizzy, headache, paranoid, dry eyes 
823,diesel glue, dry mouth ,,,,
824,dieseltonic, dry mouth, dry eyes, dizzy ,,
825,digweed, dry mouth, dizzy, dry eyes, anxious, paranoid 
826,dinachem, dry eyes, dry mouth ,,,
827,dirty girl, dry mouth, paranoid, dizzy, dry eyes, anxious 
828,dirty old bastard, dry eyes, dry mouth ,,,
829,dirty widow, dry eyes, dry mouth ,,,
830,disney blue, dry mouth, dry eyes, paranoid ,,
831,dizzy og, dizzy, dry mouth, dry eyes, paranoid ,
832,django, dry mouth, headache, dizzy, dry eyes, anxious 
833,do si dos, dry mouth, dry eyes, dizzy, anxious, headache 
834,doc holliday, dry mouth ,,,,
835,doctor doctor, dry eyes, dry mouth ,,,
836,dog shit, dry mouth, dry eyes, paranoid, anxious, headache 
837,dogwalker og, dry mouth, dry eyes, headache, anxious, dizzy 
838,dolla sign og kush, anxious, dry eyes, dry mouth ,,
839,domino, dry eyes, headache, dry mouth ,,
840,don shula, dry mouth, dry eyes ,,,
841,dons ghost, anxious, paranoid ,,,
842,donegal, dry eyes, dry mouth, anxious, dizzy, headache 
843,donkey butter, anxious, dry eyes, dry mouth, dizzy, paranoid 
844,donna og, dry mouth, dry eyes, dizzy ,,
845,doobiebird daydream, dry eyes, dry mouth, headache ,,
846,doox, dry mouth ,,,,
847,dopium, dry mouth, dry eyes, headache, paranoid, anxious 
848,dorit, dry eyes ,,,,
849,double barrel og, dry mouth, anxious, dizzy, headache, paranoid 
850,double diesel, dry mouth, dry eyes, paranoid, headache, dizzy 
851,double dream, dry mouth, dry eyes, paranoid, dizzy, anxious 
852,double dutch, dry mouth, dizzy, headache ,,
853,double mint, dry eyes, dry mouth ,,,
854,double og, dry mouth, dry eyes, dizzy, anxious, headache 
855,double purple doja, dry mouth, anxious ,,,
856,double tangie banana, paranoid, dry mouth, dry eyes, dizzy, headache 
857,dr feelgood, dry mouth ,,,,
858,dr funk, dry mouth, dry eyes, headache ,,
859,double purple doja, dry mouth, anxious ,,,
860,double tangie banana, paranoid, dry mouth, dry eyes, dizzy, headache 
861,dr feelgood, dry mouth ,,,,
862,dr funk, dry mouth, dry eyes, headache ,,
863,dr greenthumbs em dog, dry mouth ,,,,
864,dr grinspoon, dry mouth, anxious, dry eyes, dizzy, paranoid 
865,dr quantum, dry mouth ,,,,
866,dr who, dry mouth, dry eyes, headache, anxious, dizzy 
867,dragon fruit, dry eyes, dry mouth ,,,
868,dragon og, dry mouth, dry eyes, dizzy, anxious, headache 
869,dragons breath, paranoid, dry mouth, dry eyes, dizzy, anxious 
870,dreadlock, dry eyes, dry mouth ,,,
871,dream beaver, dry mouth, dry eyes, dizzy, anxious ,
872,dream berry, dry mouth, dizzy, dry eyes, headache ,
873,dream girl, dry mouth, dry eyes ,,,
874,dream lotus, dry mouth, anxious, headache, paranoid, dizzy 
875,dream police, dry eyes, dry mouth ,,,
876,dream queen, dry mouth, dry eyes, headache, paranoid, dizzy 
877,dream star, dry mouth, dry eyes, paranoid, dizzy ,
878,dreamcatcher, anxious, paranoid, dry eyes, dizzy, dry mouth 
879,dreamers glass, dry mouth, paranoid, anxious, dizzy ,
880,drizella, dry mouth, headache, dizzy, dry eyes ,
881,duct tape, dry mouth, dry eyes, anxious, headache, paranoid 
882,duke nukem, anxious, paranoid, dry mouth, dizzy, dry eyes 
883,durban berry, dry mouth, dry eyes ,,,
884,durban cheese, dry mouth, dry eyes, anxious, paranoid, dizzy 
885,durban cookies, dry mouth, dizzy, dry eyes, paranoid, anxious 
886,durban poison, dry mouth, dry eyes, anxious, paranoid, dizzy 
887,durga mata, dry mouth, dizzy, dry eyes ,,
888,dutch 47, dry mouth ,,,,
889,dutch crunch, dry mouth, paranoid, anxious, dizzy, dry eyes 
890,dutch dragon, paranoid, anxious, dry mouth, dry eyes, headache 
891,dutch dynasty, anxious, dizzy, dry mouth, headache, paranoid 
892,dutch hawaiian, dry mouth, dry eyes, dizzy, anxious, headache 
893,dutch haze, dry mouth, anxious ,,,
894,dutch kush, dry mouth, anxious, dizzy ,,
895,dutch queen, dry mouth, dry eyes, headache ,,
896,dutch thunder fuck, dry mouth, dizzy ,,,
897,dutch treat, dry mouth, anxious, dry eyes, dizzy, paranoid 
898,dutch treat haze, dry mouth, dizzy, paranoid, dry eyes ,
899,dutchberry, dry mouth, anxious, paranoid, dizzy, dry eyes 
900,dynamite, dry mouth, dry eyes, headache, paranoid, anxious 
901,early girl, dry mouth, dry eyes, paranoid, dizzy, anxious 
902,early glue rbx1, dizzy, dry eyes, dry mouth ,,
903,early miss, anxious, dizzy, dry eyes, dry mouth, headache 
904,early pearl, dry eyes, dry mouth ,,,
905,dutch treat haze, dry mouth, dizzy, paranoid, dry eyes ,
906,dutchberry, dry mouth, anxious, paranoid, dizzy, dry eyes 
907,dynamite, dry mouth, dry eyes, headache, paranoid, anxious 
908,early girl, dry mouth, dry eyes, paranoid, dizzy, anxious 
909,early glue rbx1, dizzy, dry eyes, dry mouth ,,
910,early miss, anxious, dizzy, dry eyes, dry mouth, headache 
911,early pearl, dry eyes, dry mouth ,,,
912,early skunk, dry mouth, dizzy, dry eyes, paranoid ,
913,earth og, dry eyes, dry mouth, dizzy, anxious, paranoid 
914,earthquake, dry eyes, dry mouth, headache ,,
915,earthshaker og, dry mouth, dizzy ,,,
916,east coast alien, dry mouth, anxious, dizzy, dry eyes, headache 
917,east coast sour diesel, dry mouth, dry eyes, headache, paranoid, dizzy 
918,eastern european, dizzy ,,,,
919,easy bud, dry mouth, anxious, dry eyes ,,
920,easy peezy, dizzy, dry eyes, dry mouth ,,
921,ebola 7, anxious, dry eyes, dry mouth, paranoid ,
922,ecto cooler, dry mouth, dry eyes, headache, anxious, dizzy 
923,ed rosenthal super bud, dry mouth, dry eyes, anxious, paranoid, dizzy 
924,edelweiss, dry eyes, dry mouth, paranoid, anxious, dizzy 
925,el chapo og, dry mouth, dry eyes, dizzy, headache, anxious 
926,el jeffe, dry eyes, anxious, dry mouth, dizzy, paranoid 
927,el nino, dry mouth, dry eyes, headache, paranoid, dizzy 
928,el perro, dry eyes, anxious, dry mouth, headache ,
929,elderberry kush, dry mouth, dry eyes, dizzy, anxious, headache 
930,electric black mamba, dry eyes, anxious, dizzy, dry mouth, headache 
931,electric kool aid, headache, anxious, paranoid, dry eyes, dry mouth 
932,electric lemon g, dry mouth, headache, anxious, dizzy, dry eyes 
933,electric lemonade, dry eyes, dry mouth, anxious, paranoid, dizzy 
934,elephant, dry mouth, dizzy, anxious, dry eyes, headache 
935,elmers glue, dry mouth, anxious, paranoid, dizzy, headache 
936,elphinstone, anxious, dry eyes, dry mouth, dizzy ,
937,elvis, anxious, dizzy, dry mouth, paranoid, dry eyes 
938,emerald jack, dry mouth, dizzy, paranoid, dry eyes, anxious 
