,strain,medical_1,medical_2,medical_3,medical_4,medical_5
777,critical widow, stress, pain, inflammation, depression, insomnia 
778,critters cookies, depression, pain, stress ,,
779,crocketts haze, headaches, depression, fatigue, inflammation, eye pressure 
780,cronuts, pain, inflammation, nausea, cramps, depression 
781,crosswalker, depression, pain, eye pressure, inflammation, insomnia 
782,crouching tiger hidden alien, stress, fatigue, depression, lack of appetite, muscle spasms 
783,crown og, insomnia, depression, fatigue, lack of appetite, stress 
784,crown royale, pain, stress, insomnia, muscle spasms, nausea 
785,crumbled lime, depression, headaches, stress ,,
786,crunch berry kush, stress, depression, pain, insomnia, inflammation 
787,crypt, stress, pain, headaches, depression, inflammation 
788,crystal coma, stress, depression, pain, lack of appetite, muscle spasms 
789,crystal gayle, muscle spasms ,,,,
790,crystalberry, insomnia, pain, stress, cramps, depression 
791,cuvee, stress, depression, pain, nausea, inflammation 
792,cypress og, depression, pain, stress ,,
793,dj short blueberry, stress, pain, depression, insomnia, inflammation 
794,dairy queen, stress, depression, pain, lack of appetite, fatigue 
795,dakini kush, pain, stress, inflammation, insomnia, headaches 
796,cuvee, stress, depression, pain, nausea, inflammation 
797,cypress og, depression, pain, stress ,,
798,dj short blueberry, stress, pain, depression, insomnia, inflammation 
799,dairy queen, stress, depression, pain, lack of appetite, fatigue 
800,dakini kush, pain, stress, inflammation, insomnia, headaches 
801,damn sour, pain, depression, lack of appetite, fatigue, stress 
802,damnesia, stress, depression, fatigue, lack of appetite, pain 
803,dance world, stress, depression, lack of appetite, pain, insomnia 
804,dancehall, pain, inflammation, depression, fatigue, stress 
805,dank schrader, stress, pain, insomnia, depression, fatigue 
806,dank sinatra, depression, pain, eye pressure, fatigue ,
807,double d, stress, pain, depression, insomnia, nausea 
808,dark blue dream, pain, depression, inflammation, headaches, stress 
809,dark shadow haze, fatigue, lack of appetite, pain, stress ,
810,dark side of the moon, insomnia, pain, inflammation, stress, depression 
811,dark star, insomnia, pain, depression, stress, lack of appetite 
812,darkside og, stress, fatigue, insomnia, lack of appetite, seizures 
813,darth vader og, depression, insomnia, muscle spasms, inflammation, pain 
814,dawgs waltz, pain, insomnia, stress, inflammation, muscle spasms 
815,dawgfather og, insomnia, pain ,,,
816,day tripper, stress, depression, insomnia, nausea, pain 
817,daywalker, insomnia, stress ,,,
818,deadhead og, stress, depression, pain, insomnia, lack of appetite 
819,deadlights, inflammation, pain, depression, muscle spasms, stress 
820,deadwood, stress, muscle spasms, pain ,,
821,death bubba, pain, stress, insomnia, depression, lack of appetite 
822,death by cake og, depression, lack of appetite, stress ,,
823,death star, stress, pain, insomnia, depression, headaches 
824,deathstar og, pain, stress, depression, insomnia, nausea 
825,deep cheese, lack of appetite, nausea, cramps, depression, fatigue 
826,deep chunk, insomnia, stress, pain, headaches, muscle spasms 
827,deep purple, stress, pain, insomnia, depression, lack of appetite 
828,deep sleep, insomnia, pain, muscle spasms, inflammation, fatigue 
829,delahaze, depression, stress, fatigue, lack of appetite, pain 
830,denver maple, stress, depression, pain, headaches, inflammation 
831,destar bx, fatigue, headaches, inflammation ,,
832,desert diesel, depression, stress ,,,
833,desert star, depression, nausea, pain, spasticity, stress 
834,destroyer, depression, stress, cramps, fatigue, insomnia 
835,devil fruit, insomnia, lack of appetite, pain, stress, depression 
836,devils tit, stress, depression, cramps, pain, headaches 
837,diablo, stress, pain, insomnia, depression, inflammation 
838,diamond og, insomnia, stress, pain, lack of appetite, depression 
839,diamond socks, stress ,,,,
840,diamond valley kush, stress, fatigue, depression, eye pressure, cramps 
841,diesel dough, stress, fatigue, headaches, inflammation, pain 
842,diesel duff, stress, pain, depression, headaches, muscle spasms 
843,diablo, stress, pain, insomnia, depression, inflammation 
844,diamond og, insomnia, stress, pain, lack of appetite, depression 
845,diamond socks, stress ,,,,
846,diamond valley kush, stress, fatigue, depression, eye pressure, cramps 
847,diesel dough, stress, fatigue, headaches, inflammation, pain 
848,diesel duff, stress, pain, depression, headaches, muscle spasms 
849,dieseltonic, stress, pain, inflammation, cramps, depression 
850,digweed, pain, stress, inflammation, depression, insomnia 
851,dinachem, stress, lack of appetite, fatigue, spasticity, depression 
852,dirty girl, stress, depression, fatigue, pain, headaches 
853,dirty old bastard, depression, pain, stress, fatigue, lack of appetite 
854,dirty widow, depression, fatigue, lack of appetite, stress ,
855,disney blue, stress, depression, fatigue, headaches, pain 
856,divina obscura, cramps, depression, eye pressure, fatigue, insomnia 
857,dizzy og, cramps, headaches, nausea, stress, depression 
858,django, stress, depression, fatigue, insomnia, muscle spasms 
859,do over og, depression, lack of appetite, stress ,,
860,do si dos, stress, pain, insomnia, depression, lack of appetite 
861,doc holliday, depression, muscle spasms, stress, pain, lack of appetite 
862,doctor doctor, stress, depression, headaches, nausea, pain 
863,dog shit, stress, pain, depression, fatigue, cramps 
864,dogwalker og, stress, depression, pain, insomnia, headaches 
865,dolla sign og kush, fatigue ,,,,
866,domino, stress, insomnia, depression, pain, muscle spasms 
867,don carlos, stress, depression, fatigue, inflammation, insomnia 
868,don shula, depression, fatigue, lack of appetite, stress, headaches 
869,donegal, headaches, depression, stress, fatigue, insomnia 
870,donkey butter, stress, pain, depression, inflammation, muscle spasms 
871,donna og, insomnia, pain, stress, depression, headaches 
872,doobiebird daydream, depression, stress, fatigue, inflammation, lack of appetite 
873,doox, depression, fatigue, inflammation, muscle spasms, pain 
874,dopium, stress, depression, pain, nausea, headaches 
875,dorit, inflammation, pain, stress ,,
876,double barrel og, headaches, pain, stress, cramps, depression 
877,double diesel, depression, stress, pain, fatigue, insomnia 
878,double dream, depression, stress, pain, fatigue, lack of appetite 
879,double dutch, stress, depression, insomnia, fatigue, nausea 
880,double mint, stress, pain, fatigue, headaches, insomnia 
881,double og, fatigue, pain, insomnia, stress, headaches 
882,double purple doja, pain, stress, muscle spasms, insomnia, headaches 
883,double tangie banana, stress, pain, fatigue, depression, inflammation 
884,double tap, depression, headaches, inflammation, insomnia, lack of appetite 
885,dougs varin, inflammation, fatigue, stress, depression, nausea 
886,dr feelgood, stress, depression, cramps, eye pressure, insomnia 
887,dr funk, stress, insomnia, pain, headaches, depression 
888,double purple doja, pain, stress, muscle spasms, insomnia, headaches 
889,double tangie banana, stress, pain, fatigue, depression, inflammation 
890,double tap, depression, headaches, inflammation, insomnia, lack of appetite 
891,dougs varin, inflammation, fatigue, stress, depression, nausea 
892,dr feelgood, stress, depression, cramps, eye pressure, insomnia 
893,dr funk, stress, insomnia, pain, headaches, depression 
894,dr grinspoon, depression, stress, fatigue, pain, lack of appetite 
895,dr quantum, depression, insomnia, stress ,,
896,dr who, stress, pain, depression, insomnia, nausea 
897,dragon fruit, insomnia ,,,,
898,dragon og, stress, headaches, pain, insomnia, nausea 
899,dragon punch, nausea, pain, stress, inflammation ,
900,dragons breath, fatigue, depression, stress, muscle spasms, nausea 
901,dreadlock, stress, depression, pain ,,
902,dream beaver, stress, depression, pain, fatigue, lack of appetite 
903,dream berry, pain, stress, depression, insomnia, nausea 
904,dream girl, depression, headaches, stress ,,
905,dream lotus, depression, stress, pain, insomnia, headaches 
906,dream machine, insomnia ,,,,
907,dream police, stress, depression, pain, inflammation, insomnia 
908,dream queen, depression, stress, pain, headaches, fatigue 
909,dream star, stress, depression, pain, fatigue, headaches 
910,dreamcatcher, stress, pain, muscle spasms, depression, inflammation 
911,dreamers glass, lack of appetite, depression, fatigue, muscle spasms, seizures 
912,drizella, fatigue, stress, depression, cramps, headaches 
913,duct tape, pain, stress, lack of appetite, insomnia, depression 
914,duke nukem, depression, stress, fatigue, muscle spasms, pain 
915,durban berry, stress, depression, nausea, fatigue, headaches 
916,durban cheese, stress, pain, depression, headaches, nausea 
917,durban cookies, depression, stress, pain, fatigue, headaches 
918,durban poison, depression, stress, fatigue, pain, headaches 
919,durga mata, stress, pain, muscle spasms, inflammation, insomnia 
920,dutch crunch, depression, eye pressure, fatigue, headaches, inflammation 
921,dutch dragon, pain, headaches, depression, stress, fatigue 
922,dutch hawaiian, pain, stress, depression, nausea, muscle spasms 
923,dutch haze, depression, stress, headaches, lack of appetite ,
924,dutch kush, stress, insomnia, pain, inflammation, lack of appetite 
925,dutch queen, fatigue, depression, stress, eye pressure, muscle spasms 
926,dutch thunder fuck, depression, stress, inflammation, insomnia, muscle spasms 
927,dutch treat, stress, depression, pain, insomnia, inflammation 
928,dutch treat haze, stress, depression, nausea, pain, fatigue 
929,dutchberry, stress, fatigue, depression, muscle spasms, spasticity 
930,dynamite, stress, depression, lack of appetite, fatigue, pain 
931,early girl, pain, stress, depression, insomnia, lack of appetite 
932,early miss, depression, lack of appetite ,,,
933,early pearl, eye pressure, headaches, nausea ,,
934,dutch treat haze, stress, depression, nausea, pain, fatigue 
935,dutchberry, stress, fatigue, depression, muscle spasms, spasticity 
936,dynamite, stress, depression, lack of appetite, fatigue, pain 
937,early girl, pain, stress, depression, insomnia, lack of appetite 
938,early miss, depression, lack of appetite ,,,
939,early pearl, eye pressure, headaches, nausea ,,
940,early skunk, stress, depression, pain, muscle spasms, fatigue 
941,earth og, stress, depression, insomnia, inflammation, muscle spasms 
942,earthquake, stress, fatigue, insomnia, depression, eye pressure 
943,earthshaker og, stress, insomnia, pain, depression, headaches 
944,east coast alien, stress, depression, pain, headaches, inflammation 
945,east coast sour diesel, stress, depression, fatigue, pain, insomnia 
946,eastern european, lack of appetite, fatigue, headaches, insomnia, muscle spasms 
947,easy bud, lack of appetite, stress, depression ,,
948,easy peezy, depression, pain, stress, fatigue, headaches 
949,ebola 7, stress, depression, pain, insomnia, eye pressure 
950,ecto cooler, stress, pain, depression, headaches, insomnia 
951,ed rosenthal super bud, insomnia, pain, depression, fatigue, inflammation 
952,edelweiss, inflammation, stress, pain, depression, insomnia 
953,egyptian royalty 1, nausea, pain, stress ,,
954,el chapo, depression, stress ,,,
955,el chapo og, pain, insomnia, lack of appetite, eye pressure, stress 
956,el jeffe, stress, depression, headaches, pain, insomnia 
957,el nino, stress, insomnia, pain, depression, nausea 
958,el perro, eye pressure, pain, stress, headaches, lack of appetite 
959,el na, cramps, headaches, inflammation, insomnia, muscle spasms 
960,elderberry kush, pain, insomnia, stress, depression, lack of appetite 
961,electric black mamba, insomnia, stress, pain, fatigue, headaches 
962,electric kool aid, stress, depression, insomnia, cramps, fatigue 
963,electric lemon g, depression, insomnia, stress, pain, headaches 
964,electric lemonade, depression, stress, fatigue, headaches, insomnia 
965,elektra, depression, pain, stress, inflammation, insomnia 
966,elephant, eye pressure, pain, spasticity ,,
967,elmers glue, stress, pain, depression, lack of appetite, inflammation 
968,elphinstone, depression, stress, pain, fatigue, lack of appetite 
969,elvis, stress, pain, depression, fatigue, headaches 
970,emerald jack, stress, depression, fatigue, pain, spasticity 
971,emerald og, stress, insomnia, depression, headaches, pain 
972,emperor cookie dough, stress, depression, pain, nausea, muscle spasms 
973,endless sky, stress, lack of appetite, pain, muscle spasms, insomnia 
974,enemy of the state, fatigue, headaches, pain, cramps, stress 
975,enigma, insomnia, stress, pain, depression, nausea 
976,eran almog, stress, insomnia, pain, inflammation, nausea 
977,erez, pain, stress, depression, insomnia, nausea 
978,ether, insomnia, depression, headaches, muscle spasms, nausea 
979,ethiopian, cramps, fatigue, headaches, lack of appetite, nausea 
980,euphoria, stress, depression, pain, nausea, lack of appetite 
981,eugene cream, pain, stress, lack of appetite, depression, insomnia 
982,euphoria cookies, eye pressure, depression, fatigue, insomnia, nausea 
983,erez, pain, stress, depression, insomnia, nausea 
984,ether, insomnia, depression, headaches, muscle spasms, nausea 
985,ethiopian, cramps, fatigue, headaches, lack of appetite, nausea 
986,euphoria, stress, depression, pain, nausea, lack of appetite 
987,eugene cream, pain, stress, lack of appetite, depression, insomnia 
988,euphoria cookies, eye pressure, depression, fatigue, insomnia, nausea 
989,everlast, stress, pain, insomnia, muscle spasms, inflammation 
990,exodus cheese, depression, stress, pain, insomnia, lack of appetite 
991,extreme cream, inflammation, stress, pain, depression, insomnia 
992,extreme og, insomnia, pain, lack of appetite, fatigue, stress 
993,fn louzer, lack of appetite, seizures ,,,
994,fpog, stress, depression, pain, muscle spasms, insomnia 
995,face off bx2, depression, headaches, pain, seizures, stress 
996,face off og, stress, pain, muscle spasms, headaches, inflammation 
997,face on fire, depression, insomnia, nausea, pain, stress 
998,faded glory, headaches ,,,,
999,fallen angel, pain, muscle spasms, depression, headaches, lack of appetite 
1000,false teeth, stress, depression, pain, nausea, headaches 
1001,fast eddy, depression, lack of appetite, fatigue, pain, inflammation 
1002,fat axl, depression, fatigue, headaches, insomnia, pain 
1003,fat nelson, stress, fatigue, muscle spasms, pain ,
1004,fat purple, insomnia, depression, pain, nausea, stress 
1005,faygo red pop, stress, depression, pain, muscle spasms, fatigue 
1006,fire alien kush, eye pressure, headaches, depression, stress, pain 
1007,fire alien strawberry, depression, stress, fatigue ,,
1008,fire haze, stress, depression, pain, fatigue, insomnia 
1009,fire og, stress, depression, pain, insomnia, headaches 
1010,firewalker og, pain, stress, depression, headaches, fatigue 
1011,first 48, stress, depression, headaches, pain, fatigue 
1012,first light, insomnia, pain, stress ,,
1013,flaming cookies, pain, stress, insomnia, depression, lack of appetite 
1014,flo, stress, depression, fatigue, pain, nausea 
1015,flo limone, lack of appetite, stress, pain, depression, inflammation 
1016,flo og, depression, stress, pain, insomnia, headaches 
1017,flo walker, headaches, stress, inflammation, pain, depression 
1018,flowerbomb kush, stress, depression, pain, insomnia, lack of appetite 
1019,flowers for algernon, depression, headaches, insomnia, lack of appetite, muscle spasms 
1020,forbidden fruit, stress, pain, depression, insomnia, muscle spasms 
1021,formula one, depression, insomnia, lack of appetite, muscle spasms, pain 
1022,fortune cookies, depression, stress, pain, lack of appetite, nausea 
1023,forum cut cookies s1, stress, depression, eye pressure, headaches, insomnia 
1024,foul mouth, depression, insomnia, stress, nausea, inflammation 
1025,flowers for algernon, depression, headaches, insomnia, lack of appetite, muscle spasms 
1026,forbidden fruit, stress, pain, depression, insomnia, muscle spasms 
1027,formula one, depression, insomnia, lack of appetite, muscle spasms, pain 
1028,fortune cookies, depression, stress, pain, lack of appetite, nausea 
1029,forum cut cookies s1, stress, depression, eye pressure, headaches, insomnia 
1030,foul mouth, depression, insomnia, stress, nausea, inflammation 
1031,four cups, headaches, pain, stress, cramps, fatigue 
1032,four way, stress, pain, eye pressure, fatigue, headaches 
1033,franks gift, stress, pain, depression, inflammation, cramps 
1034,frankenstein, pain, depression, stress, muscle spasms, insomnia 
1035,fred flipn stoned, stress, depression, fatigue, headaches, inflammation 
1036,freezeland, stress, depression, insomnia, pain, headaches 
1037,french bread, depression, headaches ,,,
1038,frida, stress, pain, inflammation, depression, insomnia 
1039,frisian dew, stress, pain, lack of appetite, depression, insomnia 
1040,frisian duck, lack of appetite, stress, fatigue, headaches, pain 
1041,frostbite, pain, stress, inflammation, depression, insomnia 
1042,frosted cherry cookies, pain, insomnia, stress, headaches, depression 
1043,frosted freak, stress, fatigue, depression, pain, insomnia 
1044,frosty, stress, depression, lack of appetite, muscle spasms, headaches 
1045,frosty jesus, depression, fatigue, insomnia, pain, stress 
1046,fruit crusher, fatigue, headaches, depression, pain, stress 
1047,fruit loops, stress, depression, pain, fatigue, headaches 
1048,fruit punch, stress, depression, fatigue, nausea, headaches 
1049,fruit spirit, stress, depression, nausea, lack of appetite, pain 
1050,fruity chronic juice, stress, depression, pain, lack of appetite, insomnia 
1051,fruity widow, stress, lack of appetite, pain, depression, headaches 
1052,fruitylicious, headaches, insomnia, pain, stress, cramps 
1053,fucking incredible, stress, insomnia, pain, depression, inflammation 
1054,full moon, stress, fatigue, headaches, depression, inflammation 
1055,funfetti, depression, lack of appetite, pain, insomnia, inflammation 
1056,funky monkey, stress, lack of appetite, depression, pain, headaches 
1057,future, depression, stress, headaches, nausea, pain 
1058,g force, lack of appetite, pain, stress, depression, insomnia 
1059,goat, insomnia, pain, stress, depression, eye pressure 
1060,g 13, stress, depression, pain, lack of appetite, insomnia 
1061,g13 diesel, stress, pain, depression, headaches, lack of appetite 
1062,g13 haze, pain, headaches, stress, depression, nausea 
1063,g13 widow, pain, stress, depression, headaches, inflammation 
1064,gi 001, inflammation, muscle spasms, pain, stress, headaches 
1065,gmo cookies, pain, stress, depression, insomnia, inflammation 
1066,griz kush, stress, depression, insomnia, eye pressure, headaches 
1067,gsc, stress, depression, pain, fatigue, insomnia 
1068,gto, depression, headaches, pain ,,
1069,gabriel sherbet, stress, depression, fatigue, lack of appetite, headaches 
1070,galactic jack, fatigue, depression, stress, headaches, eye pressure 
1071,gi 001, inflammation, muscle spasms, pain, stress, headaches 
1072,gmo cookies, pain, stress, depression, insomnia, inflammation 
1073,griz kush, stress, depression, insomnia, eye pressure, headaches 
1074,gsc, stress, depression, pain, fatigue, insomnia 
1075,gto, depression, headaches, pain ,,
1076,gabriel sherbet, stress, depression, fatigue, lack of appetite, headaches 
1077,galactic jack, fatigue, depression, stress, headaches, eye pressure 
1078,galactica og, headaches, pain, fatigue, stress, insomnia 
1079,game changer, stress, depression, pain, headaches, fatigue 
1080,gandalf og, inflammation, stress, muscle spasms, nausea, insomnia 
1081,ganesh berry, stress, depression, fatigue, headaches, pain 
1082,garlic bud, pain, insomnia, depression, stress, fatigue 
1083,gas mask, pain, insomnia, stress, inflammation, lack of appetite 
1084,gatekeeper og, fatigue ,,,,
1085,gelato, stress, depression, pain, lack of appetite, insomnia 
1086,gelato 33, pain, stress, depression, headaches, muscle spasms 
1087,gemstone, stress, insomnia, lack of appetite, depression, pain 
1088,georgia pine, lack of appetite, depression, pain, fatigue, muscle spasms 
1089,ghost bubba, stress, pain, headaches, depression, lack of appetite 
1090,ghost cookies, stress, depression, pain, inflammation, insomnia 
1091,ghost og, stress, pain, depression, headaches, insomnia 
1092,ghost og moonshine, inflammation, muscle spasms, lack of appetite, stress, spasticity 
1093,ghost rider og, stress, insomnia, pain, inflammation, depression 
1094,ghost ship, pain, insomnia, stress, depression, fatigue 
1095,ghost train haze, depression, stress, pain, fatigue, headaches 
1096,ghostbreath, depression, stress, nausea, pain, insomnia 
1097,gigabud, insomnia, depression, stress, pain, nausea 
1098,gilz nilz, pain, depression, headaches, stress, inflammation 
1099,ginger ale, insomnia, headaches, inflammation, muscle spasms, pain 
1100,ginger punch, depression, pain, inflammation, stress, insomnia 
1101,glad max, stress, pain, depression, fatigue, inflammation 
1102,glass apple, stress, depression, headaches, fatigue, pain 
1103,glass slipper, depression, stress, pain, headaches, inflammation 
1104,glue tech, stress, pain, lack of appetite, muscle spasms, nausea 
1105,gnome walker, stress ,,,,
1106,go time, depression, fatigue, pain, stress, inflammation 
1107,goat head, insomnia, lack of appetite, muscle spasms, nausea, pain 
1108,gobbilygoo, insomnia, lack of appetite, headaches, pain, stress 
1109,gobbstopper, pain, insomnia, depression, stress, headaches 
1110,god bud, stress, depression, insomnia, pain, fatigue 
1111,gods green crack, stress, depression, pain, fatigue, lack of appetite 
1112,godberry, pain, stress, insomnia, depression, lack of appetite 
1113,godfather og, stress, insomnia, pain, depression, muscle spasms 
1114,godfather purple kush, pain, stress, insomnia, headaches, inflammation 
1115,godzilla, depression, stress, lack of appetite, pain, inflammation 
1116,godzilla blood, insomnia, lack of appetite, muscle spasms ,,
1117,godzilla glue, stress, depression, pain, inflammation, headaches 
1118,gods bubba, pain, stress, insomnia, inflammation, lack of appetite 
1119,gods treat, stress, inflammation, muscle spasms, pain, depression 
1120,godberry, pain, stress, insomnia, depression, lack of appetite 
1121,godfather og, stress, insomnia, pain, depression, muscle spasms 
1122,godfather purple kush, pain, stress, insomnia, headaches, inflammation 
1123,godzilla, depression, stress, lack of appetite, pain, inflammation 
1124,godzilla blood, insomnia, lack of appetite, muscle spasms ,,
1125,godzilla glue, stress, depression, pain, inflammation, headaches 
1126,gods bubba, pain, stress, insomnia, inflammation, lack of appetite 
1127,gods treat, stress, inflammation, muscle spasms, pain, depression 
1128,gog magog, insomnia, lack of appetite, pain, stress, inflammation 
1129,goji diesel, depression, headaches, stress, fatigue, cramps 
1130,goji og, depression, stress, pain, fatigue, lack of appetite 
1131,gold kings thai, depression, pain, stress ,,
1132,goldberry, stress, fatigue, pain, depression, nausea 
1133,golden calyx, eye pressure, headaches, muscle spasms, pain, stress 
1134,golden gage, fatigue, headaches, depression, stress, pain 
1135,golden goat, stress, depression, pain, fatigue, headaches 
1136,golden lemon, stress, depression, pain, nausea, cramps 
1137,golden nugget, stress, depression, lack of appetite, fatigue, insomnia 
1138,golden panda, fatigue, stress, lack of appetite, headaches, insomnia 
1139,golden pineapple, depression, stress, headaches, pain, fatigue 
1140,golden state banana, insomnia, stress, lack of appetite, nausea, cramps 
1141,golden tangie, stress, fatigue, depression, headaches, inflammation 
1142,golden ticket, depression, stress, insomnia, fatigue, pain 
1143,golden tiger, headaches, eye pressure, depression, stress, fatigue 
1144,goldwing, stress, depression, nausea, pain, muscle spasms 
1145,goo, stress, insomnia, depression, pain, lack of appetite 
1146,gooberry, stress, depression, inflammation, pain, insomnia 
1147,good medicine, pain, stress, depression, fatigue, inflammation 
1148,gorilla biscuit, insomnia, stress, pain, inflammation, muscle spasms 
1149,gorilla breath, depression, eye pressure, fatigue, headaches, lack of appetite 
1150,gorilla cookies, depression, stress, pain, lack of appetite, insomnia 
1151,gorilla girl, pain, depression, insomnia, stress, headaches 
1152,gorilla grips, pain, stress, insomnia, depression, headaches 
1153,gorilla snacks, stress, pain, depression, cramps, insomnia 
1154,gorkle, fatigue, pain, stress ,,
1155,government mule, spasticity ,,,,
1156,grand doggy purps, stress, insomnia, lack of appetite, pain, inflammation 
1157,grand hindu, pain, stress, inflammation, fatigue, muscle spasms 
1158,grand hustle, stress, depression, pain, fatigue, lack of appetite 
1159,granddaddy purple, stress, insomnia, pain, depression, lack of appetite 
1160,grandma andersons cookies, depression, inflammation, insomnia, pain, seizures 
1161,grandmas batch, depression, fatigue, pain ,,
1162,grandmas sugar cookies, stress, pain, depression, muscle spasms, eye pressure 
1163,grandpa larry og, stress, depression, fatigue, pain, inflammation 
1164,grandpas breath, pain, headaches, inflammation, nausea, insomnia 
1165,grandpas stash, depression, eye pressure, pain, stress ,
1166,granola funk, depression, stress, headaches, pain, eye pressure 
1167,grape ape, stress, insomnia, pain, depression, lack of appetite 
1168,grape bubba, depression, headaches ,,,
1169,grape calyx, lack of appetite, stress, depression, spasticity, fatigue 
1170,grape cookies, stress, insomnia, pain, muscle spasms, depression 
1171,grandpas stash, depression, eye pressure, pain, stress ,
1172,granola funk, depression, stress, headaches, pain, eye pressure 
1173,grape ape, stress, insomnia, pain, depression, lack of appetite 
1174,grape bubba, depression, headaches ,,,
1175,grape calyx, lack of appetite, stress, depression, spasticity, fatigue 
1176,grape cookies, stress, insomnia, pain, muscle spasms, depression 
1177,grape drink, pain, headaches, depression, stress, insomnia 
1178,grape god, stress, depression, insomnia, pain, headaches 
1179,grape inferno, stress, depression, pain, insomnia, inflammation 
1180,grape jelly, stress, insomnia, depression, pain, muscle spasms 
1181,grape krush, stress, pain, insomnia, depression, muscle spasms 
1182,grape kush, stress, pain, muscle spasms, depression, inflammation 
1183,grape ox, stress, pain, spasticity, depression, insomnia 
1184,grape skunk, stress, insomnia, pain, headaches, fatigue 
1185,grape soda, depression, insomnia, muscle spasms, lack of appetite, eye pressure 
1186,sour grapes, depression, stress, pain, insomnia, lack of appetite 
1187,grape valley kush, stress, insomnia, pain, headaches, inflammation 
1188,grape vine, fatigue, insomnia, lack of appetite, stress ,
1189,grapefruit, stress, depression, pain, fatigue, headaches 
1190,grapefruit diesel, stress, depression, headaches, insomnia, inflammation 
1191,grapefruit haze, stress, depression, fatigue, pain, muscle spasms 
1192,grapefruit kush, stress, depression, pain, insomnia, lack of appetite 
1193,gravity, stress, pain, depression, insomnia, muscle spasms 
1194,grease monkey, pain, stress, depression, muscle spasms, insomnia 
1195,white shark, stress, depression, pain, fatigue, lack of appetite 
1196,green avenger, depression, fatigue, stress, inflammation, lack of appetite 
1197,green candy, stress, depression, pain, fatigue, insomnia 
1198,green cheese, stress, depression, pain, lack of appetite, inflammation 
1199,green crack, stress, depression, fatigue, pain, headaches 
1200,green crack cbd, depression, fatigue, inflammation, pain, stress 
1201,green crack extreme, stress, depression, pain, fatigue, nausea 
1202,green door kush, pain, insomnia, nausea, muscle spasms, stress 
1203,green dragon, pain, stress, depression, nausea, lack of appetite 
1204,green dream, depression, stress, pain, lack of appetite, nausea 
1205,green goblin, stress, depression, pain, headaches, insomnia 
1206,green goddess, depression, pain, fatigue, stress, nausea 
1207,green haze, pain, depression, stress, lack of appetite, nausea 
1208,green hornet, depression, stress, pain, fatigue, insomnia 
1209,green kush, pain, depression, fatigue, stress, insomnia 
1210,green lantern, stress, depression, headaches, seizures, pain 
1211,green line og, pain, inflammation, stress, depression, muscle spasms 
1212,green love potion, stress, pain, depression, muscle spasms, inflammation 
1213,green magic, depression, eye pressure, headaches, insomnia, lack of appetite 
1214,green mango, depression, headaches, lack of appetite, muscle spasms, pain 
1215,green monster, depression, stress, pain, insomnia, fatigue 
1216,green poison, pain, muscle spasms, depression, headaches, insomnia 
1217,green python, eye pressure, insomnia, lack of appetite, muscle spasms, pain 
1218,green queen, stress, depression, insomnia, spasticity, pain 
1219,green ribbon, depression, fatigue, nausea, headaches, lack of appetite 
1220,gremlin, depression, headaches, insomnia, muscle spasms, pain 
1221,green magic, depression, eye pressure, headaches, insomnia, lack of appetite 
1222,green mango, depression, headaches, lack of appetite, muscle spasms, pain 
1223,green monster, depression, stress, pain, insomnia, fatigue 
1224,green poison, pain, muscle spasms, depression, headaches, insomnia 
1225,green python, eye pressure, insomnia, lack of appetite, muscle spasms, pain 
1226,green queen, stress, depression, insomnia, spasticity, pain 
1227,green ribbon, depression, fatigue, nausea, headaches, lack of appetite 
1228,gremlin, depression, headaches, insomnia, muscle spasms, pain 
1229,grilled cheese, insomnia, stress, depression, lack of appetite, pain 
1230,grimace, stress, insomnia, pain, depression, headaches 
1231,grimace og, insomnia, stress, pain, depression, headaches 
1232,grimmdica, pain, stress, spasticity, lack of appetite, insomnia 
1233,guard dawg, lack of appetite, stress, insomnia, depression, inflammation 
1234,guava cake, depression, headaches ,,,
1235,guava chem, depression, pain, stress, lack of appetite, muscle spasms 
1236,guava gelato, cramps, fatigue, eye pressure, headaches, pain 
1237,guava kush, depression, pain, headaches, fatigue, stress 
1238,gucci og, depression, stress, fatigue, pain, lack of appetite 
1239,guido kush, stress, nausea, pain, depression, insomnia 
1240,gumbo, stress, depression, insomnia, lack of appetite, headaches 
1241,gummo, stress, insomnia, depression, pain, headaches 
1242,gummy bears, stress, pain, depression, fatigue, headaches 
1243,gupta kush, stress, depression, lack of appetite, pain, insomnia 
1244,guptilla, stress, pain, depression, fatigue, inflammation 
1245,gutbuster, depression, stress, fatigue, lack of appetite, pain 
1246,hades haze, insomnia, depression, fatigue, lack of appetite, pain 
1247,hades og, eye pressure, lack of appetite, stress, insomnia, headaches 
1248,haleighs hope, pain, muscle spasms, insomnia, stress, inflammation 
1249,hammerhead, depression, pain, fatigue, lack of appetite, stress 
1250,hannibal nectar, depression, fatigue, headaches, cramps, insomnia 
1251,haole, stress, headaches, pain, depression, fatigue 
1252,haoma, inflammation, pain, muscle spasms, stress, depression 
1253,haoma mist, pain, lack of appetite, inflammation, stress, depression 
1254,happy rancher, stress, insomnia, pain, nausea, depression 
1255,hardcore og, pain, insomnia, stress, headaches, lack of appetite 
1256,harle tsu, pain, inflammation, stress, depression, fatigue 
1257,harlequin, pain, stress, depression, inflammation, fatigue 
1258,harlequin gdp, stress, pain, nausea, depression, inflammation 
1259,harley storm, pain, stress, inflammation, muscle spasms, depression 
1260,harmonia, pain, stress, headaches, inflammation, cramps 
1261,harmony, stress, depression, fatigue, lack of appetite, pain 
