,strain,medical_1,medical_2,medical_3,medical_4,medical_5
110,aliens on moonshine, pain, stress, depression, muscle spasms, cramps 
111,allen iverson og, depression, insomnia, lack of appetite, stress, headaches 
112,allen wrench, stress, depression, pain, fatigue, nausea 
113,alien stardawg, stress, depression, lack of appetite, inflammation, muscle spasms 
114,alien technology, stress, lack of appetite, pain, headaches, depression 
115,alien walker, stress, pain, depression, insomnia, muscle spasms 
116,aliens on moonshine, pain, stress, depression, muscle spasms, cramps 
117,allen iverson og, depression, insomnia, lack of appetite, stress, headaches 
118,allen wrench, stress, depression, pain, fatigue, nausea 
119,allkush, stress, depression, eye pressure, pain ,
120,aloha, stress, depression, pain, nausea, fatigue 
121,aloha grape stomper, depression, fatigue, headaches, lack of appetite, spasticity 
122,aloha limone, depression, fatigue, stress, pain, lack of appetite 
123,alohaberry, stress, pain, depression, nausea, muscle spasms 
124,alpha blue, pain, stress, muscle spasms, depression, fatigue 
125,alpha express, insomnia, lack of appetite, cramps, depression, fatigue 
126,alpha og, insomnia, stress, depression, fatigue, headaches 
127,alpine blue, pain, insomnia, stress, lack of appetite, depression 
128,alpine star, stress, insomnia, pain, eye pressure, depression 
129,altoyd, headaches ,,,,
130,ambrosia, stress, depression, headaches, pain, insomnia 
131,american beauty, insomnia, stress, pain, headaches, nausea 
132,american dream, stress, pain, depression, nausea, lack of appetite 
133,american kush, eye pressure, pain, stress, muscle spasms, headaches 
134,american pie, depression, stress ,,,
135,americano, headaches, nausea, pain ,,
136,amethyst, stress, depression, pain, fatigue ,
137,amethyst bud, stress, insomnia, nausea, pain, depression 
138,amherst sour diesel, depression, fatigue, stress, muscle spasms, pain 
139,amnesi k lemon, fatigue, stress ,,,
140,amnesia, stress, depression, pain, lack of appetite, insomnia 
141,amnesia haze, stress, depression, pain, insomnia, fatigue 
142,amnesia og, stress, depression, nausea, pain, fatigue 
143,ancient kush, stress, headaches, lack of appetite, pain ,
