,strain,parent_1,parent_2,parent_3,parent_4,parent_5,parent_6,parent_7
1357,grape calyx,pineapple purple skunk,n,n,n,n,n,n
1358,grape candy,purple pantera,n,n,n,n,n,n
1359,grape cookies,girl scout cookies,grape kush,n,n,n,n,n
1360,grape dawg,lemon kush,alien dawg,n,n,n,n,n
1361,grape drink,kimbo kush,grape god,n,n,n,n,n
1362,grape god,god bud,grapefruit,n,n,n,n,n
1363,grape god bud,grapefruit,god bud,n,n,n,n,n
1364,grape inferno,querkle,n,n,n,n,n,n
1365,grape jelly,n,n,n,n,n,n,n
1366,grape krush,blueberry,n,n,n,n,n,n
1367,grape krush throwback,grape krush,blueberry,n,n,n,n,n
1368,grape kush,pre-98 bubba kush,romulan grapefruit,n,n,n,n,n
1369,grape ox,grape ape,n,n,n,n,n,n
1370,grape skunk,super skunk,blueberry,grapefruit,n,n,n,n
1371,grape smuggler,grape ape,face off og,n,n,n,n,n
1372,grape soda,tahoe og kush,n,n,n,n,n,n
1373,grape stomper,purple elephant,chemdawg sour diesel,n,n,n,n,n
1374,grape valley kush,sfv og,grape kush,n,n,n,n,n
1375,grape vine,grape ape,do-si-dos,n,n,n,n,n
1376,grapefruit,cinderella 99,n,n,n,n,n,n
1377,grapefruit diesel,grapefruit,nyc diesel,n,n,n,n,n
1378,grapefruit haze,grapefruit,super silver haze,n,n,n,n,n
1379,grapefruit kush,n,n,n,n,n,n,n
1380,gravity,hash plant,northern lights,n,n,n,n,n
1381,grease monkey,gg4,cookies and cream,n,n,n,n,n
1382,great white shark,super skunk,south american,south indian,n,n,n,n
1383,green avenger,vortex,apollo 11,n,n,n,n,n
1384,green candy,n,n,n,n,n,n,n
1385,green cheese,green crack,cheese,n,n,n,n,n
1386,green crack,skunk no 1,n,n,n,n,n,n
1387,green crack cbd,green crack,n,n,n,n,n,n
1388,green crack extreme,green crack,n,n,n,n,n,n
1389,green door kush,n,n,n,n,n,n,n
1390,green dragon,afghani,n,n,n,n,n,n
1391,green dream,n,n,n,n,n,n,n
1392,green goblin,northern lights,skunk no 1,n,n,n,n,n
1393,green goddess,skunk 1,n,n,n,n,n,n
1394,green haze,haze,n,n,n,n,n,n
1395,green hornet,n,n,n,n,n,n,n
1396,green kush,green crack,purple kush,n,n,n,n,n
1397,green lantern,white rhino,green crack,n,n,n,n,n
1398,green line og,lime skunk,ghost og,n,n,n,n,n
1399,green love potion,black domina,lavender,n,n,n,n,n
1400,green magic,white choco,n,n,n,n,n,n
1401,green mango,somango,master skunk,n,n,n,n,n
1402,green monster,n,n,n,n,n,n,n
1403,green poison,n,n,n,n,n,n,n
1404,green python,green crack,burmese kush,n,n,n,n,n
1405,green queen,green crack,space queen,n,n,n,n,n
1406,green ribbon,green crack,n,n,n,n,n,n
1407,gremlin,king louis xiii,white fire alien og,girl scout cookies,n,n,n,n
1408,green magic,white choco,n,n,n,n,n,n
1409,green mango,somango,master skunk,n,n,n,n,n
1410,green monster,n,n,n,n,n,n,n
1411,green poison,n,n,n,n,n,n,n
1412,green python,green crack,burmese kush,n,n,n,n,n
1413,green queen,green crack,space queen,n,n,n,n,n
1414,green ribbon,green crack,n,n,n,n,n,n
1415,gremlin,king louis xiii,white fire alien og,girl scout cookies,n,n,n,n
1416,grilled cheese,cheese quake,n,n,n,n,n,n
1417,grimace,n,n,n,n,n,n,n
1418,grimace og,purple urkle,face off og,n,n,n,n,n
1419,grimmdica,hash plant,afghani,n,n,n,n,n
1420,guard dawg,abusive og,n,n,n,n,n,n
1421,guava cake,wedding cake,n,n,n,n,n,n
1422,guava chem,stardawg,tres dawg,n,n,n,n,n
1423,guava dub star,n,n,n,n,n,n,n
1424,guava gelato,gelato,n,n,n,n,n,n
1425,guava kush,n,n,n,n,n,n,n
1426,gucci og,og kush,n,n,n,n,n,n
1427,guido kush,n,n,n,n,n,n,n
1428,gumbo,n,n,n,n,n,n,n
1429,gummo,bubble gum,orange bud,n,n,n,n,n
1430,gummy bears,true og,strawberry banana,blackberry,n,n,n,n
1431,gupta haze,tangerine haze,gupta kush,n,n,n,n,n
1432,gupta kush,ghost og,blue moonshine,n,n,n,n,n
1433,guptilla,gorilla glue 4,gupta kush,n,n,n,n,n
1434,gutbuster,kimbo kush,cookies and cream,n,n,n,n,n
1435,gypsy kush,black domina,afghani,ginger ale,n,n,n,n
1436,hades haze,n,n,n,n,n,n,n
1437,hades og,fire og,n,n,n,n,n,n
1438,haleigh’s hope,n,n,n,n,n,n,n
1439,hammerhead,medicine man,white rhino,n,n,n,n,n
1440,hammershark,dieseltonic,shark shock,n,n,n,n,n
1441,hannibal nectar,n,n,n,n,n,n,n
1442,haole,la confidential,maui wowie,n,n,n,n,n
1443,haoma,mendocino purps,afghani,n,n,n,n,n
1444,haoma mist,haoma,cannatonic,n,n,n,n,n
1445,happy rancher,n,n,n,n,n,n,n
1446,hardcore og,big bud,dj short blueberry,n,n,n,n,n
1447,harle-tsu,harlequin,sour tsunami,n,n,n,n,n
1448,harlequin,colombian gold,thai,swiss sativa,n,n,n,n
1449,harlequin gdp,harlequin,granddaddy purple,n,n,n,n,n
1450,harley storm,harle-tsu,thunderstruck,n,n,n,n,n
1451,harley twin,harlequin,harle-tsu,n,n,n,n,n
1452,harmonia,pure kush,la confidential,sweet tooth,juicy fruit,n,n,n
1453,harmony,colombian gold,lemon og kush,lemon thai,n,n,n,n
1454,harry potter,blissful wizard,fire alien kush,n,n,n,n,n
1455,hash plant,northern lights,afghani,n,n,n,n,n
1456,hashbar og,hash plant,face off og,n,n,n,n,n
1457,hashberry,north indian,n,n,n,n,n,n
1458,hashplant haze,hash plant,cannalope haze,n,n,n,n,n
1459,havarra wedding,n,n,n,n,n,n,n
1460,hawaiian,n,n,n,n,n,n,n
1461,hawaiian cookies,hawaiian snow,girl scout cookies,n,n,n,n,n
1462,hawaiian delight,n,n,n,n,n,n,n
1463,hawaiian diesel,hawaiian,sour diesel,n,n,n,n,n
1464,hashbar og,hash plant,face off og,n,n,n,n,n
1465,hashberry,north indian,n,n,n,n,n,n
1466,hashplant haze,hash plant,cannalope haze,n,n,n,n,n
1467,havarra wedding,n,n,n,n,n,n,n
1468,hawaiian,n,n,n,n,n,n,n
1469,hawaiian cookies,hawaiian snow,girl scout cookies,n,n,n,n,n
1470,hawaiian delight,n,n,n,n,n,n,n
1471,hawaiian diesel,hawaiian,sour diesel,n,n,n,n,n
1472,hawaiian dream,blue dream,hawaiian,n,n,n,n,n
1473,hawaiian duckfoot,n,n,n,n,n,n,n
1474,hawaiian fire,hawaiian,n,n,n,n,n,n
1475,hawaiian haze,hawaiian,haze,n,n,n,n,n
1476,hawaiian mayan gold,kona gold,n,n,n,n,n,n
1477,hawaiian punch,hawaiian,n,n,n,n,n,n
1478,hawaiian purple kush,hawaiian,purple kush,n,n,n,n,n
1479,hawaiian sativa,hawaiian,n,n,n,n,n,n
1480,hawaiian skunk,skunk no 1,n,n,n,n,n,n
1481,hawaiian snow,haze,nevilles haze,hawaiian haze,n,n,n,n
1482,hawaiian sunrise,n,n,n,n,n,n,n
1483,hawaiian thunder fuck,n,n,n,n,n,n,n
1484,hawaiian trinity,kona gold,trinity,n,n,n,n,n
1485,hawai’i ‘78,n,n,n,n,n,n,n
1486,hayleys haze,outer space,alien dutchess,n,n,n,n,n
1487,haze,south american,thai,mexican,south indian,n,n,n
1488,haze berry,super silver haze,blueberry,n,n,n,n,n
1489,haze heaven,northern lights 5,haze,afghan hawaiian,n,n,n,n
1490,haze mist,south indian,skunk no 1,haze,n,n,n,n
1491,haze wreck,haze,trainwreck,n,n,n,n,n
1492,hazmat og,chemdog 91,n,n,n,n,n,n
1493,head cheese,707 headband,uk cheese,n,n,n,n,n
1494,head trip,snow lotus,n,n,n,n,n,n
1495,headband,og kush,sour diesel,n,n,n,n,n
1496,headband cookies bx1,i-95,mandarin cookies,n,n,n,n,n
1497,headbanger,n,n,n,n,n,n,n
1498,heatwave,n,n,n,n,n,n,n
1499,heaven scent,gods gift,green crack,n,n,n,n,n
1500,heavenly og,n,n,n,n,n,n,n
1501,heavy duty fruity,big bud,n,n,n,n,n,n
1502,heisenberg kush,blue dream,n,n,n,n,n,n
1503,hell raiser og,fire og,face off og,n,n,n,n,n
1504,hells og,n,n,n,n,n,n,n
1505,hellfire og,og kush,sfv og kush,n,n,n,n,n
1506,hemlock,durban poison,la confidential,n,n,n,n,n
1507,hempstar,northern lights 5,haze,n,n,n,n,n
1508,hercules,n,n,n,n,n,n,n
1509,herijuana,petrolia headstash,n,n,n,n,n,n
1510,hibiscus sunrise,n,n,n,n,n,n,n
1511,high five,tahoe og kush,do-si-dos,n,n,n,n,n
1512,high noon irish cream,cookies and cream,the real mccoy,n,n,n,n,n
1513,high school sweetheart,n,n,n,n,n,n,n
1514,higher power,n,n,n,n,n,n,n
1515,highwayman,willys wonder,n,n,n,n,n,n
1516,himalayan blackberry,nepalese,north indian,n,n,n,n,n
1517,himalayan gold,nepalese,north indian,n,n,n,n,n
1518,hindu kush,n,n,n,n,n,n,n
1519,hindu skunk,hindu kush,skunk no 1,n,n,n,n,n
1520,high noon irish cream,cookies and cream,the real mccoy,n,n,n,n,n
1521,high school sweetheart,n,n,n,n,n,n,n
1522,higher power,n,n,n,n,n,n,n
1523,highwayman,willys wonder,n,n,n,n,n,n
1524,himalayan blackberry,nepalese,north indian,n,n,n,n,n
1525,himalayan gold,nepalese,north indian,n,n,n,n,n
1526,hindu kush,n,n,n,n,n,n,n
1527,hindu skunk,hindu kush,skunk no 1,n,n,n,n,n
1528,hindu sour,hindu kush,sour diesel,n,n,n,n,n
1529,hippie chicken,n,n,n,n,n,n,n
1530,hippie crippler,ak-47,blue satellite,n,n,n,n,n
1531,hoarfrost,n,n,n,n,n,n,n
1532,hobbit,ginger ale,n,n,n,n,n,n
1533,hogs breath,n,n,n,n,n,n,n
1534,hollands hope,n,n,n,n,n,n,n
1535,hollyweed,n,n,n,n,n,n,n
1536,hollywood og,n,n,n,n,n,n,n
1537,holy ghost,satori,amnesia haze,pitbull,durban poison,n,n,n
1538,holy grail kush,og 18,kosher kush,n,n,n,n,n
1539,holy punch,n,n,n,n,n,n,n
1540,holy roller,do-si-dos,n,n,n,n,n,n
1541,honduras,n,n,n,n,n,n,n
1542,honey bananas,strawberry banana,n,n,n,n,n,n
1543,honey boo boo,bubba kush,n,n,n,n,n,n
1544,honey lemon cheese,uk cheese,recon,lemon g,n,n,n,n
1545,honey rock,n,n,n,n,n,n,n
1546,hong kong,sour diesel,sensi star,n,n,n,n,n
1547,hoodwreck,trainwreck,purple diesel,n,n,n,n,n
1548,horace,banana og,n,n,n,n,n,n
1549,huckleberries,zkittlez,n,n,n,n,n,n
1550,huckleberry,n,n,n,n,n,n,n
1551,huckleberry cough,n,n,n,n,n,n,n
1552,huckleberry desstar,n,n,n,n,n,n,n
1553,huckleberry diesel,sour diesel,n,n,n,n,n,n
1554,huckleberry hound,chemdawg,blueberry,n,n,n,n,n
1555,huckleberry soda,black cherry soda,huckleberry hound,n,n,n,n,n
1556,hulkamania,monster cookies,bruce banner,n,n,n,n,n
1557,humboldt,afghani,n,n,n,n,n,n
1558,humboldt dream,n,n,n,n,n,n,n
1559,humboldt hawaiian,purple champagne,platinum gsc,n,n,n,n,n
1560,humboldt headband,n,n,n,n,n,n,n
1561,humboldt sour diesel,humboldt headband,n,n,n,n,n,n
1562,humdinger og,sour bubble,n,n,n,n,n,n
1563,hurkle,harlequin,querkle,n,n,n,n,n
1564,hurricane,la confidential,n,n,n,n,n,n
1565,hustler kush,n,n,n,n,n,n,n
1566,i-95,triangle kush,legend og,stardawg,n,n,n,n
1567,iced grapefruit,ice,grapefruit,n,n,n,n,n
1568,ifc og,og kush,n,n,n,n,n,n
1569,ig kush,deadhead og,og kush,n,n,n,n,n
1570,ice,afghani,shiva skunk,northern lights,skunk no 1,n,n,n
1571,ice cream,n,n,n,n,n,n,n
1572,ice cream cake,wedding cake,gelato 33,n,n,n,n,n
1573,ice princess,cinderella 99,white widow,n,n,n,n,n
1574,ice queen,white widow,cinderella 99,n,n,n,n,n
1575,ice wreck,ice,trainwreck,n,n,n,n,n
1576,ifc og,og kush,n,n,n,n,n,n
1577,ig kush,deadhead og,og kush,n,n,n,n,n
1578,ice,afghani,shiva skunk,northern lights,skunk no 1,n,n,n
1579,ice cream,n,n,n,n,n,n,n
1580,ice cream cake,wedding cake,gelato 33,n,n,n,n,n
1581,ice princess,cinderella 99,white widow,n,n,n,n,n
1582,ice queen,white widow,cinderella 99,n,n,n,n,n
1583,ice wreck,ice,trainwreck,n,n,n,n,n
1584,iced widow,white widow,ice,n,n,n,n,n
1585,ill og,true og,n,n,n,n,n,n
1586,illuminati og,n,n,n,n,n,n,n
1587,in the pines,pineapple thai,master kush,pineapple,n,n,n,n
1588,incredible bulk,big bud,super skunk,n,n,n,n,n
1589,incredible hulk,green crack,jack herer,n,n,n,n,n
1590,industrial plant,afghani,thai,n,n,n,n,n
1591,ingrid,uk cheese,hash plant,n,n,n,n,n
1592,intergalactic,gorilla glue 4,n,n,n,n,n,n
1593,inzane in the membrane,n,n,n,n,n,n,n
1594,irene og,og kush,n,n,n,n,n,n
1595,irish cream,n,n,n,n,n,n,n
1596,iron triangle,n,n,n,n,n,n,n
1597,island haze,atomical haze,blueberry,cannalope kush,n,n,n,n
1598,island maui haze,n,n,n,n,n,n,n
1599,island poison,n,n,n,n,n,n,n
1600,island sweet skunk,skunk no 1,n,n,n,n,n,n
1601,ivan,cotton purple chem,granddaddy purple,original glue,chemdog,n,n,n
1602,js famous kush,n,n,n,n,n,n,n
1603,j-27,n,n,n,n,n,n,n
1604,j1,jack herer,skunk no 1,n,n,n,n,n
1605,jgr,la confidential,blue dream,n,n,n,n,n
1606,jt15,n,n,n,n,n,n,n
1607,jabbas stash,bubba kush,snow lotus,n,n,n,n,n
1608,jack 47,jack herer,ak-47,n,n,n,n,n
1609,jack burton,fortune cookies,n,n,n,n,n,n
1610,jack diesel,jack herer,nyc diesel,n,n,n,n,n
1611,jack flash,jack herer,haze,super skunk,n,n,n,n
1612,jack frost,jack herer,white widow,northern lights 5,n,n,n,n
1613,jack haze,jack herer,super silver haze,n,n,n,n,n
1614,jack herer,haze,shiva skunk,northern lights 5,n,n,n,n
1615,jack kush,n,n,n,n,n,n,n
1616,jack skellington,killer queen,jack the ripper,n,n,n,n,n
1617,jack smack,jack herer,herijuana,n,n,n,n,n
1618,jack widow,white widow,jack herer,n,n,n,n,n
1619,jack wreck,jack herer,trainwreck,n,n,n,n,n
1620,jack of spades,ace of spades,jack the ripper,n,n,n,n,n
1621,jack the ripper,jacks cleaner,space queen,n,n,n,n,n
1622,jacks cleaner,jack herer,n,n,n,n,n,n
1623,jacks dream,jack herer,blue dream,n,n,n,n,n
1624,jackalope,chocolope,black jack,n,n,n,n,n
1625,jacked-up,jack herer,timewreck,n,n,n,n,n
1626,jacky girl,jack herer,girl scout cookies,n,n,n,n,n
1627,jacky white,jack herer,white widow,n,n,n,n,n
1628,jack’s dragon girl 7,jack’s girl,n,n,n,n,n,n
1629,jack’s girl,g13,afpak,white widow,n,n,n,n
1630,jah goo,goo,n,n,n,n,n,n
1631,jah kush,n,n,n,n,n,n,n
1632,jackalope,chocolope,black jack,n,n,n,n,n
1633,jacked-up,jack herer,timewreck,n,n,n,n,n
1634,jacky girl,jack herer,girl scout cookies,n,n,n,n,n
1635,jacky white,jack herer,white widow,n,n,n,n,n
1636,jack’s dragon girl 7,jack’s girl,n,n,n,n,n,n
1637,jack’s girl,g13,afpak,white widow,n,n,n,n
1638,jah goo,goo,n,n,n,n,n,n
1639,jah kush,n,n,n,n,n,n,n
1640,jahwaiian,hawai’i ‘78,lambs bread,n,n,n,n,n
1641,jamaican,n,n,n,n,n,n,n
1642,jamaican dream,jamaican,n,n,n,n,n,n
1643,jamaican lion,jamaican,n,n,n,n,n,n
1644,jamaican pearl,marleys collie,early pearl,n,n,n,n,n
1645,jamba juice,n,n,n,n,n,n,n
1646,jane doe,n,n,n,n,n,n,n
1647,jasmine,n,n,n,n,n,n,n
1648,jawa pie,key lime pie,alien rift,n,n,n,n,n
1649,jazz,n,n,n,n,n,n,n
1650,jean guy,white widow,n,n,n,n,n,n
1651,jedi kush,death star,sfv og kush,n,n,n,n,n
1652,jelly roll,god bud,grapefruit,n,n,n,n,n
1653,jenni,n,n,n,n,n,n,n
1654,jenny kush,amnesia haze,n,n,n,n,n,n
1655,jericho haze,n,n,n,n,n,n,n
1656,jerusalem express,n,n,n,n,n,n,n
1657,jesses girl,black cherry og,purple og kush,n,n,n,n,n
1658,jesus,white widow,blue dynamite,n,n,n,n,n
1659,jesus og,hells og,jack the ripper,n,n,n,n,n
1660,jet fuel,n,n,n,n,n,n,n
1661,jilly dawg,jillybean,chemdawg 91,n,n,n,n,n
1662,jillybean,orange velvet,space queen,n,n,n,n,n
1663,jim og,12 year og,phishhead kush,n,n,n,n,n
1664,jimi hendrix,jack herer,headband,black cherry soda,n,n,n,n
1665,jock horror,northern lights,haze,skunk no 1,n,n,n,n
1666,joes dank,amnesia haze,bubble gum,n,n,n,n,n
1667,joe’s lemonade,n,n,n,n,n,n,n
1668,johnny’s tonic,cannatonic,n,n,n,n,n,n
1669,jorge’s diamond,afghani,n,n,n,n,n,n
1670,josh d og,sfv og,triangle kush,hells angel og,n,n,n,n
1671,juicy fruit,afghani,thai,n,n,n,n,n
1672,juicy jack,juicy fruit,jack herer,n,n,n,n,n
1673,juliet,cinderella 99,nyc diesel,n,n,n,n,n
1674,julius caesar,master kush,sfv og kush,n,n,n,n,n
1675,jungle juice,animal cookies,tangie,n,n,n,n,n
1676,jungle scout cookies,gsc,n,n,n,n,n,n
1677,jungle spice,n,n,n,n,n,n,n
1678,jupiter og,og kush,n,n,n,n,n,n
1679,k-train,trainwreck,og kush,n,n,n,n,n
1680,k1,n,n,n,n,n,n,n
1681,k2,hindu kush,white widow,n,n,n,n,n
1682,kc 33,afghani,haze,eastern european,n,n,n,n
1683,kc 36,white widow,n,n,n,n,n,n
1684,kt dawg,stardawg,n,n,n,n,n,n
1685,kaboom,jacks cleaner,vortex,n,n,n,n,n
1686,kahavvai mode,northern lights,skunk no 1,n,n,n,n,n
1687,kahuna,super skunk,jack herer,afghan hawaiian,n,n,n,n
1688,k1,n,n,n,n,n,n,n
1689,k2,hindu kush,white widow,n,n,n,n,n
1690,kc 33,afghani,haze,eastern european,n,n,n,n
1691,kc 36,white widow,n,n,n,n,n,n
1692,kt dawg,stardawg,n,n,n,n,n,n
1693,kaboom,jacks cleaner,vortex,n,n,n,n,n
1694,kahavvai mode,northern lights,skunk no 1,n,n,n,n,n
1695,kahuna,super skunk,jack herer,afghan hawaiian,n,n,n,n
1696,kaia kush,super silver haze,og kush,n,n,n,n,n
1697,kailua pua,hawaiian mayan gold,n,n,n,n,n,n
1698,kalalau kush,n,n,n,n,n,n,n
1699,kalashnikova,ak-47,white widow,n,n,n,n,n
1700,kaleidos dope,sour lsd,nevilles haze,fire og,purple thai,n,n,n
1701,kali 47,kali mist,ak-47,n,n,n,n,n
1702,kali china,kali mist,china yunnan,n,n,n,n,n
1703,kali dog,og kush,sour diesel,n,n,n,n,n
1704,kali mist,n,n,n,n,n,n,n
1705,kandahar,afghani,afghan skunk,n,n,n,n,n
1706,kandy kush,og kush,trainwreck,n,n,n,n,n
1707,kaptn’s grand dream,n,n,n,n,n,n,n
1708,karibbean mango,afghani,mango,n,n,n,n,n
1709,karma bitch,skywalker og,nevils wreck,n,n,n,n,n
1710,karma og,sfv og,n,n,n,n,n,n
1711,karmarado og,triangle kush,sfv og kush,white og,n,n,n,n
1712,kashmir kush,n,n,n,n,n,n,n
1713,katsu bubba kush,bubba kush,n,n,n,n,n,n
1714,katsu kush,hindu kush,n,n,n,n,n,n
1715,kaua’i electric,n,n,n,n,n,n,n
1716,kelly hill gold,acapulco gold,chemdawg 4,n,n,n,n,n
1717,kens kush,granddaddy purple,og kush,sour diesel,n,n,n,n
1718,kerala,n,n,n,n,n,n,n
1719,kerala krush,south indian sativa,skunk no 1,n,n,n,n,n
1720,kerosene,sour diesel,the white,n,n,n,n,n
1721,ketama,n,n,n,n,n,n,n
1722,key lime pie,durban poison,og kush,cherry pie,n,n,n,n
1723,keystone kush,katsu bubba kush,pre-98 bubba kush,n,n,n,n,n
1724,khalifa kush,n,n,n,n,n,n,n
1725,khola,thai,central american,n,n,n,n,n
1726,khufu,cheese,afghani,sfv og,n,n,n,n
1727,kid n kookies,girl scout cookies,n,n,n,n,n,n
1728,kilimanjaro,african,n,n,n,n,n,n
1729,kill bill,killer queen,willys wonder,n,n,n,n,n
1730,killer grape,killer queen,querkle,n,n,n,n,n
1731,killer queen,g13,cinderella 99,n,n,n,n,n
1732,killing fields,the one,jack herer,n,n,n,n,n
1733,kimbo kush,blackberry kush,starfighter,n,n,n,n,n
1734,king cake,granddaddy purple,n,n,n,n,n,n
1735,king kong,ed rosenthal super bud,chronic,n,n,n,n,n
1736,king louis xiii,og kush,n,n,n,n,n,n
1737,king thunder fuck,n,n,n,n,n,n,n
1738,kings bread,jamaican,n,n,n,n,n,n
1739,kings kush,og kush,n,n,n,n,n,n
1740,kings banner,n,n,n,n,n,n,n
1741,kiss,cheese,afghani,n,n,n,n,n
1742,kiwiskunk,nyc diesel,skunk no 1,n,n,n,n,n
1743,kobain kush,pre-98 bubba kush,white lotus,n,n,n,n,n
1744,king louis xiii,og kush,n,n,n,n,n,n
1745,king thunder fuck,n,n,n,n,n,n,n
1746,kings bread,jamaican,n,n,n,n,n,n
1747,kings kush,og kush,n,n,n,n,n,n
1748,kings banner,n,n,n,n,n,n,n
1749,kiss,cheese,afghani,n,n,n,n,n
1750,kiwiskunk,nyc diesel,skunk no 1,n,n,n,n,n
1751,kobain kush,pre-98 bubba kush,white lotus,n,n,n,n,n
1752,koloa sunrise,n,n,n,n,n,n,n
1753,koloa sunrise,n,n,n,n,n,n,n
1754,kona gold,hawaiian,n,n,n,n,n,n
1755,kong,motavation,white russian,n,n,n,n,n
1756,kool-aid smile,n,n,n,n,n,n,n
1757,koolato,face on fire,gsc,gelato 33,n,n,n,n
1758,kosher kush,n,n,n,n,n,n,n
1759,kosher tangie,kosher kush,tangie,n,n,n,n,n
1760,krakatoa,mau-mau,n,n,n,n,n,n
1761,kraken,n,n,n,n,n,n,n
1762,kreamy karamel,afghani,black domina,maple leaf indica,n,n,n,n
1763,krishna kush,lavender,big skunk korean,afghani,super skunk,n,n,n
1764,kritikal-k,northern lights,n,n,n,n,n,n
1765,kryptonite,mendocino purps,killer queen,n,n,n,n,n
1766,kuato,blucifer,n,n,n,n,n,n
1767,kubbie kush,pre-98 bubba kush,n,n,n,n,n,n
1768,kuchi,sfv og kush,exodus cheese,n,n,n,n,n
1769,kurple fantasy,og kush,n,n,n,n,n,n
1770,kush ben yamini,black label kush,n,n,n,n,n,n
1771,kush cleaner,jacks cleaner,og kush,n,n,n,n,n
1772,kush hemp,pre-98 bubba kush,n,n,n,n,n,n
1773,kush rise,rug burn og,n,n,n,n,n,n
1774,kush-n-cheese,emerald og,uk cheese,n,n,n,n,n
1775,kushadelic,og kush,g13 haze,n,n,n,n,n
1776,kushage,og kush,sage,n,n,n,n,n
1777,kushashima,n,n,n,n,n,n,n
1778,kushberry,og kush,blueberry,n,n,n,n,n
1779,leagle eagle,n,n,n,n,n,n,n
1780,la sunshine,starfighter,strawberry diesel,n,n,n,n,n
1781,lak federal reserve,sfv og,n,n,n,n,n,n
1782,la cake,la kush,gg4,n,n,n,n,n
1783,la chocolat,la confidential,chocolope,n,n,n,n,n
1784,la confidential,og la affie,afghani,n,n,n,n,n
1785,la jack,n,n,n,n,n,n,n
1786,la kookies,girl scout cookies,n,n,n,n,n,n
1787,la kush,abusive og,n,n,n,n,n,n
1788,la og,n,n,n,n,n,n,n
1789,la ultra,la confidential,mk ultra,n,n,n,n,n
1790,la woman,martian mean green,la confidential,n,n,n,n,n
1791,lapd,la confidential,purple diesel,n,n,n,n,n
1792,lsd,mazar i sharif,skunk no 1,n,n,n,n,n
1793,lvpk,purple afghani,hindu kush,n,n,n,n,n
1794,la blanca,black domina,snow white,great white shark,n,n,n,n
1795,la blanca gold,super skunk,skunk no 1,n,n,n,n,n
1796,la niña,haze,white widow,n,n,n,n,n
1797,la reina de africa,afghani,thai,ak-47,n,n,n,n
1798,lady liberty,n,n,n,n,n,n,n
1799,ladyburn 1974,jack herer,n,n,n,n,n,n
1800,lsd,mazar i sharif,skunk no 1,n,n,n,n,n
1801,lvpk,purple afghani,hindu kush,n,n,n,n,n
1802,la blanca,black domina,snow white,great white shark,n,n,n,n
1803,la blanca gold,super skunk,skunk no 1,n,n,n,n,n
1804,la niña,haze,white widow,n,n,n,n,n
1805,la reina de africa,afghani,thai,ak-47,n,n,n,n
1806,lady liberty,n,n,n,n,n,n,n
1807,ladyburn 1974,jack herer,n,n,n,n,n,n
1808,lake of fire,gorilla glue 4,kobain kush,n,n,n,n,n
1809,lambs bread,jamaican,n,n,n,n,n,n
1810,lambo og,n,n,n,n,n,n,n
1811,lamborghini,lambs bread,holy grail kush,n,n,n,n,n
1812,lambs in space,space candy,n,n,n,n,n,n
1813,landos stash,snow lotus,n,n,n,n,n,n
1814,larry bird kush,sunset sherbet,thin mint girl scout cookies,n,n,n,n,n
1815,larry og,og kush,sfv og,n,n,n,n,n
1816,las vegas purple kush bx,sin city kush,n,n,n,n,n,n
1817,lashkar gah,afghani,n,n,n,n,n,n
1818,laughing buddha,thai,jamaican,n,n,n,n,n
1819,laughing gas,sour diesel,cherry pie,n,n,n,n,n
1820,lavender,super skunk,afghani,hawaiian,south asian indica,n,n,n
1821,lavender haze,lavender,g13 haze,n,n,n,n,n
1822,lavender jones,purple urkle,casey jones,n,n,n,n,n
1823,lazy lightning,n,n,n,n,n,n,n
1824,lazy train,qrazy train,lavender,n,n,n,n,n
1825,le silver royale,n,n,n,n,n,n,n
1826,leda uno,kc 33,south american,n,n,n,n,n
1827,lee roy,triangle kush,n,n,n,n,n,n
1828,legalized og,og kush,n,n,n,n,n,n
1829,legend og,og kush,n,n,n,n,n,n
1830,legend of nigeria,legend og,n,n,n,n,n,n
1831,legendary lemon,lemon skunk,lemon kush,n,n,n,n,n
1832,lem chem,chemdawg,larry og,n,n,n,n,n
1833,lemon alien dawg,alien dawg,lemon kush,n,n,n,n,n
1834,lemon banana sherbet,lemon skunk,sour banana sherbet,n,n,n,n,n
1835,lemon bananas,n,n,n,n,n,n,n
1836,lemon bubble,super lemon haze,silver bubble,n,n,n,n,n
1837,lemon cake,lemon skunk,cheese,n,n,n,n,n
1838,lemon cookies,lemon haze,gsc,n,n,n,n,n
1839,lemon créme,lemon jack,sour cream,n,n,n,n,n
1840,lemon daddy,super lemon haze,granddaddy purple,n,n,n,n,n
1841,lemon diesel,california sour,lost coast og,n,n,n,n,n
1842,lemon drop,n,n,n,n,n,n,n
1843,lemon fire,n,n,n,n,n,n,n
1844,lemon g,g13,n,n,n,n,n,n
1845,lemon garlic og,true og,n,n,n,n,n,n
1846,lemon haze,lemon skunk,silver haze,n,n,n,n,n
1847,lemon ice,lemon haze,afghani,n,n,n,n,n
1848,lemon jack,jack herer,lemon kush,n,n,n,n,n
1849,lemon jeffery,golden goat,lemon skunk,n,n,n,n,n
1850,lemon kush,afghani,south american,lemon g,master kush,n,n,n
1851,lemon kush headband,super bud,headband,n,n,n,n,n
1852,lemon larry lavender,larry og,lavender,n,n,n,n,n
1853,lemon marmalade,deadhead og,n,n,n,n,n,n
1854,lemon meringue,lemon skunk,cookies and cream,n,n,n,n,n
1855,lemon og haze,lemon og kush,haze,n,n,n,n,n
1856,lemon jack,jack herer,lemon kush,n,n,n,n,n
