,strain,parent_1,parent_2,parent_3,parent_4,parent_5,parent_6,parent_7
981,doc holliday,n,n,n,n,n,n,n
982,doctor doctor,malawi,n,n,n,n,n,n
983,doctor jamaica,california orange,n,n,n,n,n,n
984,dog face,chemdog,og kush,dogwalker og,face off og,n,n,n
985,dog shit,afghani,colombian gold,cambodian,n,n,n,n
986,dogwalker og,albert walker,chemdawg 91,n,n,n,n,n
987,dolla sign og kush,irene og,larry og,n,n,n,n,n
988,domino,n,n,n,n,n,n,n
989,don carlos,blackberry kush,humboldt sour diesel,n,n,n,n,n
990,don shula,the white,true og,east coast sour diesel,n,n,n,n
991,dons ghost,n,n,n,n,n,n,n
992,donegal,chemdawg,n,n,n,n,n,n
993,donkey butter,grease monkey,n,n,n,n,n,n
994,donna og,larry og,n,n,n,n,n,n
995,doobiebird daydream,blue dream,n,n,n,n,n,n
996,doox,purple cow,chemdawg,n,n,n,n,n
997,doox,purple cow,chemdawg,n,n,n,n,n
998,dopium,n,n,n,n,n,n,n
999,dorit,n,n,n,n,n,n,n
1000,dosi-woah! r1,do-si-dos,n,n,n,n,n,n
1001,double barrel og,white fire og,og kush,n,n,n,n,n
1002,double diesel,nyc diesel,sour diesel,n,n,n,n,n
1003,double dream,blue dream,dream star,n,n,n,n,n
1004,double dutch,warlock,chronic,n,n,n,n,n
1005,double lemon pie,n,n,n,n,n,n,n
1006,double mint,sinmint cookies,n,n,n,n,n,n
1007,double og,sfv og,big bud,afgoo,n,n,n,n
1008,double purple doja,n,n,n,n,n,n,n
1009,double tangie banana,tangie,n,n,n,n,n,n
1010,double tap,monster cookies,yeti og,bloos kloos,n,n,n,n
1011,dougs varin,n,n,n,n,n,n,n
1012,dr bubbles,bubble gum,gupta kush,n,n,n,n,n
1013,dr clemenstein,n,n,n,n,n,n,n
1014,dr feelgood,harlequin,n,n,n,n,n,n
1015,dr funk,blueberry,bubba kush,n,n,n,n,n
1016,double purple doja,n,n,n,n,n,n,n
1017,double tangie banana,tangie,n,n,n,n,n,n
1018,double tap,monster cookies,yeti og,bloos kloos,n,n,n,n
1019,dougs varin,n,n,n,n,n,n,n
1020,dr bubbles,bubble gum,gupta kush,n,n,n,n,n
1021,dr clemenstein,n,n,n,n,n,n,n
1022,dr feelgood,harlequin,n,n,n,n,n,n
1023,dr funk,blueberry,bubba kush,n,n,n,n,n
1024,dr greenthumb’s em-dog,og kush,chemdog 4,n,n,n,n,n
1025,dr grinspoon,n,n,n,n,n,n,n
1026,dr quantum,dr who,quantum kush,n,n,n,n,n
1027,dr who,mad scientist,timewreck,n,n,n,n,n
1028,dragon fruit,snow lotus,n,n,n,n,n,n
1029,dragon og,red dragon,og kush,n,n,n,n,n
1030,n,n,n,n,n,n,n,n
1031,dragon punch,blueberry muffin,n,n,n,n,n,n
1032,dragons breath,northern lights,jack herer,n,n,n,n,n
1033,dreadlock,n,n,n,n,n,n,n
1034,dream beaver,afgooey,blockhead,appalachia,n,n,n,n
1035,dream berry,blue dream,blackberry,n,n,n,n,n
1036,dream girl,blue dream,gsc,n,n,n,n,n
1037,dream lotus,blue dream,snow lotus,n,n,n,n,n
1038,dream machine,afghani,n,n,n,n,n,n
1039,dream police,ak-47,bubbleberry,afghani,n,n,n,n
1040,dream queen,blue dream,space queen,n,n,n,n,n
1041,dream star,blue dream,stardawg,n,n,n,n,n
1042,dreamcatcher,blueberry,black domina,n,n,n,n,n
1043,dreamer’s glass,n,n,n,n,n,n,n
1044,drizella,cinderella 99,space queen,white widow,n,n,n,n
1045,duct tape,original glue,do-si-dos,n,n,n,n,n
1046,duke nukem,chernobyl,n,n,n,n,n,n
1047,durban berry,durban poison,rocky mountain blueberry,n,n,n,n,n
1048,durban cheese,durban poison,cheese,n,n,n,n,n
1049,durban cookies,durban poison,og kush,n,n,n,n,n
1050,durban poison,african,n,n,n,n,n,n
1051,durban princess,durban poison,jack herer,n,n,n,n,n
1052,durga mata,south asian indica,n,n,n,n,n,n
1053,dutch 47,dutch treat,ak-47,n,n,n,n,n
1054,dutch crunch,jack herer,dutch treat,n,n,n,n,n
1055,dutch dragon,african,n,n,n,n,n,n
1056,dutch dynasty,blue dream,n,n,n,n,n,n
1057,dutch hawaiian,dutch treat,hawaiian sativa,n,n,n,n,n
1058,dutch hawaiian,dutch treat,hawaiian,n,n,n,n,n
1059,dutch haze,haze,n,n,n,n,n,n
1060,dutch kush,n,n,n,n,n,n,n
1061,dutch queen,dutch treat,space queen,n,n,n,n,n
1062,dutch thunder fuck,dutch treat,matanuska thunder fuck,n,n,n,n,n
1063,dutch treat,n,n,n,n,n,n,n
1064,dutch treat haze,dutch treat,super silver haze,n,n,n,n,n
1065,dutchberry,dutch treat,dj short blueberry,n,n,n,n,n
1066,dynamite,n,n,n,n,n,n,n
1067,eagle bill,haze,south american,thai,jamaican,n,n,n
1068,early girl,afghani,mexican,south asian,n,n,n,n
1069,early glue rbx1,original glue,n,n,n,n,n,n
1070,early miss,big bud,white widow,n,n,n,n,n
1071,early pearl,n,n,n,n,n,n,n
1072,dutch treat haze,dutch treat,super silver haze,n,n,n,n,n
1073,dutchberry,dutch treat,dj short blueberry,n,n,n,n,n
1074,dynamite,n,n,n,n,n,n,n
1075,eagle bill,haze,south american,thai,jamaican,n,n,n
1076,early girl,afghani,mexican,south asian,n,n,n,n
1077,early glue rbx1,original glue,n,n,n,n,n,n
1078,early miss,big bud,white widow,n,n,n,n,n
1079,early pearl,n,n,n,n,n,n,n
1080,early skunk,skunk no 1,early pearl,n,n,n,n,n
1081,earth og,sour diesel,ghost og,n,n,n,n,n
1082,earthquake,n,n,n,n,n,n,n
1083,earthshaker og,og kush,n,n,n,n,n,n
1084,east coast alien,east coast sour diesel,alien og,n,n,n,n,n
1085,east coast sour diesel,sour diesel,n,n,n,n,n,n
1086,eastern european,n,n,n,n,n,n,n
1087,easy bud,n,n,n,n,n,n,n
1088,easy peezy,northern lights,haze,n,n,n,n,n
1089,ebola 7,girl scout cookies,sfv og,n,n,n,n,n
1090,ecto cooler,california orange,gorilla biscuit,n,n,n,n,n
1091,ed rosenthal super bud,afghani,south asian,thai,african,mexican,jamaican,n
1092,edelweiss,hindu kush,skunk no 1,north indian,n,n,n,n
1093,egyptian musk,blueberry diesel,bubble gum,n,n,n,n,n
1094,egyptian royalty 1,n,n,n,n,n,n,n
1095,el chapo,n,n,n,n,n,n,n
1096,el chapo og,n,n,n,n,n,n,n
1097,el jefe,abusive og,rare dankness 1,n,n,n,n,n
1098,el niño,haze,super skunk,south american,south indian,n,n,n
1099,el perro,stardawg,true og,n,n,n,n,n
1100,el-na,n,n,n,n,n,n,n
1101,elderberry kush,edelweiss,n,n,n,n,n,n
1102,electric black mamba,black domina,purple diesel,n,n,n,n,n
1103,electric kool aid,cherry pie,purple diesel,n,n,n,n,n
1104,electric lemon g,northern lights 5,g13,n,n,n,n,n
1105,electric lemonade,tahoe og kush,blue dream,n,n,n,n,n
1106,elektra,acdc,n,n,n,n,n,n
1107,elephant,n,n,n,n,n,n,n
1108,elevated og,n,n,n,n,n,n,n
1109,elmers glue,gorilla glue 4,the white,n,n,n,n,n
1110,elphinstone,appalachia,n,n,n,n,n,n
1111,elvis,ak-47,skunk 1,n,n,n,n,n
1112,emerald jack,jack herer,emerald og,n,n,n,n,n
1113,emerald og,fire og,n,n,n,n,n,n
1114,emperor cookie dough,girl scout cookies,n,n,n,n,n,n
1115,endless sky,n,n,n,n,n,n,n
1116,enemy of the state,n,n,n,n,n,n,n
1117,enigma,n,n,n,n,n,n,n
1118,eran almog,n,n,n,n,n,n,n
1119,erdpurt,n,n,n,n,n,n,n
1120,erez,n,n,n,n,n,n,n
1121,ether,alien dawg,n,n,n,n,n,n
1122,ethiopian,n,n,n,n,n,n,n
1123,ethos apex,mandarin cookies,n,n,n,n,n,n
1124,ethos hash plant bx1,n,n,n,n,n,n,n
1125,euforia,skunk no 1,n,n,n,n,n,n
1126,eugene cream,hash plant,big bud,n,n,n,n,n
1127,euphoria cookies,girl scout cookies,n,n,n,n,n,n
1128,erez,n,n,n,n,n,n,n
1129,ether,alien dawg,n,n,n,n,n,n
1130,ethiopian,n,n,n,n,n,n,n
1131,ethos apex,mandarin cookies,n,n,n,n,n,n
1132,ethos hash plant bx1,n,n,n,n,n,n,n
1133,euforia,skunk no 1,n,n,n,n,n,n
1134,eugene cream,hash plant,big bud,n,n,n,n,n
1135,euphoria cookies,girl scout cookies,n,n,n,n,n,n
1136,everlast,n,n,n,n,n,n,n
1137,exodus cheese,skunk no 1,n,n,n,n,n,n
1138,extreme cream,extreme og,cookies and cream,n,n,n,n,n
1139,extreme og,fire og,green ribbon,n,n,n,n,n
1140,f 13,n,n,n,n,n,n,n
1141,f 13 throwback,f 13,blueberry,n,n,n,n,n
1142,fn louzer,bloos kloos,white rhino,n,n,n,n,n
1143,f-cut og,n,n,n,n,n,n,n
1144,fpog,green ribbon,granddaddy purple,tahoe alien,n,n,n,n
1145,face off bx2,face off og,n,n,n,n,n,n
1146,face off og,og kush,n,n,n,n,n,n
1147,face on fire,white fire 43,face off og,n,n,n,n,n
1148,faded glory,blueberry blast,n,n,n,n,n,n
1149,fall ‘97,purple urkle,og kush,n,n,n,n,n
1150,fallen angel,n,n,n,n,n,n,n
1151,false teeth,grandpa’s breath,candyland,n,n,n,n,n
1152,fast eddy,n,n,n,n,n,n,n
1153,fat axl,n,n,n,n,n,n,n
1154,fat nelson,sour willie,gupta kush,n,n,n,n,n
1155,fat purple,purple rhino,g13,n,n,n,n,n
1156,fauxsido,do-si-dos,n,n,n,n,n,n
1157,faygo red pop,afghani,n,n,n,n,n,n
1158,fighting buddha,blueberry,n,n,n,n,n,n
1159,fire alien kush,fire og,alien kush,n,n,n,n,n
1160,fire alien master,fire alien kush,n,n,n,n,n,n
1161,fire alien romulan,romulan,fire alien kush,n,n,n,n,n
1162,fire alien strawberry,strawberry cough,fire alien kush,n,n,n,n,n
1163,fire alien urkle,purple urkle,fire alien kush,n,n,n,n,n
1164,fire haze,n,n,n,n,n,n,n
1165,fire og,sfv og kush,og kush,n,n,n,n,n
1166,firewalker og,skywalker,fire og,n,n,n,n,n
1167,first 48,the white,n,n,n,n,n,n
1168,first light,blueberry,n,n,n,n,n,n
1169,flaming cookies,girl scout cookies,fire og,n,n,n,n,n
1170,flo,purple thai,afghani,n,n,n,n,n
1171,flo limone,flo,n,n,n,n,n,n
1172,flo og,flo,rare dankness 1,n,n,n,n,n
1173,flo walker,skywalker og,flo,n,n,n,n,n
1174,florida og,n,n,n,n,n,n,n
1175,flowerbomb kush,green crack,og kush,n,n,n,n,n
1176,flowers for algernon,sour diesel,n,n,n,n,n,n
1177,focaccia,fire og,sour amnesia,sunshine daydream,n,n,n,n
1178,forbidden fruit,n,n,n,n,n,n,n
1179,forbidden zkittlez,forbidden fruit,n,n,n,n,n,n
1180,formula one,n,n,n,n,n,n,n
1181,fortune cookies,girl scout cookies,og kush,n,n,n,n,n
1182,forum cut cookies s1,gsc,n,n,n,n,n,n
1183,foul mouth,n,n,n,n,n,n,n
1184,flowers for algernon,sour diesel,n,n,n,n,n,n
1185,focaccia,fire og,sour amnesia,sunshine daydream,n,n,n,n
1186,forbidden fruit,n,n,n,n,n,n,n
1187,forbidden zkittlez,forbidden fruit,n,n,n,n,n,n
1188,formula one,n,n,n,n,n,n,n
1189,fortune cookies,girl scout cookies,og kush,n,n,n,n,n
1190,forum cut cookies s1,gsc,n,n,n,n,n,n
1191,foul mouth,n,n,n,n,n,n,n
1192,four cups,jack herer,sensi star,cherry ak-47,blueberry,n,n,n
1193,four star general,stardawg,tres dawg,n,n,n,n,n
1194,four way,skunk no 1,afghani,n,n,n,n,n
1195,franks gift,skunk haze,n,n,n,n,n,n
1196,frankenstein,n,n,n,n,n,n,n
1197,fred flipn’ stoned,straight as haze,pink champagne,n,n,n,n,n
1198,freezeland,n,n,n,n,n,n,n
1199,french bread,n,n,n,n,n,n,n
1200,frida,acdc,n,n,n,n,n,n
1201,frisian dew,purple star,super skunk,n,n,n,n,n
1202,frisian duck,frisian dew,n,n,n,n,n,n
1203,frostbite,n,n,n,n,n,n,n
1204,frosted cherry cookies,cherry cookies,the white,n,n,n,n,n
1205,frosted freak,brand x,n,n,n,n,n,n
1206,frosty,n,n,n,n,n,n,n
1207,frosty jesus,og kush,jesus og,n,n,n,n,n
1208,frozen tangerines,n,n,n,n,n,n,n
1209,fruit crusher,lemon skunk,lsd,n,n,n,n,n
1210,fruit loop og,irene og,face off og,n,n,n,n,n
1211,fruit loops,blue dream,white widow,grapefruit,blueberry,n,n,n
1212,fruit punch,skunk no 1,haze,northern lights,n,n,n,n
1213,fruit spirit,blueberry,white widow,n,n,n,n,n
1214,fruity chronic juice,white widow,chronic,n,n,n,n,n
1215,fruity juice,afghani,thai,n,n,n,n,n
1216,fruity widow,blueberry,white widow,n,n,n,n,n
1217,fruitylicious,blueberry,hashberry,n,n,n,n,n
1218,fucking incredible,n,n,n,n,n,n,n
1219,full moon,thai,n,n,n,n,n,n
1220,funfetti,cherry pie,animal cookies,n,n,n,n,n
1221,funky monkey,grape ape,mendocino purps,n,n,n,n,n
1222,future,starfighter,gorilla glue 4,n,n,n,n,n
1223,fuzzy navel,peaches and cream,purple punch,n,n,n,n,n
1224,g-cut,n,n,n,n,n,n,n
1225,g-force,g13,skunk no 1,northern lights,n,n,n,n
1226,g1000,white cookies,bloos kloos,n,n,n,n,n
1227,goat,acdc,cherry pie,animal cookies,n,n,n,n
1228,g13,n,n,n,n,n,n,n
1229,g13 diesel,g13,east coast sour diesel,n,n,n,n,n
1230,g13 haze,g13,haze,n,n,n,n,n
1231,g13 widow,g13,white widow,n,n,n,n,n
1232,gdp electric,granddaddy purple,kaua’i electric,n,n,n,n,n
1233,gi001,n,n,n,n,n,n,n
1234,gmo cookies,chemdog,gsc,n,n,n,n,n
1235,griz kush,pakistani chitral kush,tangerine haze,n,n,n,n,n
1236,gsc,durban poison,og kush,n,n,n,n,n
1237,gto,golden goat,triangle kush,n,n,n,n,n
1238,gabriel sherbet,champagne kush,blackberry,n,n,n,n,n
1239,galactic jack,jack herer,space queen,n,n,n,n,n
1240,gdp electric,granddaddy purple,kaua’i electric,n,n,n,n,n
1241,gi001,n,n,n,n,n,n,n
1242,gmo cookies,chemdog,gsc,n,n,n,n,n
1243,griz kush,pakistani chitral kush,tangerine haze,n,n,n,n,n
1244,gsc,durban poison,og kush,n,n,n,n,n
1245,gto,golden goat,triangle kush,n,n,n,n,n
1246,gabriel sherbet,champagne kush,blackberry,n,n,n,n,n
1247,galactic jack,jack herer,space queen,n,n,n,n,n
1248,galactica og,saturn og,jedi kush,n,n,n,n,n
1249,game changer,purple dragon,thai,n,n,n,n,n
1250,gammaberry,bruce banner,n,n,n,n,n,n
1251,gandalf og,skywalker og,king louis xiii,n,n,n,n,n
1252,ganesh berry,plushberry,north indian,afghani,n,n,n,n
1253,garlic bud,afghani,n,n,n,n,n,n
1254,gas mask,cherry pie,alien kush,n,n,n,n,n
1255,gaswerx,chemdog 91,ghost og,n,n,n,n,n
1256,gatekeeper og,og kush,sensi star,medicine man,n,n,n,n
1257,gelato,sunset sherbet,thin mint gsc,n,n,n,n,n
1258,gelato 33,sunset sherbet,thin mint gsc,n,n,n,n,n
1259,gemstone,northern lights,sour diesel,skunk 1,lavender,n,n,n
1260,georgia pine,willys wonder,n,n,n,n,n,n
1261,ghetto bird,ice queen,blue heron,n,n,n,n,n
1262,ghost bubba,n,n,n,n,n,n,n
1263,ghost cookies,ghost og,girl scout cookies,n,n,n,n,n
1264,ghost og,og kush,n,n,n,n,n,n
1265,ghost og moonshine,blue moonshine,n,n,n,n,n,n
1266,ghost rider og,the white,biker kush,n,n,n,n,n
1267,ghost ship,n,n,n,n,n,n,n
1268,ghost tange haze,bubble gum,ghost train haze,n,n,n,n,n
1269,ghost train haze,ghost og,nevils wreck,n,n,n,n,n
1270,ghostbreath,ghost og,mendo breath,n,n,n,n,n
1271,gigabud,big bud,northern lights,n,n,n,n,n
1272,gilz nilz,the white,georgia pine,n,n,n,n,n
1273,ginger ale,n,n,n,n,n,n,n
1274,ginger punch,n,n,n,n,n,n,n
1275,glad max,caramelicious,n,n,n,n,n,n
1276,glass apple,pineapple express,glass slipper,n,n,n,n,n
1277,glass slipper,cinderella 99,pineapple,n,n,n,n,n
1278,glue tech,gorilla glue 4,alien technology,n,n,n,n,n
1279,gluechee,original glue,cheese,n,n,n,n,n
1280,gnome walker,n,n,n,n,n,n,n
1281,go time,n,n,n,n,n,n,n
1282,goat head,golden goat,headband,n,n,n,n,n
1283,gobbilygoo,blue magoo,purple urkle,sin city kush,n,n,n,n
1284,gobbstopper,purple urkle,sin city kush,n,n,n,n,n
1285,god bud,hawaiian,purple skunk,n,n,n,n,n
1286,n,n,n,n,n,n,n,n
1287,gods green crack,green crack,god bud,n,n,n,n,n
1288,godberry,blueberry,n,n,n,n,n,n
1289,godfather og,xxx og,alpha og,n,n,n,n,n
1290,godfather purple kush,godfather og,purple kush,afghani,n,n,n,n
1291,godzilla,god bud,n,n,n,n,n,n
1292,godzilla blood,n,n,n,n,n,n,n
1293,godzilla glue,gg 4,kona gold,n,n,n,n,n
1294,gods bubba,god bud,pre-98 bubba kush,n,n,n,n,n
1295,gods treat,dutch treat,god bud,n,n,n,n,n
1296,godberry,blueberry,n,n,n,n,n,n
1297,godfather og,xxx og,alpha og,n,n,n,n,n
1298,godfather purple kush,godfather og,purple kush,afghani,n,n,n,n
1299,godzilla,god bud,n,n,n,n,n,n
1300,godzilla blood,n,n,n,n,n,n,n
1301,godzilla glue,gg 4,kona gold,n,n,n,n,n
1302,gods bubba,god bud,pre-98 bubba kush,n,n,n,n,n
1303,gods treat,dutch treat,god bud,n,n,n,n,n
1304,gog &amp; magog,n,n,n,n,n,n,n
1305,goji diesel,goji og,n,n,n,n,n,n
1306,goji og,snow lotus,nepalese,og kush,n,n,n,n
1307,gold kings thai,n,n,n,n,n,n,n
1308,gold star,sensi star,malawi gold,n,n,n,n,n
1309,goldberry,pot of gold,blueberry,n,n,n,n,n
1310,golden calyx,golden goat,grape calyx,n,n,n,n,n
1311,golden gage,golden goat,n,n,n,n,n,n
1312,golden goat,hawaiian,romulan,island sweet skunk,n,n,n,n
1313,golden lemon,kosher kush,lemon skunk,n,n,n,n,n
1314,golden nugget,stardawg,golden goat,n,n,n,n,n
1315,golden panda,golden pineapple,n,n,n,n,n,n
1316,golden pineapple,golden goat,pineapple kush,n,n,n,n,n
1317,golden soda,grape soda,golden goat,n,n,n,n,n
1318,golden state banana,ghost og,banana kush,n,n,n,n,n
1319,golden tangie,golden goat,tangie,n,n,n,n,n
1320,golden ticket,golden goat,face off og,n,n,n,n,n
1321,golden tiger,malawi,n,n,n,n,n,n
1322,goldwing,n,n,n,n,n,n,n
1323,goo,n,n,n,n,n,n,n
1324,gooberry,afgoo,blueberry,n,n,n,n,n
1325,good medicine,harlequin,tres dawg,green crack,n,n,n,n
1326,gorilla biscuit,sensi star,stardawg,n,n,n,n,n
1327,gorilla breath,original glue,ogkb,n,n,n,n,n
1328,gorilla cookies,gorilla glue 4,thin mint girl scout cookies,n,n,n,n,n
1329,gorilla girl,gg4,thin mint gsc,n,n,n,n,n
1330,gorilla grips,gorilla glue 4,blue power,n,n,n,n,n
1331,gorilla snacks,gg4,scooby snacks,n,n,n,n,n
1332,gorkle,the fork,rebel god smoke,n,n,n,n,n
1333,government mule,g13,deep chunk,n,n,n,n,n
1334,grand doggy purps,granddaddy purple,chemdawg,n,n,n,n,n
1335,grand hindu,granddaddy purple,hindu kush,n,n,n,n,n
1336,grand hustle,afgoo,green crack,n,n,n,n,n
1337,granddaddy purple,purple urkle,big bud,n,n,n,n,n
1338,granddaddy wonder,granddaddy purple,n,n,n,n,n,n
1339,grandma anderson’s cookies,gsc,n,n,n,n,n,n
1340,grandma’s batch,candyland,girl scout cookies,n,n,n,n,n
1341,grandma’s sugar cookies,girl scout cookies,n,n,n,n,n,n
1342,grandpa larry og,granddaddy purple,larry og,n,n,n,n,n
1343,grandpa’s breath,n,n,n,n,n,n,n
1344,grandpa’s stash,super skunk,og kush,afghan kush,n,n,n,n
1345,granola funk,gsc,wookie,n,n,n,n,n
1346,grape ape,afghani,mendocino purps,skunk no 1,n,n,n,n
1347,grape bubba,purple urkle,bubba kush,n,n,n,n,n
1348,grape cake,grape stomper,cherry pie,wedding cake,n,n,n,n
1349,grape calyx,pineapple purple skunk,n,n,n,n,n,n
1350,grape candy,purple pantera,n,n,n,n,n,n
1351,grape cookies,girl scout cookies,grape kush,n,n,n,n,n
1352,grandpa’s stash,super skunk,og kush,afghan kush,n,n,n,n
1353,granola funk,gsc,wookie,n,n,n,n,n
1354,grape ape,afghani,mendocino purps,skunk no 1,n,n,n,n
1355,grape bubba,purple urkle,bubba kush,n,n,n,n,n
1356,grape cake,grape stomper,cherry pie,wedding cake,n,n,n,n
