,category,strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,parent_1,parent_2
0,hybrid,100 og,  happy ,  uplifted ,  relaxed ,  euphoric ,  sleepy  ,  stress ,  pain ,  depression ,  insomnia ,  lack of appetite  ,  dry mouth ,  dizzy ,  dry eyes ,  anxious ,  paranoid  ,  1. earthy ,  2. diesel ,  3. pungent  ,og kush,
2,hybrid,98 white widow,  creative ,  relaxed ,  energetic ,  sleepy ,  giggly  ,  depression ,  muscle spasms ,  fatigue ,  pain  ,,  dry mouth ,  anxious ,  dizzy ,  dry eyes ,  headache  ,  1. diesel ,  2. flowery ,  3. grape  ,,
3,sativa,1024,  uplifted ,  energetic ,  happy ,  relaxed ,  focused  ,  pain ,  fatigue ,  depression ,  stress ,  inflammation  ,  dry mouth ,  dry eyes ,  dizzy ,  paranoid ,  anxious  ,  1. tropical ,  2. mint ,  3. blueberry  ,,
4,hybrid,12 year og,  focused ,  creative ,  hungry ,  euphoric ,  aroused  ,  depression ,  pain ,  stress  ,,,  anxious ,  dizzy ,  dry eyes ,  dry mouth ,  headache  ,  1. diesel  ,,,og kush,
6,hybrid,13 dawgs,  sleepy ,  euphoric ,  focused ,  energetic ,  relaxed  ,  pain ,  depression ,  stress ,  inflammation ,  fatigue  ,  anxious ,  dry eyes ,  headache ,  dry mouth  ,,  1. diesel ,  2. apricot ,  3. citrus  ,  g13 ,  chemdawg  
8,hybrid,22,  energetic ,  focused ,  happy ,  uplifted ,  creative  ,  pain ,  depression ,  fatigue ,  stress ,  muscle spasms  ,  headache  ,,,,,  1. diesel ,  2. pine ,  3. skunk  ,,
9,hybrid,24k gold,  happy ,  relaxed ,  euphoric ,  uplifted ,  creative  ,  stress ,  depression ,  pain ,  fatigue ,  insomnia  ,  dry mouth ,  dry eyes ,  dizzy ,  anxious ,  headache  ,  1. orange ,  2. citrus ,  3. sweet  ,  kosher kush ,  tangie  
11,indica,3 bears og,  relaxed ,  giggly ,  sleepy ,  tingly ,  energetic  ,  pain ,  stress ,  lack of appetite ,  muscle spasms ,  insomnia  ,  dry mouth ,  dry eyes ,  headache ,  anxious  ,,  1. diesel ,  2. sweet ,  3. butter  ,triangle kush,
13,hybrid,3 kings,  happy ,  relaxed ,  uplifted ,  euphoric ,  energetic  ,  stress ,  pain ,  depression ,  headaches ,  eye pressure  ,  dry mouth ,  dry eyes ,  dizzy ,  headache ,  paranoid  ,  1. earthy ,  2. diesel ,  3. pine  ,,
14,indica,303 og,  focused ,  relaxed ,  uplifted ,  euphoric ,  sleepy  ,  pain ,  depression ,  insomnia ,  muscle spasms ,  headaches  ,  dry mouth ,  dry eyes ,  dizzy ,  anxious  ,,  1. diesel ,  2. earthy ,  3. woody  ,  pre-98 bubba kush ,  chemdawg  
15,sativa,3d cbd,  relaxed ,  happy ,  uplifted ,  focused ,  talkative  ,  pain ,  stress ,  inflammation ,  headaches ,  depression  ,  dry mouth ,  dry eyes  ,,,,  1. diesel ,  2. woody ,  3. earthy  ,,
16,indica,3x crazy,  relaxed ,  happy ,  sleepy ,  uplifted ,  euphoric  ,  stress ,  insomnia ,  pain ,  depression ,  fatigue  ,  dry mouth ,  dry eyes ,  dizzy ,  anxious ,  paranoid  ,  1. earthy ,  2. grape ,  3. woody  ,,
17,hybrid,3rd coast panama chunk,  energetic ,  focused ,  happy ,  uplifted ,  talkative  ,  pain ,  depression ,  headaches ,  stress ,  fatigue  ,,,,,,  1. diesel ,  2. pine ,  3. butter  ,  deep chunk ,  sour diesel  
18,hybrid,501st og,  happy ,  relaxed ,  energetic ,  euphoric ,  uplifted  ,  stress ,  pain ,  depression ,  insomnia ,  headaches  ,  dry mouth ,  dry eyes ,  headache ,  anxious ,  dizzy  ,  1. sweet ,  2. pine ,  3. pungent  ,  skywalker og ,  rare dankness #1  
19,hybrid,541 kush,  energetic ,  focused  ,,,,  pain  ,,,,,,,,,,  1. diesel  ,,,triangle kush,
20,indica,5th element,  energetic ,  relaxed ,  euphoric ,  happy ,  hungry  ,  pain ,  stress ,  lack of appetite ,  muscle spasms ,  inflammation  ,  dry eyes ,  dry mouth ,  paranoid ,  dizzy ,  headache  ,  1. earthy ,  2. pungent ,  3. lemon  ,blackberry,
21,hybrid,707 headband,  relaxed ,  euphoric ,  happy ,  creative ,  uplifted  ,  pain ,  stress ,  depression ,  nausea ,  muscle spasms  ,  dry mouth ,  dry eyes ,  anxious ,  dizzy ,  paranoid  ,  1. earthy ,  2. sweet ,  3. pungent  ,,
22,hybrid,707 truthband,  happy ,  energetic ,  focused ,  relaxed ,  uplifted  ,  pain  ,,,,,  dry eyes  ,,,,,,,,true og,
23,indica,8 ball kush,  relaxed ,  happy ,  uplifted ,  euphoric ,  hungry  ,  pain ,  depression ,  inflammation ,  stress ,  muscle spasms  ,  dry mouth ,  dry eyes ,  headache ,  anxious ,  dizzy  ,  1. earthy ,  2. spicy/herbal ,  3. pine  ,afghani,
24,indica,818 og,  happy ,  relaxed ,  tingly ,  euphoric ,  sleepy  ,  insomnia ,  pain ,  stress ,  nausea ,  inflammation  ,  dry mouth ,  dry eyes ,  paranoid  ,,,  1. earthy ,  2. flowery ,  3. pungent  ,og kush,
25,indica,831 og,  relaxed ,  creative ,  hungry ,  euphoric ,  focused  ,  insomnia ,  pain ,  stress ,  depression ,  cramps  ,  dry mouth ,  dizzy ,  headache  ,,,  1. cheese ,  2. flowery ,  3. chemical  ,  og kush ,  sfv og  
26,hybrid,840,,,,,,,,,,,,,,,,,,,,
27,indica,9 pound hammer,  relaxed ,  sleepy ,  euphoric ,  happy ,  hungry  ,  insomnia ,  pain ,  stress ,  depression ,  muscle spasms  ,  dry mouth ,  dry eyes ,  dizzy ,  anxious ,  headache  ,  1. earthy ,  2. sweet ,  3. citrus  ,,
28,indica,91 krypt,  relaxed ,  happy ,  euphoric ,  giggly ,  sleepy  ,  stress ,  depression ,  lack of appetite ,  insomnia ,  pain  ,  dry mouth ,  dizzy ,  dry eyes  ,,,  1. diesel ,  2. skunk ,  3. earthy  ,chemdawg 91,
29,hybrid,92 og,,,,,,,,,,,,,,,,,,,og kush,
30,indica,999,  relaxed ,  creative ,  euphoric ,  happy ,  uplifted  ,  stress ,  spasticity ,  depression ,  seizures ,  muscle spasms  ,  anxious ,  dry eyes ,  dry mouth ,  paranoid ,  dizzy  ,  1. citrus ,  2. earthy ,  3. pine  ,,
31,indica,a 10,  happy ,  hungry ,  euphoric ,  sleepy ,  creative  ,  insomnia ,  pain ,  stress ,  nausea ,  lack of appetite  ,  dry mouth ,  dry eyes ,  anxious ,  paranoid ,  dizzy  ,  1. pungent ,  2. skunk ,  3. ammonia  ,afghani,
32,hybrid,a dub,  euphoric ,  aroused ,  happy ,  creative ,  talkative  ,  stress ,  pain ,  fatigue ,  depression ,  insomnia  ,  dry mouth ,  dry eyes ,  anxious ,  headache  ,,  1. earthy ,  2. diesel ,  3. sweet  ,,
33,hybrid,a train,  happy ,  relaxed ,  creative ,  aroused ,  euphoric  ,  depression ,  pain ,  stress ,  insomnia ,  lack of appetite  ,  dry mouth ,  dry eyes ,  paranoid ,  dizzy ,  anxious  ,  1. earthy ,  2. spicy/herbal ,  3. flowery  ,  mazar i sharif ,  trainwreck  
34,hybrid,acdc,  relaxed ,  happy ,  focused ,  uplifted ,  sleepy  ,  pain ,  stress ,  depression ,  inflammation ,  fatigue  ,  dry mouth ,  anxious ,  dry eyes ,  paranoid ,  dizzy  ,  1. earthy ,  2. woody ,  3. pine  ,cannatonic,
35,hybrid,ak 47,  happy ,  relaxed ,  euphoric ,  uplifted ,  creative  ,  stress ,  depression ,  pain ,  fatigue ,  insomnia  ,  dry mouth ,  dry eyes ,  anxious ,  headache ,  dizzy  ,  1. earthy ,  2. woody ,  3. pungent  ,,
36,hybrid,ak 48,  happy ,  relaxed ,  uplifted ,  giggly ,  euphoric  ,  stress ,  depression ,  pain ,  insomnia ,  nausea  ,  dry mouth ,  dizzy ,  headache ,  dry eyes ,  paranoid  ,  1. flowery ,  2. earthy ,  3. sweet  ,  ice ,  jock horror  
37,sativa,ak 49,  giggly ,  aroused ,  tingly ,  euphoric ,  sleepy  ,  fatigue ,  depression ,  headaches ,  stress ,  pain  ,  anxious  ,,,,,  1. earthy ,  2. pungent ,  3. woody  ,ak-47,
38,hybrid,aberdeen,  uplifted ,  giggly ,  happy ,  energetic ,  sleepy  ,  cramps ,  depression ,  fatigue ,  headaches ,  lack of appetite  ,  anxious ,  dry eyes ,  dry mouth  ,,,  1. blue cheese ,  2. chemical ,  3. menthol  ,  orange velvet ,  jack the ripper  
