,strain,parent_1,parent_2
2208,the void,  apollo 13 ,  querkle  
2209,the void,  apollo 13 ,  querkle  
2210,the white angel,  white widow ,  sfv og  
2211,the wills,willy s wonder,
2212,thelonious skunk,  island sweet skunk ,  nina limone  
2213,thelonious skunk,  island sweet skunk ,  nina limone  
2214,throwback kush,  og kush ,  green ribbon  
2215,thunderbird rose,  blue dream ,  og kush  
2216,thunderstruck,acdc,
2217,tickle kush,  chemdawg ,  la kush  
2218,tiger's milk,  bubba kush ,  appalachia  
2219,tigermelon,  chemdawg ,  apollo 11  
2220,tillamook strawberry,bruce banner,
2221,tina,starbud,
2222,tina danza,triangle kush,
2223,titan's haze,  haze ,  skunk no. 1  
2224,tokyo og,og kush,
2225,tonics web,charlotte s web,
2226,tora bora,la confidential,
2227,training day,  trainwreck ,  la confidential  
2228,tranquil elephantizer: remix,  hash plant ,  g13  
2229,trap star,la og,
2230,trash,  purple trainwreck ,  hash plant  
2231,training day,  trainwreck ,  la confidential  
2232,tranquil elephantizer: remix,  hash plant ,  g13  
2233,trap star,la og,
2234,trash,  purple trainwreck ,  hash plant  
2235,treasure island,  swiss gold ,  acdc  
2236,tree of life,  trainwreck ,  mendocino purps  
2237,tres dawg,  afghani ,  chemdog  
2238,trinity,north american,
2239,triple cheese,  cheese ,  blue cheese  
2240,triple scoop,super silver haze,
2241,trophy wife,the wife,
2242,tropic thunder,maui wowie,
2243,tropicana cookies,tangie,
2244,true face,  true og ,  face off og  
2245,true love,juicy fruit,
2246,true og,og kush,
2247,true x,  true og ,  c4  
2248,truffle butter,  gelato ,  chocolate kush  
2249,tuna kush,hindu kush,
2250,tuna og,  og kush ,  black tuna  
2251,tutankhamon,ak-47,
2252,uk cheese,skunk no. 1,
2253,ultra banana,  banana kush ,  mk ultra  
2254,ultra sonja,uk cheese,
2255,ultra sour,  mk ultra ,  east coast sour diesel  
2256,ultraviolet og,  face off og ,  north american indica  
2257,urkle train haze,  ghost train haze ,  purple urkle  
2258,vcdc,acdc,
2259,vader og,  sfv og ,  larry og  
2260,ultra banana,  banana kush ,  mk ultra  
2261,ultra sonja,uk cheese,
2262,ultra sour,  mk ultra ,  east coast sour diesel  
2263,ultraviolet og,  face off og ,  north american indica  
2264,urkle train haze,  ghost train haze ,  purple urkle  
2265,vcdc,acdc,
2266,vader og,  sfv og ,  larry og  
2267,valentine x,acdc,
2268,valley girl,  sfv og ,  face off og  
2269,vanilla gorilla,  grease monkey ,  cookies and cream  
2270,vanilla kush,  afghani ,  south asian indica  
2271,vanilluna,blueberry,
2272,velvet bud,  dutch treat ,  blueberry  
2273,velvet krush,blue moonshine,
2274,very cherry,lemon kush,
2275,vietnamese bubba,pre-98 bubba kush,
2276,violator kush,hindu kush,
2277,violeta,pakistani chitral kush,
2278,viper,  south asian ,  mexican  
2279,vixen,dark side of the moon,
2280,voodoo,thai,
2281,vortex,  apollo 13 ,  space queen  
2282,wmd,  big bud ,  fucking incredible  
2283,wsu,chemo,
2284,waipi'o hapa,hawaiian,
2285,walker kush,  albert walker ,  rare dankness #1  
2286,wally og,  ghost og ,  phantom og  
2287,walter white,the white,
2288,warlock,  skunk no. 1 ,  afghani  
2289,washing machine,  exodus cheese ,  bubba kush  
2290,wedding cake,  girl scout cookies ,  cherry pie  
