,strain,parent_1,parent_2
330,blue tara,snow lotus,
331,blue raspberry snow cone,blue diesel,
332,blue rhino,  blueberry ,  white rhino  
333,blue satellite,shishkaberry,
334,blue sherbert,  blue cookies ,  sherbert  
335,blue sky,  lsd ,  rocky mountain blueberry  
336,blue steel,  blueberry og ,  starfighter  
337,blue tara,snow lotus,
338,blue thai,blueberry,
339,blue trainwreck,  trainwreck ,  blueberry  
340,blue treat,  blueberry ,  dutch treat  
341,blue velvet,  purple thai ,  afghani  
342,blue venom,  blueberry ,  white widow  
343,blue widow,  blueberry ,  white widow  
344,blue wonder,  blueberry ,  super silver haze  
345,blue wreck,  blueberry ,  trainwreck  
346,blue zkittlez,  blue diamond ,  zkittlez  
347,blueberry ak,  blueberry ,  ak-47  
348,blueberry blast,blue dream,
349,blueberry bomb,  blueberry ,  afghani  
350,blueberry bomb,  blueberry ,  afghani  
351,blueberry bomb,  blueberry ,  afghani  
352,blueberry diesel,  blueberry ,  sour diesel  
353,blueberry hashplant,  blue dream ,  hash plant  
354,blueberry haze,  blueberry ,  haze  
355,blueberry jack,  jack herer ,  dj short blueberry  
356,blueberry kush,  blueberry ,  og kush  
357,blueberry lambsbread,  blueberry ," ""lamb s bread"" "
358,blueberry muffin,  blueberry ,  purple panty dropper  
359,blueberry og,  dj short blueberry ,  og kush  
360,blueberry pancakes,dj short blueberry,
361,blueberry pie,  girl scout cookies ,  blue dream  
362,blueberry silvertip,  blueberry ,  montana silvertip  
363,blueberry skunk,  blueberry ,  skunk no. 1  
364,blueberry space cake,  outer space ,  alien dutchess  
365,blue trainwreck,  trainwreck ,  blueberry  
366,blueberry triple og,blueberry,
367,blueberry waltz,blue afghani,
368,blueberry yum yum,  blueberry ,  durban poison  
369,blues,skunk no. 1,
370,blukashima,  chernobyl ,  blue dream  
371,bluniverse,  blue magoo ,  ms. universe  
372,blurple,  blue dream ,  mendocino purps  
373,bob saget,sage,
374,bodega bubblegum,stardawg,
375,bog blue kush,  blue moon rocks ,  sour bubble  
376,bog sour grape,sour bubble,
377,bluniverse,  blue magoo ,  ms. universe  
378,blurple,  blue dream ,  mendocino purps  
379,bob saget,sage,
380,bodega bubblegum,stardawg,
381,bog blue kush,  blue moon rocks ,  sour bubble  
382,bog sour grape,sour bubble,
383,boggle gum,  northern lights #5 ,  bog bubble  
384,bogglegum,  bog bubble ,  northern lights #5  
385,bonkers,  lemon tree ,  cookies and cream  
386,booger,  strawberry cough ,  bubba kush  
387,boombaye,mickey kush,
388,bootlegger,  ak-47 ,  gupta kush  
389,bootylicious,cookies and cream,
390,boss hogg,chemdawg 4,
391,boss og,og kush,
392,brain candy,  white widow ,  northern lights  
393,brandywine,pink champagne,
394,brian berry black currant,brian berry cough,
395,brian berry citrus blend,brian berry cough,
396,brian berry cough,  strawberry cough ,  space queen  
397,brian berry honey lemon,quantum kush,
398,bright fire,fire og,
399,bright moments,grape stomper,
400,brooklyn mango,  ed rosenthal super bud ,  nyc diesel  
401,bruce banner,  og kush ,  strawberry diesel  
402,bruce banner #3,  og kush ,  strawberry diesel  
403,bubba berry,  pre-98 bubba kush ,  dj short blueberry  
404,bubba cheese auto,  uk cheese ,  bubba kush  
405,bubba doja,  pre-98 bubba kush ,  double purple doja  
406,bubba fresh,  pre-98 bubba kush ,  banana og  
407,bubba hash,  katsu bubba kush ,  hash plant  
408,bubba kush,og kush,
409,bubba kush 2.0,  bubba kush ,  og kush  
410,bubba og,  pre-98 bubba kush ,  ghost og  
411,bubba tom hayes,  pre-98 bubba kush ,  haze  
412,bubba x skunk,  bubba kush ,  skunk no. 1  
413,bubba's bitch,  bubba kush ,  headband  
414,bubba's gift,  bubba kush ," ""god s gift"" "
415,bubble bomb,  thc bomb ,  bubble gum  
416,bubbleberry,  bubble gum ,  blueberry  
417,bubblegum kush,bubble gum,
418,bubblegun,  bubble gum ,  ak-47  
419,bubba's bitch,  bubba kush ,  headband  
420,bubba's gift,  bubba kush ," ""god s gift"" "
421,bubble bomb,  thc bomb ,  bubble gum  
422,bubbleberry,  bubble gum ,  blueberry  
423,bubblegum kush,bubble gum,
424,bubblegun,  bubble gum ,  ak-47  
425,bubblicious,bubble gum,
426,buckeye purple,granddaddy purple,
427,buddha haze,amnesia haze,
428,buddha tahoe,tahoe og kush,
429,buddha's hand,  lemon thai ,  snow lotus  
430,buddha's sister,afghan hawaiian,
431,buddha’s tooth,blue dream,
432,buffalo bill,willy s wonder,
433,bugatti og,og kush,
434,burkle,  pre-98 bubba kush ,  granddaddy purple  
435,burnt cookies,  fire og ,  girl scout cookies  
436,c13 haze,  cannalope haze ,  g13  
437,c3,chemdawg,
438,c4,  cotton candy kush ,  shishkaberry  
439,cbd blue shark,  cbd shark ,  blue cheese  
440,cbd critical cure,critical kush,
441,cbd critical mass,critical mass,
442,cbd kush,kandy kush,
443,cbd og,sfv og,
444,cbd ox,the ox,
445,cbd rich blessing,  acdc ,  good medicine  
446,cbd shark,shark shock,
447,csg,gsc,
448,cabbage patch,  cherry pie ,  durban poison  
449,cackleberry,  cherry og ,  stardawg  
450,cactus,  northern lights ,  afghani  
451,cactus cooler,  blue dream ,  og kush  
452,cadillac cookies,  cadillac purple ,  platinum gsc  
453,cali jack,  jack herer ,  pre-98 bubba kush  
454,california hash plant,hash plant,
455,california love og,pie face og,
456,california sour,  mexican ,  afghani  
457,cali jack,  jack herer ,  pre-98 bubba kush  
458,california hash plant,hash plant,
459,california love og,pie face og,
460,california sour,  mexican ,  afghani  
461,california sour diesel,headband,
462,calyx og,  platinum calyx ,  true og  
463,cambodian haze,  cambodian ,  purple haze  
464,candy jack,  jack herer ,  skunk #1  
465,candyland,  granddaddy purple ,  platinum gsc  
466,candyland,  granddaddy purple ,  platinum gsc  
467,candyland,  granddaddy purple ,  platinum gsc  
468,canna tsu,  cannatonic ,  sour tsunami  
469,canna wreck,  canna-tsu ,  timewreck  
470,cannasutra,sensi star,
471,cannadential,  cannalope haze ,  la confidential  
472,cannalope haze,  mexican ,  haze  
473,cannalope kush,  cannalope haze ,  og #18  
474,cannatonic,  mk ultra ,  g13 haze  
475,capers,burmese kush,
476,capleton,white widow,
477,captain's cake,  girl scout cookies ,  white fire alien og  
478,caramel candy kush,  pre-98 bubba kush ,  ms. universe  
479,caramel kona coffee cookies,  caramel kona coffee kush ,  gsc  
480,caramel kona coffee kush,kona gold,
481,caramelicious,  maple leaf indica ,  afghan kush  
482,caramelo,lavender,
483,carl sagan,  pre-98 bubba kush ,  blue moon rocks  
484,carmel cough,  the cough ,  ms. universe  
485,carnival,haze,
486,carpet tape,  gg4 ,  rug burn og  
487,cascadia kush,  alien kush ,  frankenstein  
488,casper og,  face off og ,  ghost og  
489,cat piss,super silver haze,
490,cello sweet og,flo,
491,chairman chem sou,  chemdawg ,  sour og  
492,champagne diesel,  sour diesel ,  champagne kush  
493,champagne kush,  hash plant ,  burmese kush  
494,cheese,skunk #1,
495,chairman chem sou,  chemdawg ,  sour og  
496,champagne diesel,  sour diesel ,  champagne kush  
497,champagne kush,  hash plant ,  burmese kush  
498,cheese,skunk #1,
499,cheese candy,  cheese ,  caramelo  
500,cheese candy,  cheese ,  caramelo  
501,cheesewreck,  cheese ,  trainwreck  
502,chem beyond diesel cbd,chemdawg,
503,chem crush,orange crush,
504,chem d.o.g.,  chemdawg ,  og kush  
505,chem jack,  chemdawg ,  jack herer  
506,chem jong ill,chemdawg 4,
507,chem scout,  chemdawg 91 ,  girl scout cookies  
508,chem valley kush,  chemdawg ,  sfv og kush  
509,chem's sister,chemdawg,
510,chemwreck,  chemdawg ,  trainwreck  
511,chemdawg sour diesel,  chemdawg ,  sour diesel  
512,chemdog,  nepalese ,  thai  
513,chemdog #4 x alien og kush,  chemdawg 4 ,  alien og  
514,chemdog 4,  nepalese ,  thai  
515,chemdog 91,thai,
516,chemmy jones,  chemdawg ,  casey jones  
517,cherwillie,  chernobyl ,  white widow  
518,cherry ak 47,ak-47,
519,cherry bomb,  north american indica ,  hawaiian  
520,cherry cookies,  cherry pie ,  girl scout cookies  
521,cherry cream pie,  cherry pie ,  cookies and cream  
522,cherry diesel,cherry kush,
523,cherry durban poison,durban poison,
524,cherry fire,  cherry pie ,  fire og  
525,cherry fuel,buddha s sister,
526,cherry grapefruit,  cherry kush ,  grapefruit  
527,cherry kola,afghani,
528,cherry kush,  purple afghani ,  og kush  
529,cherry mender,  remedy ,  sour bubble  
530,cherry pie,  granddaddy purple ,  durban poison  
531,cherry sauce,  cherry pie ,  the sauce  
532,cherry sherbet,cherry pie,
533,cherry skunk,skunk dawg,
534,cherry slyder,  northern lights #5 ,  afghani  
535,cherry pie,  granddaddy purple ,  durban poison  
536,cherry sauce,  cherry pie ,  the sauce  
537,cherry sherbet,cherry pie,
538,cherry skunk,skunk dawg,
539,cherry slyder,  northern lights #5 ,  afghani  
540,cherry vanilla cookies,  platinum gsc ,  ms. universe  
541,cherry wine,the wife,
542,chicle,  bubble gum ,  chemdawg  
543,chiesel,  big buddha cheese ,  nyc diesel  
544,chiquita banana,og kush,
545,chocolate chunk,afghani,
546,chocolate diesel,  sour diesel ,  chocolate thai  
547,chocolate drop,  chocolate kush ,  lowryder  
548,chocolate fondue,  exodus cheese ,  chocolope  
549,chocolate hashberry,  chocolate kush ,  blackberry kush  
550,chocolate kush,mazar i sharif,
551,chocolate lava,  chocolate kush ,  hellfire og  
552,chocolate meringue,chocolate kush,
553,chocolate mint og,  emerald og ,  granddaddy purple  
554,chocolate og,true og,
555,chocolate rain,chocolope,
556,chocolate sap,citrus sap,
557,chocolate skunk,  chocolope ,  skunk no. 1  
558,chocolate thai,thai,
559,chocolate thunder,  chocolope ,  alaskan thunder fuck  
560,chocolate tonic,  chocolate kush ,  cannatonic  
561,chocolony,  the one ,  white choco  
562,chocolony,  the one ,  white choco  
563,chocolope kush,  chocolope ,  kosher kush  
564,chronic thunder,  chronic ,  alaskan thunder fuck  
565,chuck og,  tahoe og kush ,  afghani  
566,chucky's bride,  exodus cheese ,  cinderella 99  
567,chunky diesel,  deep chunk ,  sour diesel  
568,church og,og kush,
569,cinderella 99,  jack herer ,  shiva skunk  
570,cinderella's dream,  blue dream ,  cinex  
571,cindy haze,  cinderella 99 ,  super silver haze  
572,cinex,  cinderella 99 ,  vortex  
573,cirrus,  granddaddy purple ,  platinum girl scout cookies  
574,citradelic sunset,  ghost train haze ,  mandarin sunset  
575,citral glue,original glue,
576,citrix,  grapefruit ,  la confidential  
577,cinex,  cinderella 99 ,  vortex  
578,cirrus,  granddaddy purple ,  platinum girl scout cookies  
579,citradelic sunset,  ghost train haze ,  mandarin sunset  
580,citral glue,original glue,
581,citrix,  grapefruit ,  la confidential  
582,citrus punch,  sour tangie ,  clementine  
583,citrus rush,do-si-dos,
584,citrus sap,  original glue ,  tangie  
585,citrus sunshine haze,  super lemon haze ,  kosher tangie  
586,city of god,  nyc diesel ,  god bud  
587,clementine,  tangie ,  lemon skunk  
588,clementine’s terpentine,24k gold,
589,clockwork orange,  g13 ,  black widow  
590,cloud 9,  nyc diesel ,  milky way  
591,cluster bomb,  cinderella 99 ,  skunk #1  
592,cluster funk,mr. nice,
593,cobra lips,  chemdog ,  appalachia  
594,cocoa kush,dj short blueberry,
595,coconut oil,sfv og,
596,cold creek kush,  mk ultra ,  chemdawg 91  
597,colombian gold,south american,
598,colorado bubba,  northern lights #5 ,  og kush  
599,colorado clementines,  big white ,  agent orange  
600,commerce city kush,  chemdawg 4 ,  rare dankness #1  
601,concord cream,  cookies and cream ,  grape bubba  
602,concord grape blockhead,sweet tooth,
603,confidential cheese,  la confidential ,  cheese  
604,confidential cookies,confidential cheese,
605,confidential wreck,  la confidential ,  trainwreck  
606,congo,pakistani chitral kush,
607,connie chung,  la confidential ,  g13 haze  
608,conspiracy kush,  obama kush ,  space queen  
609,cookie breath,  thin mint girl scout cookies ,  girl scout cookies  
610,cookie dough,girl scout cookies,
611,cookie jar,  platinum girl scout cookies ,  white fire alien og  
612,cookie puss,  cat piss ,  gsc  
613,cookie wreck,  girl scout cookies ,  trainwreck  
614,cookie wreck,  girl scout cookies ,  trainwreck  
615,cookie wreck,  girl scout cookies ,  trainwreck  
616,cookies and dream,  blue dream ,  girl scout cookies  
617,copper kush,  frankenstein ,  lemon og kush  
618,corleone kush,  pre-98 bubba kush ,  sfv og kush  
619,cookie puss,  cat piss ,  gsc  
620,cookie wreck,  girl scout cookies ,  trainwreck  
621,cookie wreck,  girl scout cookies ,  trainwreck  
622,cookie wreck,  girl scout cookies ,  trainwreck  
623,cookies and dream,  blue dream ,  girl scout cookies  
624,copper kush,  frankenstein ,  lemon og kush  
625,corleone kush,  pre-98 bubba kush ,  sfv og kush  
626,corleone kush the don cut,  pre-98 bubba kush ,  sfv og  
627,cornbread,bubba kush,
628,cotton candy kush,  lavender ,  power plant  
629,cougar milk,appalachia,
630,cowboy kush," ""hell s angel og""",  stardawg  
631,cracker jack,  jack herer ,  green crack  
632,crater lake,  huckleberry ,  super silver haze  
633,crazy miss hyde,  belladonna ,  northern lights  
634,cream caramel,  maple leaf indica ,  white rhino  
635,crimea blue,  eastern european ,  blueberry  
636,critical 47,  critical mass ,  ak-47  
637,critical bilbo,critical mass,
638,critical cheese,  critical plus ,  cheese  
639,critical haze,  critical mass ,  afghan haze  
640,critical hog,  critical mass ,  hog  
641,critical jack,  critical plus ,  jack herer  
642,critical kali mist,  critical mass ,  kali mist  
643,critical kush,  critical mass ,  og kush  
644,critical mass,  afghani ,  skunk no. 1  
645,critical plus,  big bud ,  skunk no. 1  
646,critical plus 2.0,critical plus,
647,critical sensi star,  sensi star ,  critical mass  
648,critical skunk,  skunk #1 ,  afghani  
649,critical widow,  white widow ,  critical mass  
650,critters cookies,white fire alien og,
651,crockett’s haze,haze,
652,cronuts,  girl scout cookies ,  sin city kush  
653,crosswalker,  skywalker og ,  blueberry  
654,crouching tiger hidden alien," ""tiger s milk""",  starfighter  
655,crown royale,  blueberry ,  purple kush  
656,crumbled lime,biker kush,
657,crystal coma,  cheese ,  skunk no. 1  
658,crystal gayle,northern lights,
659,crystalberry,  sensi star ,  dj short blueberry  
660,cuvee,space queen,
661,cypress og,og kush,
662,dj andy williams,  blue dream ,  super lemon haze  
663,dairy queen,  cheese ,  space queen  
664,dakini  kush,  pre-98 bubba kush ,  hindu kush  
665,cuvee,space queen,
666,cypress og,og kush,
667,dj andy williams,  blue dream ,  super lemon haze  
668,dairy queen,  cheese ,  space queen  
669,dakini  kush,  pre-98 bubba kush ,  hindu kush  
670,damn sour,sage n sour,
671,damnesia,amnesia haze,
672,dance world,dancehall,
673,dank schrader,  bubba kush ,  rockstar kush  
674,dank sinatra,  og la affie ,  hash plant  
675,danky doodle,big bud,
676,dark blue dream,blue dream,
677,dark shadow haze,  grape ape ," ""nevil s wreck"" "
678,dark side of the moon,green ribbon,
679,dark star,  purple kush ,  mazar i sharif  
680,darkside og,  dark star ,  rug burn og  
681,dawg's waltz,  purple urkle ,  tres dawg  
682,dawgfather og,  chemdawg ,  sin city kush  
683,daywalker,  trainwreck ,  pre-98 bubba kush  
684,dedutch,  kosher kush ,  northern lights  
685,deadhead og,  chemdawg 91 ,  sfv og kush  
686,deadlights,  acdc ,  pennywise  
687,deadwood,bubba kush,
688,death bubba,  bubba kush ,  death star  
689,death by cake og,ogkb,
690,death star,  sour diesel ,  sensi star  
691,dedoverde haze,amnesia,
692,deep cheese,cheese,
693,deep chunk,afghani,
694,deep purple,  purple urkle ,  querkle  
695,deep sleep,  larry og ,  pre-98 bubba kush  
696,delahaze,  mango haze ,  lemon skunk  
697,denver maple,maple leaf indica,
698,desert diesel,sour diesel,
699,designer og,  pure kush ,  face off og  
700,destroyer,mexican,
701,devil fruit,  shishkaberry ,  great white shark  
702,diamond og,og kush,
703,diamond socks,  silverback gorilla ,  rug burn og  
704,diamond valley kush,diamond og,
705,diesel dough,  sour diesel ,  do-si-dos  
706,diesel duff,sour diesel,
707,diesel glue,  nyc diesel ,  black domina  
708,diamond og,og kush,
709,diamond socks,  silverback gorilla ,  rug burn og  
710,diamond valley kush,diamond og,
711,diesel dough,  sour diesel ,  do-si-dos  
712,diesel duff,sour diesel,
713,diesel glue,  nyc diesel ,  black domina  
714,dieseltonic,  nyc diesel ,  cannatonic  
715,digweed,  afghani ,  sweet tooth  
716,dinachem,  guava chem ,  chemdawg 91  
717,dirty girl,  cinderella 99 ,  trainwreck  
718,dirty old bastard,  og kush ,  blackberry  
719,dirty widow,  dirty girl ,  white widow  
720,disney blue,  blue dream ,  dj short blueberry  
721,divina obscura," ""charlotte s web""",  ms. universe  
722,dizzy og,og kush,
723,django,  blueberry ,  jack flash  
724,do si dos,  face off og ,  ogkb  
725,doctor doctor,malawi,
726,doctor jamaica,california orange,
727,dogwalker og,  albert walker ,  chemdawg 91  
728,dolla sign og kush,  irene og ,  larry og  
729,don carlos,  blackberry kush ,  humboldt sour diesel  
730,donegal,chemdawg,
731,donkey butter,grease monkey,
732,donna og,larry og,
733,doobiebird daydream,blue dream,
734,doox,  purple cow ,  chemdawg  
735,doox,  purple cow ,  chemdawg  
736,dosi woah! r1,do-si-dos,
737,double barrel og,  white fire og ,  og kush  
738,double diesel,  nyc diesel ,  sour diesel  
739,double dream,  blue dream ,  dream star  
740,double dutch,  warlock ,  chronic  
741,double mint,sinmint cookies,
742,double tangie banana,tangie,
743,dr. bubbles,  bubble gum ,  gupta kush  
744,dr. feelgood,harlequin,
745,dr. funk,  blueberry ,  bubba kush  
746,double tangie banana,tangie,
747,dr. bubbles,  bubble gum ,  gupta kush  
748,dr. feelgood,harlequin,
749,dr. funk,  blueberry ,  bubba kush  
750,dr. greenthumb’s em dog,  og kush ,  chemdog 4  
751,dr. quantum,  dr. who ,  quantum kush  
752,dr. who,  mad scientist ,  timewreck  
753,dragon fruit,snow lotus,
754,dragon og,  red dragon ,  og kush  
755,dragon og,  red dragon ,  og kush  
756,dragon punch,blueberry muffin,
757,dragon's breath,  northern lights ,  jack herer  
758,dream berry,  blue dream ,  blackberry  
759,dream girl,  blue dream ,  gsc  
760,dream lotus,  blue dream ,  snow lotus  
761,dream machine,afghani,
762,dream queen,  blue dream ,  space queen  
763,dream star,  blue dream ,  stardawg  
764,dreamcatcher,  blueberry ,  black domina  
765,duct tape,  original glue ,  do-si-dos  
766,duke nukem,chernobyl,
767,durban berry,  durban poison ,  rocky mountain blueberry  
768,durban cheese,  durban poison ,  cheese  
769,durban cookies,  durban poison ,  og kush  
770,durban poison,african,
771,durban princess,  durban poison ,  jack herer  
772,durga mata,south asian indica,
773,dutch 47,  dutch treat ,  ak-47  
774,dutch crunch,  jack herer ,  dutch treat  
775,dutch dragon,african,
776,dutch dynasty,blue dream,
777,dutch hawaiian,  dutch treat ,  hawaiian sativa  
778,dutch hawaiian,  dutch treat ,  hawaiian  
779,dutch haze,haze,
780,dutch queen,  dutch treat ,  space queen  
781,dutch thunder fuck,  dutch treat ,  matanuska thunder fuck  
782,dutch treat haze,  dutch treat ,  super silver haze  
783,dutchberry,  dutch treat ,  dj short blueberry  
784,early glue rbx1,original glue,
785,early miss,  big bud ,  white widow  
786,dutch treat haze,  dutch treat ,  super silver haze  
787,dutchberry,  dutch treat ,  dj short blueberry  
788,early glue rbx1,original glue,
789,early miss,  big bud ,  white widow  
790,early skunk,  skunk no. 1 ,  early pearl  
791,earth og,  sour diesel ,  ghost og  
792,earthshaker og,og kush,
793,east coast alien,  east coast sour diesel ,  alien og  
794,east coast sour diesel,sour diesel,
795,easy peezy,  northern lights ,  haze  
796,ebola #7,  girl scout cookies ,  sfv og  
797,ecto cooler,  california orange ,  gorilla biscuit  
798,egyptian musk,  blueberry diesel ,  bubble gum  
799,el jefe,  abusive og ,  rare dankness #1  
800,el perro,  stardawg ,  true og  
801,elderberry kush,edelweiss,
802,electric black mamba,  black domina ,  purple diesel  
803,electric kool aid,  cherry pie ,  purple diesel  
804,electric lemon g,  northern lights #5 ,  g13  
805,electric lemonade,  tahoe og kush ,  blue dream  
806,elektra,acdc,
807,elmer's glue,  gorilla glue #4 ,  the white  
808,elphinstone,appalachia,
809,elvis,  ak-47 ,  skunk #1  
810,emerald jack,  jack herer ,  emerald og  
811,emerald og,fire og,
812,emperor cookie dough,girl scout cookies,
813,ether,alien dawg,
814,ethos apex,mandarin cookies,
815,euforia,skunk no. 1,
816,eugene cream,  hash plant ,  big bud  
817,euphoria cookies,girl scout cookies,
818,ether,alien dawg,
819,ethos apex,mandarin cookies,
820,euforia,skunk no. 1,
821,eugene cream,  hash plant ,  big bud  
822,euphoria cookies,girl scout cookies,
823,exodus cheese,skunk no. 1,
824,extreme cream,  extreme og ,  cookies and cream  
825,extreme og,  fire og ,  green ribbon  
826,f 13 throwback,  f 13 ,  blueberry  
827,f'n louzer," ""bloo s kloos""",  white rhino  
828,face off bx2,face off og,
829,face off og,og kush,
830,face on fire,  white fire 43 ,  face off og  
831,faded glory,blueberry blast,
832,fall ‘97,  purple urkle ,  og kush  
833,false teeth,  grandpa’s breath ,  candyland  
834,fat nelson,  sour willie ,  gupta kush  
835,fat purple,  purple rhino ,  g13  
836,fauxsido,do-si-dos,
837,faygo red pop,afghani,
838,fighting buddha,blueberry,
839,fire alien kush,  fire og ,  alien kush  
840,fire alien master,fire alien kush,
841,fire alien romulan,  romulan ,  fire alien kush  
842,fire alien strawberry,  strawberry cough ,  fire alien kush  
843,fire alien urkle,  purple urkle ,  fire alien kush  
844,fire og,  sfv og kush ,  og kush  
845,firewalker og,  skywalker ,  fire og  
846,first 48,the white,
847,first light,blueberry,
848,flaming cookies,  girl scout cookies ,  fire og  
849,flo,  purple thai ,  afghani  
850,flo limone,flo,
851,flo og,  flo ,  rare dankness #1  
852,flo walker,  skywalker og ,  flo  
853,flowerbomb kush,  green crack ,  og kush  
854,flowers for algernon,sour diesel,
855,forbidden zkittlez,forbidden fruit,
856,fortune cookies,  girl scout cookies ,  og kush  
857,forum cut cookies s1,gsc,
858,flowers for algernon,sour diesel,
859,forbidden zkittlez,forbidden fruit,
860,fortune cookies,  girl scout cookies ,  og kush  
861,forum cut cookies s1,gsc,
862,four star general,  stardawg ,  tres dawg  
863,four way,  skunk no. 1 ,  afghani  
864,frank's gift,skunk haze,
865,fred flipn’ stoned," ""straight a s haze""",  pink champagne  
866,frida,acdc,
867,frisian dew,  purple star ,  super skunk  
868,frisian duck,frisian dew,
869,frosted cherry cookies,  cherry cookies ,  the white  
870,frosted freak,brand x,
871,frosty jesus,  og kush ,  jesus og  
872,fruit crusher,  lemon skunk ,  lsd  
873,fruit loop og,  irene og ,  face off og  
874,fruit spirit,  blueberry ,  white widow  
875,fruity chronic juice,  white widow ,  chronic  
876,fruity juice,  afghani ,  thai  
877,fruity widow,  blueberry ,  white widow  
878,fruitylicious,  blueberry ,  hashberry  
879,full moon,thai,
880,funfetti,  cherry pie ,  animal cookies  
881,funky monkey,  grape ape ,  mendocino purps  
882,future,  starfighter ,  gorilla glue #4  
883,fuzzy navel,  peaches and cream ,  purple punch  
884,g.1000,  white cookies ," ""bloo s kloos"" "
885,g13 diesel,  g13 ,  east coast sour diesel  
886,g13 haze,  g13 ,  haze  
887,g13 widow,  g13 ,  white widow  
888,gdp electric,  granddaddy purple ,  kaua’i electric  
889,gmo cookies,  chemdog ,  gsc  
890,griz kush,  pakistani chitral kush ,  tangerine haze  
891,gsc,  durban poison ,  og kush  
892,gto,  golden goat ,  triangle kush  
893,gabriel sherbet,  champagne kush ,  blackberry  
894,galactic jack,  jack herer ,  space queen  
895,gdp electric,  granddaddy purple ,  kaua’i electric  
896,gmo cookies,  chemdog ,  gsc  
897,griz kush,  pakistani chitral kush ,  tangerine haze  
898,gsc,  durban poison ,  og kush  
899,gto,  golden goat ,  triangle kush  
900,gabriel sherbet,  champagne kush ,  blackberry  
901,galactic jack,  jack herer ,  space queen  
902,galactica og,  saturn og ,  jedi kush  
903,game changer,  purple dragon ,  thai  
904,gammaberry,bruce banner,
905,gandalf og,  skywalker og ,  king louis xiii  
906,garlic bud,afghani,
907,gas mask,  cherry pie ,  alien kush  
908,gaswerx,  chemdog 91 ,  ghost og  
909,gelato,  sunset sherbet ,  thin mint gsc  
910,gelato #33,  sunset sherbet ,  thin mint gsc  
911,georgia pine,willy s wonder,
912,ghetto bird,  ice queen ,  blue heron  
913,ghost cookies,  ghost og ,  girl scout cookies  
914,ghost og,og kush,
915,ghost og moonshine,blue moonshine,
916,ghost rider og,  the white ,  biker kush  
917,ghost tange haze,  bubble gum ,  ghost train haze  
918,ghost train haze,  ghost og ," ""nevil s wreck"" "
919,ghostbreath,  ghost og ,  mendo breath  
920,gigabud,  big bud ,  northern lights  
921,gilz nilz,  the white ,  georgia pine  
922,glad max,caramelicious,
923,glass apple,  pineapple express ,  glass slipper  
924,glass slipper,  cinderella 99 ,  pineapple  
925,glue tech,  gorilla glue #4 ,  alien technology  
926,gluechee,  original glue ,  cheese  
927,goat head,  golden goat ,  headband  
928,gobbstopper,  purple urkle ,  sin city kush  
929,god bud,  hawaiian ,  purple skunk  
930,god bud,  hawaiian ,  purple skunk  
931,god's green crack,  green crack ,  god bud  
932,godberry,blueberry,
933,godfather og,  xxx og ,  alpha og  
934,godzilla,god bud,
935,godzilla glue,  gg #4 ,  kona gold  
936,god's bubba,  god bud ,  pre-98 bubba kush  
937,god's treat,  dutch treat ,  god bud  
938,godberry,blueberry,
939,godfather og,  xxx og ,  alpha og  
940,godzilla,god bud,
941,godzilla glue,  gg #4 ,  kona gold  
942,god's bubba,  god bud ,  pre-98 bubba kush  
943,god's treat,  dutch treat ,  god bud  
944,goji diesel,goji og,
945,gold star,  sensi star ,  malawi gold  
946,goldberry,  pot of gold ,  blueberry  
947,golden calyx,  golden goat ,  grape calyx  
948,golden gage,golden goat,
949,golden lemon,  kosher kush ,  lemon skunk  
950,golden nugget,  stardawg ,  golden goat  
951,golden panda,golden pineapple,
952,golden pineapple,  golden goat ,  pineapple kush  
953,golden soda,  grape soda ,  golden goat  
954,golden state banana,  ghost og ,  banana kush  
955,golden tangie,  golden goat ,  tangie  
956,golden ticket,  golden goat ,  face off og  
957,golden tiger,malawi,
958,gooberry,  afgoo ,  blueberry  
959,gorilla biscuit,  sensi star ,  stardawg  
960,gorilla breath,  original glue ,  ogkb  
961,gorilla cookies,  gorilla glue #4 ,  thin mint girl scout cookies  
962,gorilla girl,  gg4 ,  thin mint gsc  
963,gorilla grips,  gorilla glue #4 ,  blue power  
964,gorilla snacks,  gg4 ,  scooby snacks  
965,gorkle,  the fork ,  rebel god smoke  
966,government mule,  g13 ,  deep chunk  
967,grand doggy purps,  granddaddy purple ,  chemdawg  
968,grand hindu,  granddaddy purple ,  hindu kush  
969,grand hustle,  afgoo ,  green crack  
970,granddaddy purple,  purple urkle ,  big bud  
971,granddaddy wonder,granddaddy purple,
972,grandma anderson’s cookies,gsc,
973,grandma’s batch,  candyland ,  girl scout cookies  
974,grandma’s sugar cookies,girl scout cookies,
975,grandpa larry og,  granddaddy purple ,  larry og  
976,granola funk,  gsc ,  wookie  
977,grape bubba,  purple urkle ,  bubba kush  
978,grape calyx,pineapple purple skunk,
979,grape candy,purple pantera,
980,grape cookies,  girl scout cookies ,  grape kush  
981,granola funk,  gsc ,  wookie  
982,grape bubba,  purple urkle ,  bubba kush  
983,grape calyx,pineapple purple skunk,
984,grape candy,purple pantera,
985,grape cookies,  girl scout cookies ,  grape kush  
986,grape dawg,  lemon kush ,  alien dawg  
987,grape drink,  kimbo kush ,  grape god  
988,grape god,  god bud ,  grapefruit  
989,grape god bud,  grapefruit ,  god bud  
990,grape inferno,querkle,
991,grape krush,blueberry,
992,grape krush throwback,  grape krush ,  blueberry  
993,grape kush,  pre-98 bubba kush ,  romulan grapefruit  
