,category,strain
586,hybrid,burmese kush
587,hybrid,burnt cookies
588,indica,butter og
589,indica,butterscotch
590,sativa,buzz bomb
591,sativa,c13 haze
592,hybrid,c3
593,hybrid,c3po
594,hybrid,c4
595,hybrid,cbd blue shark
596,indica,cbd critical cure
597,indica,cbd critical mass
598,hybrid,cbd kush
599,sativa,cbd lilly
600,sativa,cbd mango haze
601,hybrid,cbd og
602,indica,cbd ox
603,sativa,cbd rich blessing
604,indica,cbd shark
605,indica,chr super og
606,hybrid,csg
607,hybrid,cabbage patch
608,hybrid,caboose
609,hybrid,cackleberry
610,indica,cactus
611,hybrid,cactus cooler
612,indica,cadillac cookies
613,indica,cadillac purple
614,hybrid,cali dragon
615,hybrid,cali gold
616,hybrid,cali jack
617,hybrid,cali kush
618,indica,california grapefruit
619,indica,california hash plant
620,sativa,california limes
621,hybrid,california love og
622,hybrid,california orange
623,hybrid,california sour
624,hybrid,cali jack
625,hybrid,cali kush
626,indica,california grapefruit
627,indica,california hash plant
628,sativa,california limes
629,hybrid,california love og
630,hybrid,california orange
631,hybrid,california sour
632,hybrid,california sour diesel
633,hybrid,calyx og
634,sativa,cambodian
635,sativa,cambodian haze
636,hybrid,candy apple
637,indica,candy cane
638,sativa,candy jack
639,sativa,candyland
640,hybrid,candyland cookies
641,hybrid,candyland x chernobyl
642,hybrid,canna tsu
643,sativa,canna wreck
644,indica,cannasutra
645,hybrid,cannadential
646,sativa,cannalope haze
647,hybrid,cannalope kush
648,hybrid,cannatonic
649,indica,capers
650,hybrid,capleton
651,hybrid,captain america og
652,hybrid,captains cake
653,hybrid,caramel cake
654,hybrid,caramel candy kush
655,hybrid,caramel kona coffee cookies
656,indica,caramel kona coffee kush
657,hybrid,caramelicious
658,indica,caramella
659,sativa,caramelo
660,hybrid,carl sagan
661,hybrid,carmel cough
662,indica,casper og
663,sativa,cat piss
664,hybrid,cataract kush
665,sativa,catfish
666,hybrid,cello sweet og
667,sativa,central american
668,sativa,cerebro haze
669,hybrid,chairman chem sou
670,hybrid,champagne diesel
671,hybrid,champagne kush
672,hybrid,charlie sheen
673,sativa,charlottes web
674,hybrid,cheese
675,sativa,central american
676,sativa,cerebro haze
677,hybrid,chairman chem sou
678,hybrid,champagne diesel
679,hybrid,champagne kush
680,hybrid,charlie sheen
681,sativa,charlottes web
682,hybrid,cheese
683,hybrid,cheese candy
684,hybrid,cheese quake
685,hybrid,cheeseburger
686,hybrid,cheesewreck
687,indica,chef kush
688,hybrid,chem berry diesel
689,hybrid,chem beyond diesel cbd
690,hybrid,chem crush
691,indica,chem dog
692,hybrid,chem jack
693,hybrid,chem jong ill
694,hybrid,chem kesey
695,indica,chem scout
696,hybrid,chem valley kush
697,sativa,chems sister
698,hybrid,chemwreck
699,hybrid,chemdawg sour diesel
700,hybrid,chemdawg
701,hybrid,chemdawg 4 x alien og kush
702,hybrid,chemdawg 4
703,hybrid,chemdawg 91
704,hybrid,chemmy jones
705,hybrid,chemnesia
706,indica,chemo
707,hybrid,cherwillie
708,hybrid,chernobyl
709,indica,cherries jubilee
710,hybrid,cherry ak 47
711,hybrid,cherry bomb
712,hybrid,cherry cookies
713,hybrid,cherry cream pie
714,hybrid,cherry diesel
715,hybrid,cherry durban poison
716,hybrid,cherry fire
717,hybrid,cherry fuel
718,hybrid,cherry grapefruit
719,indica,cherry kola
720,hybrid,cherry kush
721,hybrid,cherry limeade
722,indica,cherry mender
723,hybrid,cherry og
724,hybrid,cherry pie
725,hybrid,cherry pie kush
726,hybrid,cherry sauce
727,hybrid,cherry sherbet
728,hybrid,cherry skunk
729,hybrid,cherry slyder
730,hybrid,cherry thunder fuck
731,hybrid,cherry og
732,hybrid,cherry pie
733,hybrid,cherry pie kush
734,hybrid,cherry sauce
735,hybrid,cherry sherbet
736,hybrid,cherry skunk
737,hybrid,cherry slyder
738,hybrid,cherry thunder fuck
739,hybrid,cherry vanilla cookies
740,hybrid,cherry wine
741,hybrid,chicle
742,hybrid,chiesel
743,indica,china yunnan
744,hybrid,chiquita banana
745,hybrid,chloe
746,hybrid,chocoholic
747,hybrid,chocolate cheesecake
748,indica,chocolate chunk
749,sativa,chocolate diesel
750,hybrid,chocolate drop
751,sativa,chocolate fondue
752,indica,chocolate glue
753,hybrid,chocolate hashberry
754,indica,chocolate kush
755,hybrid,chocolate lava
756,indica,chocolate meringue
757,hybrid,chocolate mint og
758,indica,chocolate og
759,hybrid,chocolate rain
760,hybrid,chocolate sap
761,sativa,chocolate skunk
762,sativa,chocolate thai
763,sativa,chocolate thunder
764,hybrid,chocolate tonic
765,hybrid,chocolony
766,sativa,chocolope
767,hybrid,chocolope kush
768,hybrid,chong star
769,hybrid,chronic
770,indica,chronic thunder
771,hybrid,chuck og
772,hybrid,chuckys bride
773,hybrid,chunky diesel
774,hybrid,chupacabra
775,indica,church og
776,hybrid,cinderella 99
777,hybrid,cinderellas dream
778,hybrid,cindy haze
779,hybrid,cindy white
780,sativa,cinex
781,sativa,cirrus
782,hybrid,citradelic sunset
783,hybrid,citral glue
784,hybrid,citral skunk
785,hybrid,citrix
786,hybrid,citrus kush
787,hybrid,cindy white
788,sativa,cinex
789,sativa,cirrus
790,hybrid,citradelic sunset
791,hybrid,citral glue
792,hybrid,citral skunk
793,hybrid,citrix
794,hybrid,citrus kush
795,sativa,citrus punch
796,hybrid,citrus rush
797,hybrid,citrus sap
798,hybrid,citrus sunshine haze
799,hybrid,city of god
800,sativa,clementine
801,hybrid,clementine kush
802,hybrid,clementines terpentine
803,hybrid,clockwork orange
804,hybrid,cloud 9
805,hybrid,cloudcap
806,indica,club 69
807,hybrid,cluster bomb
808,hybrid,cluster funk
809,hybrid,cobbler
810,hybrid,cobra lips
811,hybrid,cocoa kush
812,hybrid,coconut oil
813,hybrid,cold creek kush
814,hybrid,colin og s1
815,hybrid,collie man kush
816,sativa,colombian gold
817,sativa,colombian mojito
818,indica,colorado bubba
819,hybrid,colorado chem
820,hybrid,colorado chem rbx3
821,indica,colorado clementines
822,hybrid,comfortably dumb
823,indica,commerce city kush
824,hybrid,concord cream
825,hybrid,concord grape blockhead
826,indica,confidential cheese
827,indica,confidential cookies
828,hybrid,confidential wreck
829,sativa,congo
830,hybrid,connie chung
831,indica,conspiracy kush
832,hybrid,cookie breath
833,hybrid,cookie dough
834,hybrid,cookie jar
835,indica,cookie monster
836,hybrid,cookie puss
837,hybrid,cookie wreck
838,indica,cookies kush
839,hybrid,cookies and cream
840,hybrid,cookies and dream
841,indica,copper kush
842,indica,corleone kush
843,indica,cookie monster
844,hybrid,cookie puss
845,hybrid,cookie wreck
846,indica,cookies kush
847,hybrid,cookies and cream
848,hybrid,cookies and dream
849,indica,copper kush
850,indica,corleone kush
851,hybrid,corleone kush the don cut
852,indica,cornbread
853,sativa,cosmic collision
854,hybrid,cotton candy kush
855,hybrid,cotton purple chem
856,hybrid,cougar milk
857,hybrid,cowboy kush
858,hybrid,coyote art
859,sativa,cracker jack
860,hybrid,crater lake
861,hybrid,crazy miss hyde
862,indica,cream caramel
863,hybrid,crimea blue
864,hybrid,critical 47
865,hybrid,critical bilbo
866,hybrid,critical cheese
867,hybrid,critical haze
868,indica,critical hog
869,hybrid,critical jack
870,sativa,critical kali mist
871,indica,critical kush
872,indica,critical mass
873,hybrid,critical plus
874,indica,critical plus 20
875,indica,critical sensi star
876,hybrid,critical skunk
877,hybrid,critical widow
878,hybrid,critters cookies
879,hybrid,crocketts haze
880,hybrid,cronuts
881,indica,crosswalker
882,indica,crouching tiger hidden alien
883,indica,crown og
884,indica,crown royale
885,sativa,crumbled lime
886,hybrid,crunch berry kush
887,hybrid,crypt
888,sativa,crystal coma
889,hybrid,crystal gayle
890,indica,crystalberry
891,indica,cuvee
892,hybrid,cypress og
893,sativa,dj andy williams
894,indica,dj short blueberry
895,hybrid,dj smoke
896,hybrid,dagwood
897,hybrid,dairy queen
898,indica,dakini kush
899,indica,cuvee
900,hybrid,cypress og
901,sativa,dj andy williams
902,indica,dj short blueberry
903,hybrid,dj smoke
904,hybrid,dagwood
905,hybrid,dairy queen
906,indica,dakini kush
907,sativa,damn sour
908,hybrid,damnesia
909,sativa,dance world
910,hybrid,dancehall
911,indica,dank schrader
912,hybrid,dank sinatra
913,indica,double d
914,hybrid,dark blue dream
915,hybrid,dark shadow haze
916,indica,dark side of the moon
917,indica,dark star
918,indica,darkside og
919,indica,darth vader og
920,hybrid,dawgs waltz
921,hybrid,dawgfather og
922,hybrid,day tripper
