,strain,flavor_1,flavor_2,flavor_3
110,alien stardawg, 1. pepper, 2. citrus, 3. diesel 
111,alien technology, 1. earthy, 2. spicy/herbal, 3. woody 
112,alien walker, 1. earthy, 2. citrus, 3. pine 
113,aliens on moonshine, 1. citrus, 2. earthy, 3. diesel 
114,allen iverson og, 1. earthy ,,
115,allen wrench, 1. pungent, 2. earthy, 3. citrus 
116,allkush, 1. spicy/herbal, 2. honey, 3. earthy 
117,aloha, 1. citrus, 2. tropical, 3. sweet 
118,aloha grape stomper, 1. blueberry, 2. grape, 3. tree fruit 
119,aloha limone, 1. lemon, 2. citrus, 3. earthy 
120,alohaberry, 1. berry, 2. sweet, 3. citrus 
121,alpha blue, 1. sweet, 2. diesel, 3. berry 
122,alpha express, 1. diesel, 2. spicy/herbal, 3. berry 
123,alpha og, 1. earthy, 2. pungent, 3. pine 
124,alpine blue, 1. berry, 2. earthy, 3. honey 
125,alpine star, 1. earthy, 2. pine, 3. woody 
126,ambrosia, 1. flowery, 2. sage, 3. tree fruit 
127,american beauty, 1. mango, 2. peach, 3. tropical 
128,american dream, 1. skunk, 2. earthy, 3. pungent 
129,american kush, 1. sweet, 2. coffee, 3. spicy/herbal 
130,american pie, 1. earthy, 2. pine, 3. sweet 
131,americano, 1. earthy, 2. diesel, 3. lemon 
132,amethyst, 1. sweet ,,
133,amethyst bud, 1. berry, 2. woody, 3. sweet 
134,amherst sour diesel, 1. earthy, 2. flowery, 3. pungent 
135,amnesi k lemon, 1. sweet, 2. tropical, 3. citrus 
136,amnesia, 1. earthy, 2. citrus, 3. lemon 
137,amnesia ganja haze, 1. spicy/herbal, 2. sweet, 3. tropical 
138,amnesia haze, 1. citrus, 2. earthy, 3. lemon 
139,amnesia og, 1. diesel, 2. cheese, 3. citrus 
140,ancient kush, 1. cheese, 2. skunk, 3. citrus 
141,ancient og, 1. pine, 2. lemon, 3. citrus 
142,anesthesia, 1. earthy, 2. pungent, 3. woody 
143,angel og, 1. pungent, 2. berry, 3. diesel 
144,animal blues, 1. earthy, 2. chestnut, 3. sweet 
145,animal gas, 1. diesel, 2. chemical, 3. earthy 
146,animal sherbert, 1. earthy, 2. nutty, 3. pungent 
147,anonymous og, 1. earthy, 2. citrus, 3. diesel 
148,anubis, 1. grape, 2. lime, 3. citrus 
149,ape shit, 1. grape, 2. sweet, 3. blueberry 
150,apollo 11, 1. citrus, 2. pine, 3. pungent 
151,apollo 13, 1. earthy, 2. pungent, 3. woody 
152,apollo 13 haze, 1. citrus, 2. earthy, 3. flowery 
153,apollo haze, 1. cheese, 2. chemical, 3. citrus 
154,appalachia, 1. skunk, 2. earthy, 3. pine 
155,appalachian power, 1. grape, 2. tropical, 3. citrus 
156,apple jack, 1. apple, 2. earthy, 3. sweet 
157,apple kush, 1. apple, 2. diesel, 3. sweet 
158,apollo 11, 1. citrus, 2. pine, 3. pungent 
159,apollo 13, 1. earthy, 2. pungent, 3. woody 
160,apollo 13 haze, 1. citrus, 2. earthy, 3. flowery 
161,apollo haze, 1. cheese, 2. chemical, 3. citrus 
162,appalachia, 1. skunk, 2. earthy, 3. pine 
163,appalachian power, 1. grape, 2. tropical, 3. citrus 
164,apple jack, 1. apple, 2. earthy, 3. sweet 
165,apple kush, 1. apple, 2. diesel, 3. sweet 
166,appleberry, 1. apple, 2. flowery, 3. blueberry 
167,arctic sun, 1. ammonia, 2. skunk ,
168,arcticblue, 1. blueberry, 2. sweet, 3. earthy 
169,area 51, 1. pungent, 2. sweet, 3. lavender 
