,strain,flavor_1,flavor_2,flavor_3
474,booger, 1. sweet, 2. berry, 3. pungent 
475,boombaye, 1. tea, 2. woody ,
476,bootlegger, 1. earthy, 2. pungent, 3. berry 
477,bootylicious, 1. earthy, 2. sweet ,
478,bordello, 1. cheese, 2. earthy, 3. sweet 
479,boss hogg, 1. earthy, 2. pine, 3. citrus 
480,boss og, 1. diesel, 2. earthy, 3. pine 
481,boysenberry, 1. earthy, 2. blueberry, 3. berry 
482,brain candy, 1. sweet ,,
483,brains damage, 1. earthy, 2. woody, 3. sweet 
484,brainstorm haze, 1. spicy/herbal, 2. sweet, 3. earthy 
485,brainwreck, 1. citrus, 2. earthy, 3. sweet 
486,brand x, 1. pine, 2. earthy, 3. tar 
487,brandywine, 1. earthy, 2. flowery, 3. berry 
488,brazil amazonia, 1. spicy/herbal, 2. berry, 3. citrus 
489,brian berry cough, 1. strawberry, 2. berry, 3. sweet 
490,bright fire, 1. pungent, 2. earthy, 3. chestnut 
491,bright moments, 1. flowery, 2. woody, 3. earthy 
492,brooklyn mango, 1. mango, 2. tropical, 3. citrus 
493,bruce banner, 1. earthy, 2. sweet, 3. diesel 
494,bruce banner 3, 1. sweet, 2. diesel, 3. earthy 
495,bubba berry, 1. pine, 2. earthy, 3. berry 
496,bubba doja, 1. earthy, 2. spicy/herbal ,
497,bubba fresh, 1. citrus, 2. coffee, 3. earthy 
498,bubba kush, 1. earthy, 2. pungent, 3. sweet 
499,bubba og, 1. sweet, 2. citrus, 3. tropical 
500,bubba tom hayes, 1. diesel, 2. sweet, 3. earthy 
501,bubba x skunk, 1. earthy, 2. tea, 3. diesel 
502,bubbas bitch, 1. earthy, 2. flowery, 3. rose 
503,bubbas gift, 1. earthy, 2. butter, 3. grapefruit 
504,bubble bomb, 1. flowery, 2. apricot, 3. earthy 
505,bubble cheese, 1. cheese, 2. earthy, 3. pungent 
506,bubble gum, 1. sweet, 2. flowery, 3. berry 
507,bubbleberry, 1. berry, 2. flowery, 3. skunk 
508,bubblegum kush, 1. sweet, 2. earthy, 3. berry 
509,bubblegun, 1. sweet, 2. earthy, 3. mint 
510,bubbas bitch, 1. earthy, 2. flowery, 3. rose 
511,bubbas gift, 1. earthy, 2. butter, 3. grapefruit 
512,bubble bomb, 1. flowery, 2. apricot, 3. earthy 
513,bubble cheese, 1. cheese, 2. earthy, 3. pungent 
514,bubble gum, 1. sweet, 2. flowery, 3. berry 
515,bubbleberry, 1. berry, 2. flowery, 3. skunk 
516,bubblegum kush, 1. sweet, 2. earthy, 3. berry 
517,bubblegun, 1. sweet, 2. earthy, 3. mint 
518,bubblicious, 1. sweet, 2. earthy, 3. berry 
519,buckeye purple, 1. grape, 2. flowery, 3. berry 
520,buddha haze, 1. earthy, 2. sweet, 3. spicy/herbal 
521,buddha tahoe, 1. earthy, 2. woody, 3. citrus 
522,buddhas hand, 1. citrus, 2. earthy, 3. lemon 
523,buddhas sister, 1. earthy, 2. woody, 3. spicy/herbal 
524,buddhas tooth, 1. citrus, 2. pine, 3. violet 
525,buffalo bill, 1. earthy, 2. pine, 3. woody 
526,bugatti og, 1. earthy, 2. pine, 3. diesel 
527,burkle, 1. sweet, 2. berry, 3. spicy/herbal 
528,burmese kush, 1. earthy, 2. pine, 3. woody 
529,butter og, 1. butter, 2. apple, 3. chemical 
530,butterscotch, 1. sweet, 2. woody, 3. earthy 
531,c13 haze, 1. earthy, 2. pungent, 3. chestnut 
532,c3po, 1. pine, 2. citrus, 3. pungent 
533,c4, 1. skunk, 2. citrus, 3. pine 
534,cbd blue shark, 1. berry, 2. tea, 3. earthy 
535,cbd critical cure, 1. pungent, 2. skunk, 3. earthy 
536,cbd critical mass, 1. earthy, 2. woody, 3. pepper 
537,cbd kush, 1. spicy/herbal, 2. pungent, 3. diesel 
538,cbd lilly, 1. spicy/herbal, 2. citrus ,
539,cbd og, 1. earthy, 2. flowery, 3. pine 
540,cbd ox, 1. flowery, 2. berry, 3. sweet 
541,cbd shark, 1. pine, 2. mint, 3. earthy 
542,chr super og, 1. apple, 2. diesel, 3. grape 
543,csg, 1. citrus, 2. diesel, 3. lavender 
544,cabbage patch, 1. earthy, 2. sweet, 3. berry 
545,cackleberry, 1. grape, 2. ammonia, 3. chemical 
546,cactus, 1. earthy, 2. sweet, 3. tea 
547,cactus cooler, 1. citrus, 2. earthy, 3. orange 
548,cadillac cookies, 1. sweet, 2. berry, 3. grapefruit 
549,cadillac purple, 1. grape, 2. pine, 3. earthy 
550,cali dragon, 1. pine, 2. woody, 3. citrus 
551,cali gold, 1. earthy, 2. pine, 3. lemon 
552,cali jack, 1. diesel, 2. skunk, 3. sweet 
553,cali kush, 1. pine, 2. earthy, 3. woody 
554,california grapefruit, 1. grapefruit, 2. citrus, 3. lime 
555,california hash plant, 1. citrus, 2. earthy, 3. lemon 
556,california limes, 1. grape, 2. lime, 3. orange 
557,california love og, 1. citrus, 2. chestnut, 3. pine 
558,california orange, 1. citrus, 2. orange, 3. sweet 
559,california sour, 1. diesel, 2. pungent, 3. flowery 
560,cali jack, 1. diesel, 2. skunk, 3. sweet 
561,cali kush, 1. pine, 2. earthy, 3. woody 
562,california grapefruit, 1. grapefruit, 2. citrus, 3. lime 
563,california hash plant, 1. citrus, 2. earthy, 3. lemon 
564,california limes, 1. grape, 2. lime, 3. orange 
565,california love og, 1. citrus, 2. chestnut, 3. pine 
566,california orange, 1. citrus, 2. orange, 3. sweet 
567,california sour, 1. diesel, 2. pungent, 3. flowery 
568,california sour diesel, 1. diesel, 2. pepper, 3. tar 
569,cambodian, 1. earthy, 2. tar, 3. woody 
570,cambodian haze, 1. citrus, 2. sweet, 3. earthy 
571,candy apple, 1. apple, 2. pineapple, 3. citrus 
572,candy cane, 1. sweet, 2. berry, 3. pine 
573,candy jack, 1. sweet, 2. pine, 3. citrus 
574,candyland, 1. sweet, 2. earthy, 3. pungent 
575,canna tsu, 1. earthy, 2. citrus, 3. pine 
576,canna wreck, 1. earthy, 2. flowery, 3. sweet 
577,cannasutra, 1. flowery, 2. pepper, 3. skunk 
578,cannadential, 1. woody, 2. sweet, 3. berry 
579,cannalope haze, 1. citrus, 2. mango, 3. tropical 
580,cannalope kush, 1. woody, 2. sweet, 3. earthy 
581,cannatonic, 1. earthy, 2. citrus, 3. woody 
582,capers, 1. pine, 2. pungent, 3. earthy 
583,capleton, 1. lavender, 2. skunk, 3. chemical 
584,captain america og, 1. citrus, 2. earthy, 3. sweet 
585,captains cake, 1. earthy, 2. sweet, 3. citrus 
586,caramel candy kush, 1. flowery, 2. skunk, 3. earthy 
587,caramel kona coffee kush, 1. coffee, 2. earthy, 3. vanilla 
588,caramelicious, 1. sweet, 2. vanilla, 3. honey 
589,caramella, 1. apple, 2. skunk, 3. earthy 
590,caramelo, 1. woody, 2. flowery, 3. earthy 
591,carl sagan, 1. sweet, 2. chemical, 3. tropical 
592,carmel cough, 1. berry, 2. sweet, 3. pungent 
593,carnival, 1. earthy, 2. pine ,
594,carpet tape, 1. diesel, 2. pungent, 3. citrus 
595,cascadia kush, 1. flowery, 2. sweet, 3. earthy 
596,casey jones, 1. earthy, 2. citrus, 3. diesel 
597,cashus clay, 1. berry, 2. earthy, 3. pine 
598,casper og, 1. earthy, 2. woody, 3. flowery 
599,cat piss, 1. pungent, 2. ammonia, 3. woody 
600,cataract kush, 1. pungent, 2. sweet, 3. spicy/herbal 
601,catfish, 1. lemon, 2. woody, 3. tobacco 
602,cello sweet og, 1. sweet, 2. honey, 3. pineapple 
603,central american, 1. earthy, 2. grape, 3. mango 
604,cerebro haze, 1. citrus, 2. diesel, 3. lemon 
605,chairman chem sou, 1. chemical, 2. citrus, 3. diesel 
606,champagne diesel, 1. sweet ,,
607,champagne kush, 1. lavender, 2. skunk, 3. earthy 
608,charlie sheen, 1. lemon, 2. earthy, 3. citrus 
609,charlottes web, 1. earthy, 2. woody, 3. flowery 
610,cheese, 1. cheese, 2. pungent, 3. earthy 
611,central american, 1. earthy, 2. grape, 3. mango 
612,cerebro haze, 1. citrus, 2. diesel, 3. lemon 
613,chairman chem sou, 1. chemical, 2. citrus, 3. diesel 
614,champagne diesel, 1. sweet ,,
615,champagne kush, 1. lavender, 2. skunk, 3. earthy 
616,charlie sheen, 1. lemon, 2. earthy, 3. citrus 
617,charlottes web, 1. earthy, 2. woody, 3. flowery 
618,cheese, 1. cheese, 2. pungent, 3. earthy 
619,cheese candy, 1. cheese, 2. sweet, 3. berry 
620,cheeseburger, 1. cheese, 2. earthy, 3. coffee 
621,cheesewreck, 1. cheese, 2. blue cheese, 3. pungent 
622,chef kush, 1. pineapple, 2. apple, 3. blue cheese 
623,chem berry diesel, 1. citrus, 2. strawberry ,
624,chem crush, 1. pungent, 2. earthy, 3. sweet 
625,chem dog, 1. earthy, 2. diesel, 3. citrus 
626,chem jack, 1. earthy, 2. flowery, 3. pine 
627,chem scout, 1. earthy, 2. skunk, 3. sweet 
628,chem valley kush, 1. earthy, 2. woody, 3. pine 
629,chems sister, 1. chemical, 2. diesel, 3. citrus 
630,chemwreck, 1. chemical, 2. pungent, 3. earthy 
631,chemdawg sour diesel, 1. earthy, 2. diesel, 3. chemical 
632,chemdawg, 1. diesel, 2. earthy, 3. chemical 
633,chemdawg 4 x alien og kush, 1. diesel, 2. skunk, 3. chemical 
634,chemdawg 4, 1. earthy, 2. pine, 3. chemical 
635,chemdawg 91, 1. chemical, 2. pungent, 3. diesel 
636,chemmy jones, 1. lavender, 2. diesel, 3. apple 
637,chemnesia, 1. grapefruit, 2. pungent, 3. citrus 
638,chemo, 1. tropical, 2. sweet, 3. citrus 
639,cherwillie, 1. citrus, 2. sweet, 3. earthy 
640,chernobyl, 1. lime, 2. citrus, 3. lemon 
641,cherries jubilee, 1. tree fruit, 2. berry, 3. sweet 
642,cherry ak 47, 1. pungent, 2. berry, 3. flowery 
643,cherry bomb, 1. earthy, 2. flowery, 3. tropical 
644,cherry cookies, 1. flowery, 2. berry, 3. earthy 
645,cherry cream pie, 1. earthy, 2. pine, 3. sweet 
646,cherry diesel, 1. diesel, 2. berry, 3. sweet 
647,cherry durban poison, 1. sweet, 2. berry, 3. citrus 
648,cherry fire, 1. citrus, 2. flowery, 3. strawberry 
649,cherry fuel, 1. citrus ,,
650,cherry grapefruit, 1. apple, 2. apricot, 3. earthy 
651,cherry kola, 1. earthy, 2. berry, 3. tree fruit 
652,cherry kush, 1. sweet, 2. berry, 3. earthy 
653,cherry limeade, 1. lime, 2. berry, 3. sweet 
654,cherry mender, 1. sweet, 2. earthy, 3. tea 
655,cherry og, 1. earthy, 2. berry, 3. sweet 
656,cherry pie, 1. sweet, 2. berry, 3. earthy 
657,cherry pie kush, 1. sweet, 2. earthy, 3. pungent 
658,cherry sauce, 1. spicy/herbal, 2. sweet, 3. citrus 
659,cherry sherbet, 1. sweet, 2. berry, 3. flowery 
660,cherry skunk, 1. sweet, 2. berry, 3. earthy 
661,cherry slyder, 1. sweet, 2. berry, 3. flowery 
662,cherry thunder fuck, 1. woody, 2. pungent, 3. sweet 
663,cherry og, 1. earthy, 2. berry, 3. sweet 
664,cherry pie, 1. sweet, 2. berry, 3. earthy 
665,cherry pie kush, 1. sweet, 2. earthy, 3. pungent 
666,cherry sauce, 1. spicy/herbal, 2. sweet, 3. citrus 
667,cherry sherbet, 1. sweet, 2. berry, 3. flowery 
668,cherry skunk, 1. sweet, 2. berry, 3. earthy 
669,cherry slyder, 1. sweet, 2. berry, 3. flowery 
670,cherry thunder fuck, 1. woody, 2. pungent, 3. sweet 
671,cherry vanilla cookies, 1. sweet, 2. earthy, 3. pine 
672,cherry wine, 1. woody, 2. berry, 3. flowery 
673,chicle, 1. diesel, 2. sweet, 3. ammonia 
674,chiesel, 1. cheese, 2. diesel, 3. earthy 
675,china yunnan, 1. sweet, 2. earthy, 3. cheese 
676,chiquita banana, 1. tropical, 2. sweet, 3. tree fruit 
677,chloe, 1. earthy, 2. pepper, 3. citrus 
678,chocoholic, 1. vanilla ,,
679,chocolate cheesecake, 1. butter, 2. cheese, 3. flowery 
680,chocolate chunk, 1. coffee, 2. earthy, 3. butter 
681,chocolate diesel, 1. diesel, 2. earthy, 3. flowery 
682,chocolate drop, 1. earthy, 2. vanilla ,
683,chocolate fondue, 1. sweet, 2. coffee, 3. cheese 
684,chocolate glue, 1. diesel, 2. flowery, 3. pungent 
685,chocolate hashberry, 1. berry, 2. earthy, 3. flowery 
686,chocolate kush, 1. earthy, 2. woody, 3. diesel 
687,chocolate lava, 1. earthy ,,
688,chocolate mint og, 1. mint, 2. vanilla, 3. earthy 
689,chocolate og, 1. earthy, 2. nutty, 3. sweet 
690,chocolate rain, 1. coffee, 2. sweet, 3. vanilla 
691,chocolate sap, 1. chemical, 2. citrus, 3. skunk 
692,chocolate skunk, 1. skunk ,,
693,chocolate thai, 1. woody, 2. coffee, 3. earthy 
694,chocolate thunder, 1. honey, 2. nutty, 3. apricot 
695,chocolope kush, 1. earthy, 2. pungent, 3. woody 
696,chong star, 1. honey, 2. earthy, 3. skunk 
697,chronic, 1. earthy, 2. pungent, 3. spicy/herbal 
698,chronic thunder, 1. pungent, 2. earthy, 3. diesel 
699,chuckys bride, 1. tropical, 2. pungent, 3. cheese 
700,chunky diesel, 1. diesel, 2. earthy, 3. chestnut 
701,chupacabra, 1. pungent, 2. vanilla, 3. tree fruit 
702,church og, 1. earthy, 2. skunk, 3. butter 
703,cinderella 99, 1. earthy, 2. citrus, 3. sweet 
704,cinderellas dream, 1. sweet, 2. citrus, 3. earthy 
705,cindy white, 1. earthy, 2. pungent, 3. woody 
706,cinex, 1. earthy, 2. citrus, 3. pungent 
707,cirrus, 1. earthy, 2. citrus, 3. flowery 
708,citradelic sunset, 1. berry, 2. sweet, 3. pine 
709,citral glue, 1. citrus, 2. lemon, 3. skunk 
710,citral skunk, 1. citrus, 2. lemon, 3. flowery 
711,citrix, 1. citrus, 2. orange, 3. grapefruit 
712,citrus kush, 1. citrus, 2. sweet, 3. orange 
713,cindy white, 1. earthy, 2. pungent, 3. woody 
714,cinex, 1. earthy, 2. citrus, 3. pungent 
715,cirrus, 1. earthy, 2. citrus, 3. flowery 
716,citradelic sunset, 1. berry, 2. sweet, 3. pine 
717,citral glue, 1. citrus, 2. lemon, 3. skunk 
718,citral skunk, 1. citrus, 2. lemon, 3. flowery 
719,citrix, 1. citrus, 2. orange, 3. grapefruit 
720,citrus kush, 1. citrus, 2. sweet, 3. orange 
721,citrus punch, 1. citrus, 2. earthy, 3. orange 
722,citrus rush, 1. tropical, 2. orange, 3. skunk 
723,citrus sap, 1. citrus, 2. earthy, 3. spicy/herbal 
724,citrus sunshine haze, 1. lemon, 2. citrus, 3. orange 
725,city of god, 1. diesel, 2. earthy ,
726,clementine, 1. citrus, 2. orange, 3. lemon 
727,clementine kush, 1. citrus, 2. lemon, 3. earthy 
728,clementines terpentine, 1. pine, 2. citrus, 3. earthy 
729,clockwork orange, 1. citrus, 2. lemon, 3. orange 
730,cloud 9, 1. woody, 2. tar, 3. chemical 
731,cloudcap, 1. berry, 2. coffee, 3. earthy 
732,club 69, 1. flowery, 2. grape, 3. strawberry 
733,cluster bomb, 1. citrus, 2. sweet, 3. tropical 
734,cobra lips, 1. chemical, 2. pear ,
735,coconut oil, 1. flowery, 2. pungent, 3. tropical 
736,cold creek kush, 1. flowery, 2. woody, 3. sweet 
737,colin og s1, 1. diesel, 2. earthy, 3. skunk 
738,colombian gold, 1. citrus, 2. earthy, 3. lemon 
739,colombian mojito, 1. citrus, 2. pine, 3. mint 
740,colorado bubba, 1. blue cheese, 2. nutty, 3. pine 
741,colorado chem, 1. pine, 2. mint, 3. menthol 
742,colorado clementines, 1. citrus, 2. lemon, 3. spicy/herbal 
743,commerce city kush, 1. earthy, 2. diesel, 3. flowery 
744,concord cream, 1. earthy, 2. flowery, 3. grape 
745,concord grape blockhead, 1. grape, 2. sweet ,
746,confidential cheese, 1. cheese, 2. earthy, 3. pungent 
747,confidential cookies, 1. earthy, 2. pungent, 3. sweet 
748,confidential wreck, 1. citrus, 2. earthy, 3. sweet 
749,congo, 1. tropical, 2. ammonia, 3. diesel 
750,connie chung, 1. sweet, 2. tea, 3. pungent 
751,conspiracy kush, 1. woody, 2. citrus, 3. lemon 
752,cookie breath, 1. earthy, 2. flowery, 3. mint 
753,cookie dough, 1. sweet, 2. lemon, 3. earthy 
754,cookie jar, 1. earthy, 2. sweet, 3. flowery 
755,cookie monster, 1. citrus, 2. vanilla, 3. butter 
756,cookie puss, 1. earthy, 2. citrus, 3. diesel 
757,cookie wreck, 1. sweet, 2. vanilla, 3. earthy 
758,cookies and dream, 1. citrus, 2. pungent, 3. sweet 
759,copper kush, 1. earthy, 2. pine, 3. pungent 
760,corleone kush, 1. spicy/herbal, 2. earthy, 3. pungent 
761,cookie monster, 1. citrus, 2. vanilla, 3. butter 
762,cookie puss, 1. earthy, 2. citrus, 3. diesel 
763,cookie wreck, 1. sweet, 2. vanilla, 3. earthy 
764,cookies and dream, 1. citrus, 2. pungent, 3. sweet 
765,copper kush, 1. earthy, 2. pine, 3. pungent 
766,corleone kush, 1. spicy/herbal, 2. earthy, 3. pungent 
767,cornbread, 1. spicy/herbal, 2. woody, 3. earthy 
768,cosmic collision, 1. sweet, 2. woody, 3. citrus 
769,cotton candy kush, 1. sweet, 2. lavender, 3. flowery 
770,cotton purple chem, 1. sweet, 2. earthy, 3. berry 
771,cowboy kush, 1. woody, 2. blueberry, 3. flowery 
772,cracker jack, 1. pine, 2. pungent, 3. chemical 
773,crater lake, 1. citrus, 2. chemical, 3. lemon 
774,crazy miss hyde, 1. earthy, 2. sweet, 3. citrus 
775,cream caramel, 1. citrus, 2. earthy, 3. lemon 
776,crimea blue, 1. blueberry, 2. flowery, 3. sweet 
777,critical 47, 1. earthy, 2. mango, 3. skunk 
778,critical bilbo, 1. earthy, 2. pine, 3. rose 
779,critical cheese, 1. cheese, 2. sweet, 3. orange 
780,critical haze, 1. citrus, 2. earthy, 3. spicy/herbal 
781,critical hog, 1. skunk, 2. tobacco, 3. earthy 
782,critical jack, 1. citrus, 2. woody, 3. pine 
783,critical kali mist, 1. earthy, 2. pine, 3. sweet 
784,critical kush, 1. earthy, 2. woody, 3. pungent 
785,critical mass, 1. earthy, 2. sweet, 3. woody 
786,critical plus, 1. pungent, 2. citrus, 3. tea 
787,critical plus 20, 1. flowery, 2. lemon, 3. spicy/herbal 
788,critical sensi star, 1. lemon, 2. grapefruit, 3. pine 
789,critical skunk, 1. skunk, 2. earthy, 3. flowery 
790,critical widow, 1. sweet, 2. earthy, 3. pungent 
791,critters cookies, 1. earthy, 2. lemon, 3. pungent 
792,crocketts haze, 1. citrus, 2. pungent, 3. flowery 
793,cronuts, 1. chemical, 2. diesel, 3. earthy 
794,crosswalker, 1. pine, 2. earthy, 3. blueberry 
795,crouching tiger hidden alien, 1. earthy, 2. flowery, 3. pungent 
796,crown og, 1. earthy, 2. pine, 3. tropical 
797,crown royale, 1. earthy, 2. flowery, 3. blueberry 
798,crunch berry kush, 1. berry, 2. earthy, 3. citrus 
799,crypt, 1. sweet, 2. cheese, 3. pungent 
800,crystal coma, 1. citrus, 2. earthy, 3. pine 
801,crystal gayle, 1. sweet, 2. diesel, 3. earthy 
802,crystalberry, 1. berry, 2. blueberry, 3. grape 
803,cuvee, 1. earthy, 2. woody, 3. sweet 
804,cypress og, 1. berry, 2. citrus, 3. earthy 
805,dj short blueberry, 1. blueberry, 2. sweet, 3. berry 
806,dj smoke, 1. sweet, 2. citrus, 3. lavender 
807,dairy queen, 1. cheese, 2. sweet, 3. berry 
808,dakini kush, 1. pungent, 2. berry, 3. skunk 
809,cuvee, 1. earthy, 2. woody, 3. sweet 
810,cypress og, 1. berry, 2. citrus, 3. earthy 
811,dj short blueberry, 1. blueberry, 2. sweet, 3. berry 
812,dj smoke, 1. sweet, 2. citrus, 3. lavender 
813,dairy queen, 1. cheese, 2. sweet, 3. berry 
814,dakini kush, 1. pungent, 2. berry, 3. skunk 
815,damn sour, 1. woody, 2. citrus, 3. diesel 
816,damnesia, 1. pepper, 2. spicy/herbal, 3. earthy 
817,dance world, 1. earthy, 2. citrus, 3. pine 
818,dancehall, 1. flowery, 2. earthy, 3. woody 
819,dank schrader, 1. pine, 2. earthy, 3. sweet 
820,dank sinatra, 1. sweet, 2. berry, 3. blue cheese 
821,double d, 1. pungent, 2. woody, 3. sweet 
822,dark blue dream, 1. earthy, 2. blueberry, 3. sweet 
823,dark shadow haze, 1. earthy, 2. sweet, 3. grape 
824,dark side of the moon, 1. earthy, 2. berry, 3. sweet 
825,dark star, 1. earthy, 2. citrus, 3. pungent 
826,darkside og, 1. lemon, 2. earthy, 3. citrus 
827,darth vader og, 1. grape, 2. spicy/herbal, 3. nutty 
828,dawgs waltz, 1. earthy, 2. skunk, 3. sweet 
829,dawgfather og, 1. pepper, 2. woody, 3. chemical 
830,day tripper, 1. citrus, 2. sweet, 3. blueberry 
831,deadhead og, 1. earthy, 2. pungent, 3. pine 
832,deadlights, 1. chestnut, 2. violet, 3. woody 
833,deadwood, 1. berry, 2. earthy, 3. lavender 
834,death bubba, 1. earthy, 2. sweet, 3. pungent 
835,death by cake og, 1. butter, 2. woody ,
836,death star, 1. earthy, 2. diesel, 3. pungent 
837,deathstar og, 1. earthy, 2. diesel, 3. woody 
838,deep breath, 1. berry, 2. diesel, 3. nutty 
839,deep cheese, 1. cheese, 2. pungent, 3. skunk 
840,deep chunk, 1. earthy, 2. lavender, 3. sweet 
841,deep purple, 1. mint, 2. grape, 3. sweet 
842,deep sleep, 1. earthy, 2. pine, 3. woody 
843,delahaze, 1. lemon, 2. citrus, 3. mango 
844,denver maple, 1. earthy, 2. citrus, 3. flowery 
845,destar bx, 1. grapefruit, 2. pepper, 3. pungent 
846,desert diesel, 1. chemical, 2. citrus, 3. diesel 
847,desert star, 1. earthy ,,
848,designer og, 1. pine, 2. skunk ,
849,destroyer, 1. lavender, 2. ammonia, 3. blue cheese 
850,devil fruit, 1. citrus, 2. spicy/herbal, 3. skunk 
851,devils tit, 1. spicy/herbal, 2. sweet, 3. tropical 
852,diablo, 1. earthy, 2. spicy/herbal, 3. sweet 
853,diamond og, 1. earthy, 2. citrus, 3. pine 
854,diamond valley kush, 1. pungent, 2. apple, 3. sweet 
855,diesel dough, 1. diesel, 2. earthy, 3. pungent 
856,diesel duff, 1. flowery, 2. honey, 3. skunk 
857,diesel glue, 1. earthy, 2. pungent ,
858,diablo, 1. earthy, 2. spicy/herbal, 3. sweet 
859,diamond og, 1. earthy, 2. citrus, 3. pine 
860,diamond valley kush, 1. pungent, 2. apple, 3. sweet 
861,diesel dough, 1. diesel, 2. earthy, 3. pungent 
862,diesel duff, 1. flowery, 2. honey, 3. skunk 
863,diesel glue, 1. earthy, 2. pungent ,
864,dieseltonic, 1. diesel, 2. citrus, 3. tropical 
865,digweed, 1. earthy, 2. chemical, 3. sweet 
866,dinachem, 1. pine, 2. pungent, 3. skunk 
867,dirty girl, 1. citrus, 2. sweet, 3. tropical 
868,dirty old bastard, 1. earthy, 2. woody, 3. flowery 
869,dirty widow, 1. sweet, 2. earthy, 3. pungent 
870,disney blue, 1. berry, 2. sweet, 3. grape 
871,divina obscura, 1. berry, 2. blueberry, 3. citrus 
872,dizzy og, 1. earthy, 2. sweet, 3. pine 
873,django, 1. earthy, 2. flowery, 3. sweet 
874,do si dos, 1. earthy, 2. sweet, 3. pungent 
875,doc holliday, 1. berry, 2. sweet, 3. tropical 
876,doctor doctor, 1. citrus, 2. flowery, 3. strawberry 
877,dog shit, 1. earthy, 2. pungent, 3. pine 
878,dogwalker og, 1. earthy, 2. woody, 3. pungent 
879,dolla sign og kush, 1. flowery, 2. pungent, 3. sweet 
880,don carlos, 1. berry, 2. blueberry, 3. diesel 
881,don shula, 1. citrus, 2. tropical, 3. butter 
882,donegal, 1. citrus, 2. earthy, 3. woody 
883,donkey butter, 1. earthy, 2. diesel, 3. sweet 
884,donna og, 1. earthy, 2. pine, 3. pungent 
885,doobiebird daydream, 1. vanilla, 2. sweet, 3. spicy/herbal 
886,doox, 1. citrus, 2. lemon, 3. lime 
887,dopium, 1. pine, 2. chemical, 3. pungent 
888,dorit, 1. ammonia, 2. cheese, 3. chemical 
889,double barrel og, 1. earthy, 2. citrus ,
890,double diesel, 1. diesel, 2. grapefruit, 3. citrus 
891,double dream, 1. sweet, 2. spicy/herbal, 3. lemon 
892,double dutch, 1. tar, 2. sweet, 3. pungent 
893,double mint, 1. lemon, 2. mint, 3. citrus 
894,double og, 1. earthy, 2. skunk, 3. sweet 
895,double purple doja, 1. earthy, 2. grape, 3. pungent 
896,double tangie banana, 1. sweet, 2. orange, 3. tropical 
897,double tap, 1. earthy, 2. pine, 3. pungent 
898,dougs varin, 1. woody, 2. earthy, 3. lemon 
899,dr feelgood, 1. earthy, 2. woody, 3. nutty 
900,dr funk, 1. berry, 2. blueberry, 3. cheese 
901,double purple doja, 1. earthy, 2. grape, 3. pungent 
902,double tangie banana, 1. sweet, 2. orange, 3. tropical 
903,double tap, 1. earthy, 2. pine, 3. pungent 
904,dougs varin, 1. woody, 2. earthy, 3. lemon 
905,dr feelgood, 1. earthy, 2. woody, 3. nutty 
906,dr funk, 1. berry, 2. blueberry, 3. cheese 
907,dr greenthumbs em dog, 1. earthy, 2. pine, 3. pungent 
908,dr grinspoon, 1. pepper, 2. woody, 3. pine 
909,dr who, 1. earthy, 2. pungent, 3. grape 
910,dragon fruit, 1. pungent, 2. sweet, 3. tropical 
911,dragon og, 1. earthy, 2. pine, 3. spicy/herbal 
912,dragon punch, 1. berry, 2. blueberry, 3. citrus 
913,dragons breath, 1. spicy/herbal, 2. mint, 3. lime 
914,dreadlock, 1. earthy, 2. diesel, 3. pine 
915,dream beaver, 1. earthy, 2. woody, 3. pine 
916,dream berry, 1. berry, 2. blueberry, 3. grapefruit 
917,dream girl, 1. blueberry, 2. earthy, 3. skunk 
918,dream lotus, 1. woody, 2. earthy, 3. flowery 
919,dream machine, 1. earthy ,,
920,dream police, 1. earthy, 2. berry, 3. blueberry 
921,dream queen, 1. sweet, 2. citrus, 3. pineapple 
922,dream star, 1. earthy, 2. sweet, 3. citrus 
923,dreamcatcher, 1. sweet, 2. berry, 3. blueberry 
924,dreamers glass, 1. earthy, 2. skunk, 3. sweet 
925,drizella, 1. earthy, 2. pungent, 3. sweet 
926,duct tape, 1. earthy, 2. skunk, 3. diesel 
927,duke nukem, 1. earthy, 2. flowery, 3. skunk 
928,durban berry, 1. berry, 2. sweet, 3. blueberry 
929,durban cheese, 1. citrus, 2. cheese, 3. earthy 
930,durban cookies, 1. earthy, 2. woody, 3. sweet 
931,durban poison, 1. earthy, 2. pine, 3. sweet 
932,durban princess, 1. citrus, 2. earthy ,
933,durga mata, 1. spicy/herbal, 2. earthy, 3. pungent 
934,dutch crunch, 1. citrus, 2. pine, 3. spicy/herbal 
935,dutch dragon, 1. citrus, 2. sweet, 3. tropical 
936,dutch dynasty, 1. chemical, 2. tobacco ,
937,dutch hawaiian f26d85d8964844c0a3e447bceefefa9f, 1. earthy, 2. flowery, 3. sweet 
938,dutch hawaiian, 1. flowery, 2. citrus, 3. sweet 
939,dutch haze, 1. citrus, 2. lemon, 3. pine 
940,dutch kush, 1. earthy, 2. sweet, 3. berry 
941,dutch queen, 1. pine, 2. earthy, 3. sweet 
942,dutch thunder fuck, 1. citrus, 2. sweet, 3. diesel 
943,dutch treat, 1. pine, 2. sweet, 3. spicy/herbal 
944,dutch treat haze, 1. earthy, 2. skunk, 3. sweet 
945,dutchberry, 1. berry, 2. blueberry, 3. earthy 
946,dynamite, 1. grapefruit, 2. pungent, 3. sweet 
