,0
0,frozen-tangerines
1,fruit-loop-og
2,fruity-juice
3,fuzzy-navel
4,g-cut
5,g1000
6,gdp-electric
7,gdp-electric
8,gammaberry
9,gaswerx
10,ghetto-bird
11,ghost-tange-haze
12,gluechee
13,god-bud
14,gold-star
15,golden-soda
16,granddaddy-wonder
17,grape-cake
18,grape-candy
19,grape-cake
20,grape-candy
21,grape-dawg
22,grape-god-bud
23,grape-krush-throwback
24,grape-smuggler
25,guava-dub-star
26,gupta-haze
27,gypsy-kush
28,hammershark
29,harley-twin
30,havarra-wedding
31,havarra-wedding
32,hawaiian-duckfoot
33,hawaii-78
34,headband-cookies-bx1
35,heaven-scent
36,high-five
37,hindu-sour
38,hobbit
39,holy-punch
40,holy-roller
41,honduras
42,huckleberry-desstar
43,huckleberry-soda
44,humboldt-hawaiian
45,humboldt-sour-diesel
46,ifc-og
47,ifc-og
48,island-poison
49,ivan
50,jabbas-stash
51,jack-of-spades
52,jerusalem-express
53,jim-og
54,joes-dank
55,joes-lemonade
56,jungle-spice
57,kahavvai-mode
58,kahavvai-mode
59,kailua-pua
60,kalalau-kush
