,0
0,chocolate-meringue
1,chocolate-tonic
2,chocolony
3,chocolony
4,cindy-haze
5,cluster-funk
6,cobbler
7,cocoa-kush
8,collie-man-kush
9,colorado-chem-rbx3
10,comfortably-dumb
11,cookie-wreck
12,cookie-wreck
13,cookie-wreck
14,cookie-wreck
15,dagwood
16,dagwood
17,dedutch
18,dedoverde-haze
19,designer-og
20,diabla
21,diabla
22,dirt-nap
23,doctor-jamaica
24,dog-face
25,doox-9e52aaec47524b6088792c10b9d341d0
26,dosi-woah-r1
27,double-lemon-pie
28,dr-bubbles
29,dr-clemenstein
30,dr-bubbles
31,dr-clemenstein
32,dragon-og
33,dutch-47
34,dutch-dynasty
35,egyptian-musk
36,elevated-og
37,erdpurt
38,ethos-apex
39,ethos-apex
40,f-13-throwback
41,f-cut-og
42,fall-97
43,fire-alien-master
44,fire-alien-romulan
45,fire-alien-urkle
46,focaccia
47,focaccia
