,0
0,cherry-fuel
1,chicle
2,chocoholic
3,chocolate-cheesecake
4,chocolate-meringue
5,chocolate-tonic
6,chocolony
7,chocolony
8,cindy-haze
9,city-of-god
10,cluster-funk
11,cobbler
12,cocoa-kush
13,collie-man-kush
14,colorado-chem-rbx3
15,comfortably-dumb
16,cookie-puss
17,cookie-wreck
18,cookie-wreck
19,cookie-puss
20,cookie-wreck
21,cookie-wreck
22,cougar-milk
23,coyote-art
24,dj-andy-williams
25,dj-smoke
26,dagwood
27,dj-andy-williams
28,dj-smoke
29,dagwood
30,dedutch
31,dedoverde-haze
32,deep-breath
33,designer-og
34,diabla
35,diesel-glue
36,diabla
37,diesel-glue
38,dirt-nap
39,doctor-jamaica
40,dog-face
41,dons-ghost
42,doox-9e52aaec47524b6088792c10b9d341d0
43,dosi-woah-r1
44,double-lemon-pie
45,dr-bubbles
46,dr-clemenstein
47,dr-bubbles
48,dr-clemenstein
49,dr-greenthumbs-em-dog
50,dragon-og
51,durban-princess
52,dutch-47
53,dutch-dynasty
54,dutch-hawaiian-f26d85d8964844c0a3e447bceefefa9f
55,eagle-bill
56,early-glue-rbx1
57,eagle-bill
58,early-glue-rbx1
59,egyptian-musk
60,elevated-og
61,erdpurt
62,ethos-apex
63,ethos-hash-plant-bx1
64,ethos-apex
65,ethos-hash-plant-bx1
66,f-13
67,f-13-throwback
68,f-cut-og
69,fall-97
70,fauxsido
71,fighting-buddha
72,fire-alien-master
73,fire-alien-romulan
74,fire-alien-urkle
75,florida-og
76,focaccia
77,forbidden-zkittlez
78,focaccia
79,forbidden-zkittlez
80,four-star-general
