,0
0,atomic-bomb
1,aymi
2,bh
3,bad-azz-kush
4,bh
5,bad-azz-kush
6,banana-mango
7,banana-peel
8,bango
9,bay-lotus
10,bay-platinum-cookies
11,berts-cookie-dough
12,best-friend-og
13,big-bomb
14,best-friend-og
15,big-bomb
16,big-tooth
17,biker-leblanc
18,bingo-pajamas
19,birds-eye
20,black-lotus
21,black-out
22,black-lotus
23,black-out
24,blackberry-cobbler
25,blessings-og
26,bleugenius
27,bloos-kloos
28,blue-persuasion
29,blue-tara
30,blue-tara
31,blue-trane
32,blue-wonder
33,blueberry-bomb
34,blueberry-bomb
35,blueberry-waltz
36,blukashima
37,bog-blue-kush
38,bog-sour-grape
39,bog-blue-kush
40,bog-sour-grape
41,bogglegum
42,bonkers
43,bootylicious
44,brain-candy
45,brian-berry-black-currant
46,brian-berry-citrus-blend
47,brian-berry-honey-lemon
48,bubba-cheese-auto
49,bubba-hash
50,bubba-kush-20
51,bubbas-bitch
52,bubbas-bitch
53,buzz-bomb
54,c3
55,cbd-lilly
56,cbd-rich-blessing
57,caboose
58,california-limes
59,california-limes
60,california-sour-diesel
61,calyx-og
62,candyland
63,candyland
64,canna-wreck
65,caramel-cake
66,cheese-candy
67,chef-kush
68,chem-berry-diesel
69,chem-kesey
