,0
0,kaleidos-dope
1,kali-47
2,kali-china
3,kerala
4,kerala-krush
5,king-thunder-fuck
6,kings-banner
7,king-thunder-fuck
8,kings-banner
9,kreamy-karamel
10,kush-ben-yamini
11,kushashima
12,lapd
13,la-nina
14,lady-liberty
15,la-nina
16,lady-liberty
17,landos-stash
18,lazy-lightning
19,lazy-train
20,leda-uno
21,lemon-jeffery
22,lemon-jeffery
23,lemon-prevention
24,lemon-zest
25,lemongrass
26,lethal-purple
27,lions-milk
28,little-dragon
29,llanera
30,lost-coast-ghost
31,lost-coast-hash-plant
32,lost-coast-ghost
33,lost-coast-hash-plant
34,lotus-larry
35,loud-lemonade
36,love-is-love
37,love-triangle
38,luca-brasi
39,m1-56
40,magic-melon
41,mandarin-jack
42,mandarin-tk
43,mango-habanero
44,maui-berry
45,maui-mango-diesel
46,maui-berry
47,maui-mango-diesel
48,maui-wowie
49,mean-misty
50,medical-49
51,melonberry
52,mendo-montage
53,mendo-supremo
54,mexican-kush
55,michka
56,mighty-quin
57,mike-larry
58,mint-lemonade
59,mike-larry
60,mint-lemonade
61,monkey-bread-1
62,monolith
63,moontang
64,mothertongue
65,mountain-temple
66,mountain-thunder
67,mozambique-poison
68,mt-cook
69,mountain-thunder
70,mozambique-poison
71,mt-cook
72,mystery-jazz
73,nchoosha-y
74,neil-haze
75,neroli-91
76,newberry
77,night-train
78,nor-cal-purps
