,0
0,frozen-tangerines
1,fruit-loop-og
2,fuzzy-navel
3,g-cut
4,g1000
5,gammaberry
6,gaswerx
7,ghetto-bird
8,ghost-tange-haze
9,god-bud
10,gold-star
11,golden-soda
12,granddaddy-wonder
13,grape-cake
14,grape-candy
15,grape-cake
16,grape-candy
17,grape-god-bud
18,grape-krush-throwback
19,grape-smuggler
20,guava-dub-star
21,gypsy-kush
22,hammershark
23,havarra-wedding
24,havarra-wedding
25,headband-cookies-bx1
26,high-five
27,hobbit
28,holy-punch
29,honduras
30,huckleberry-desstar
31,huckleberry-soda
32,humboldt-sour-diesel
33,ifc-og
34,ifc-og
35,island-poison
36,ivan
37,jabbas-stash
38,jerusalem-express
39,jim-og
40,joes-dank
41,joes-lemonade
42,kahavvai-mode
43,kahavvai-mode
