,0
0,cherwillie
1,cherry-fuel
2,chicle
3,chocolate-cheesecake
4,chocolate-drop
5,chocolate-glue
6,chocolate-lava
7,chocolate-meringue
8,chocolate-rain
9,chocolate-skunk
10,chocolate-tonic
11,chocolony
12,chocolony
13,chong-star
14,chuck-og
15,cindy-haze
16,cloudcap
17,cluster-funk
18,cobbler
19,cobra-lips
20,cocoa-kush
21,collie-man-kush
22,colorado-chem-rbx3
23,comfortably-dumb
24,cookie-wreck
25,cookie-wreck
26,cookie-wreck
27,cookie-wreck
28,cypress-og
29,dj-andy-williams
30,dagwood
31,cypress-og
32,dj-andy-williams
33,dagwood
34,dawgfather-og
35,daywalker
36,dedutch
37,dedoverde-haze
38,desert-diesel
39,designer-og
40,destroyer
41,diabla
42,diamond-socks
43,diabla
44,diamond-socks
45,dirt-nap
46,divina-obscura
47,do-over-og
48,doctor-jamaica
49,dog-face
50,don-carlos
51,doox-9e52aaec47524b6088792c10b9d341d0
52,dosi-woah-r1
53,double-lemon-pie
54,double-tap
55,dougs-varin
56,dr-bubbles
57,dr-clemenstein
58,double-tap
59,dougs-varin
60,dr-bubbles
61,dr-clemenstein
62,dragon-og
63,dragon-punch
64,dream-machine
65,durban-princess
66,dutch-hawaiian-f26d85d8964844c0a3e447bceefefa9f
67,eagle-bill
68,eagle-bill
69,egyptian-musk
70,egyptian-royalty-1
71,el-chapo
72,el-na
73,elektra
74,elevated-og
75,erdpurt
76,ethos-apex
77,ethos-apex
78,f-13
79,f-13-throwback
80,f-cut-og
81,face-off-bx2
82,faded-glory
83,fall-97
84,fat-axl
85,fighting-buddha
86,fire-alien-master
87,fire-alien-romulan
88,fire-alien-urkle
89,florida-og
90,flowers-for-algernon
91,focaccia
92,forbidden-zkittlez
93,flowers-for-algernon
94,focaccia
95,forbidden-zkittlez
96,four-star-general
