,0
0,frosted-cherry-cookies
1,frosty-jesus
2,frozen-tangerines
3,fruit-loop-og
4,fruity-juice
5,fuzzy-navel
6,g-cut
7,g1000
8,goat
9,gdp-electric
10,gi-001
11,gto
12,gdp-electric
13,gi-001
14,gto
15,gammaberry
16,gaswerx
17,ghetto-bird
18,ghost-tange-haze
19,gluechee
20,gnome-walker
21,god-bud
22,godzilla-blood
23,godzilla-blood
24,gold-star
25,golden-soda
26,granddaddy-wonder
27,grandma-andersons-cookies
28,grape-bubba
29,grape-cake
30,grape-candy
31,grape-bubba
32,grape-cake
33,grape-candy
34,grape-god-bud
35,grape-jelly
36,grape-krush-throwback
37,grape-smuggler
38,grape-vine
39,grimmdica
40,guava-dub-star
41,gupta-kush
42,gypsy-kush
43,hammershark
44,havarra-wedding
45,havarra-wedding
46,hayleys-haze
47,hazmat-og
48,headband-cookies-bx1
49,high-five
50,hoarfrost
51,hobbit
52,holy-punch
53,holy-roller
54,honduras
55,hoodwreck
56,huckleberry-desstar
57,huckleberry-soda
58,humboldt-hawaiian
59,humboldt-sour-diesel
60,humdinger-og
61,ifc-og
62,ifc-og
63,island-poison
64,ivan
65,jabbas-stash
66,jack-of-spades
67,jacks-girl
68,jacks-girl
69,jenni
70,jericho-haze
71,jerusalem-express
72,jim-og
73,joes-dank
74,joes-lemonade
75,kahavvai-mode
76,kahavvai-mode
77,kailua-pua
