,0
0,kaleidos-dope
1,kings-banner
2,kings-banner
3,kreamy-karamel
4,kush-ben-yamini
5,landos-stash
6,lazy-lightning
7,lazy-train
8,lemon-prevention
9,lemongrass
10,lethal-purple
11,lions-milk
12,llanera
13,lost-coast-ghost
14,lost-coast-ghost
15,lotus-larry
16,love-is-love
17,luca-brasi
18,m1-56
19,mandarin-jack
20,mandarin-tk
21,mango-habanero
22,maui-mango-diesel
23,maui-mango-diesel
24,maui-wowie
25,medical-49
26,melonberry
27,mendo-montage
28,mexican-kush
29,mighty-quin
30,mike-larry
31,mint-lemonade
32,mike-larry
33,mint-lemonade
34,moontang
35,mountain-temple
36,nchoosha-y
37,neroli-91
38,newberry
